Hindi,Malayalam
ऐम्पियर (मात्रक),ആമ്പിയർ (യൂണിറ്റ്)
ऐंगस्ट्रम,ആംഗ്സ്ട്രം
ए-वर्ग प्रवर्धक,എ-ക്ലാസ് ആംപ്ലിഫയർ
ए.एन रेडियो सहाय,എഎൻ റേഡിയോ സഹായ്
ए-क्रमवीक्षण प्रस्तुति,a-സ്കാനിംഗ് അവതരണം
ए-दर्श,ഒരു-ദർശ്
ए-स्कोप प्रदर्शन,എ-സ്കോപ്പ് പ്രകടനം
ए-टी कर्तित क्रिस्टल,എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ"
पूर्वाह्न,രാവിലെ
ए.एम.यू. (परमाणु संहति मात्रक),എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്)
आर्ड-वार्क*,aard-vark*
ऐब-ऐम्पियर,എബി-ആമ്പിയർ
ए-बी वर्ग प्रवर्धक,എ-ബി ക്ലാസ് ആംപ്ലിഫയർ
आदितः,അദാ
ए-बी शक्ति पिटक,എ-ബി ശക്തി പിടക
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്
ऐबे संख्या (ऐबे नियतांक),അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം)
ऐबे अपवर्तनमापी,അബെ റിഫ്രാക്റ്റോമീറ്റർ
ऐबे ज्या अवस्था,അബെ സൈൻ സംസ്ഥാനം
स्वचालित बायस प्रतिकार,ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം
ऐबकूलॉम,abcoulom
"विपथन, अपेरण","അപഭ്രംശം, അപഭ്രംശം"
विपथन संशोधक लेन्स,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
आकाश-विपथन,ആകാശ വ്യതിയാനം
एबफैराड,abfarad
एबहेनरी,എബൻറി
ऐबनी प्रभाव (ऐबनी नियम),എബോണി പ്രഭാവം
अपसामान्य ध्रुवण,അസാധാരണ ധ്രുവീകരണം
अपसामान्य संचरण,അസാധാരണമായ സംക്രമണം
अपसामान्य परावर्तन,അസാധാരണമായ പ്രതിഫലനം
अपसामान्य अपवर्तन*,അസാധാരണ അപവർത്തനം*
अपसामान्य प्रतिरोध,അസാധാരണമായ പ്രതിരോധം
ऐब-ओम,ab-om
"पूर्वपात, विफलन","മുൻതൂക്കം, പരാജയം"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച"
सहसा जंप,പലപ്പോഴും ചാടുന്നു
भुज*,കൈ*
लुप्त परावर्तन,പ്രതിഫലനം നഷ്ടപ്പെട്ടു
लुप्त स्पैक्ट्रम,സ്പെക്ട്രം കാണുന്നില്ല
"निरपेक्ष, परम, अचर, परिशुद्ध","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
निरपेक्ष त्वरण,സമ്പൂർണ്ണ ത്വരണം
निरपेक्ष यथार्थता,കേവല യാഥാർത്ഥ്യം
निरपेक्ष पता,സമ്പൂർണ്ണ വിലാസം
भूसापेक्ष तुंगतामापी,ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ
भूसापेक्ष तुंगता,ഭൂമിശാസ്ത്രപരമായ ഉയരം
निरपेक्ष ऐम्पियर,കേവല ആമ്പിയർ
परम क्वथनांक,സമ്പൂർണ്ണ തിളനില
निरपेक्ष तेजमापीय दीप्ति,കേവല പ്രകാശം
निरपेक्ष धारिता,കേവല കപ്പാസിറ്റൻസ്
निरपेक्ष ऊँचाई,കേവല ഉയരം
