Odiya,Gujarati
ଅସ୍ୱାଭାବିକ |,અસામાન્ય
ପରିତ୍ୟାଗ,ગર્ભપાત
ଅଳିଆ ଆବେଗ,ઘર્ષણ
ଆକସ୍ମିକ,અચાનક
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,સંપૂર્ણ ક્ષેત્ર શક્તિ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,સંપૂર્ણ તાપમાન
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,અબાધિત મૂલ્ય
ଶୋଷଣ,શોષવું
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,સહ-કાર્યક્ષમ
ଶୋଷଣୀୟ କ୍ଷତି |,શોષણ
ବିସ୍ତୃତ,નિષ્ક્રિય
ଆକ୍ସଲେରୋମିଟର |,પ્રવેગમાપક
ଗ୍ରହଣ ପରୀକ୍ଷା,સ્વીકૃતિ કસોટી
ପ୍ରବେଶ,પ્રવેશ
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,વપરાશ નિયંત્રણ
ପ୍ରବେଶ ବିନ୍ଦୁ,પ્રવેશ -બિંદુ
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,પ્રવેશ સમય
ଅଭିଗମ୍ୟତା |,ઉપલ્બધતા
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,સંકુચિત સેલી
ସଠିକତା,ચોકસાઈ
ସଠିକ୍,ચોક્કસ
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,ઘેટાંના લેન્સ
ଏସିଡ୍ |,તેજાબ
ଏସିଡ୍ ପ୍ରମାଣ |,એસિડ પ્રૂફ
ଅମ୍ଳତା,અમલ્ય
ସ୍ୱୀକୃତି ବିଟ୍,સ્વીકૃતિ
ଆକାଶବାଣୀ |,ધ્વનિશાસ્ત્ર
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,ધ્વનિશાસ્ત્ર
ଆକାଶବାଣୀ ବିସ୍ତାର,ધ્વનિ -પ્રસરણ
ଆକାଶବାଣୀ ସମାନତା |,ધ્વનિ -બરાબરી
ଆକାଶବାଣୀ ମତାମତ |,ધ્વનિ -પ્રતિસાદ
