Kannada,Bengali
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,অ্যাব্যাক্সিয়াল পৃষ্ঠ
ಹೊಟ್ಟೆ,পেট
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,পেটের মহাধমনী
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,পেটের গ্যাংলিয়া
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,আবেলমোসচাস এসকুলেন্টাস
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,অবসন্নতা
ಅಬ್ಬರ,Abies
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,অ্যাবিংডন কচ্ছপ
ಕ್ಷು ತನ್ನತೆ,অ্যাবোজেনেসিস
ಅಸಹ್ಯವಾದ,অ্যাবায়োটিক
ಉದಾಸೀಯ ಅಂಶ,জীবক্রিয়া ফ্যাক্টর
ಅಸಹಜ ಮೂತ್ರ,অস্বাভাবিক প্রস্রাব
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,আবো ব্লাড গ্রুপ
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,অ্যাবসিসিক অ্যাসিড
ಕಂದಿಸುವುದು,অ্যাবসিশন
ಹೀರಿಕೊಳ್ಳಿ,শোষণ
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,শোষণ শিখর
ಹೀರುವಿಕೆ,শোষণ
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,বাবলা ক্যাটেকু
ಅಕ್ಯಾಬಿಕಾ,অ্যাকারিয়া আরবিকা
ಅಣಕಾದ,অ্যাকাপ্রিন
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,গ্রহণযোগ্য যৌন আচরণ
ಪರಿಕರ ಗ್ರಂಥಿ,আনুষঙ্গিক গ্রন্থি
ಪರಿಕರ ಗ್ರಂಥಿ,আনুষঙ্গিক গ্রন্থি
ಪರಿಕರ ಅಂಗ,আনুষঙ্গিক অঙ্গ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,প্রশংসাপত্র
ಒಗ್ಗಿಸು,প্রশংসিত
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),আবাসন (ফোকাসিং)
ಕಣ್ಣಿನ ವಸತಿ,চোখের থাকার ব্যবস্থা
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,স্বীকৃত বৃদ্ধি
ಸಂಗ್ರಹಣೆ,জমা
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,জৈব পদার্থ জমে
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,মাটি জমে
ಉಭಯಾಕಾರದ,অ্যাসেলুলার
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,অ্যাসেলুলার জীব
ಅಸೆಟಾಬುಮ್,অ্যাসিটাবুলাম
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,অ্যাসিটালডিহাইড
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,এসিটাইল কোএনজাইম
ಕಸ,আছাটিনা
ಮೊಲ ಪ್ರಕಾರ,অ্যাকিন টাইপ
ಉಂಗುರ,আচিন
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,Achlamydosporye
ಆಮ್ಲ ಮಳೆ,এসিড বৃষ্টি
ಆಮ್ಲೀಯ,অ্যাসিডিক
ಆಮ್ಲೀಯ ಅನಿಲ,অ্যাসিডিক গ্যাস
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,অম্লতা
ಅಸಿನಾರ್ ಕೋಶ,অ্যাকিনার সেল
ಜಾಮಕೀಯ,অ্যাকোলোমেট
ಅನನಟ,অ্যাকোনিটাম
ಆಕ್ರೋಶದ ಹುಳು,অ্যাকর্ন কৃমি
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,অ্যাকোস্টিক জোনিং
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,অর্জিত চরিত্র
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,অনাক্রম্যতা অর্জিত
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
ಪ್ರಾದೇಶಿಕ,অ্যাক্রানিয়া
ಅಣಕಾದ ಬಣ್ಣ,অ্যাক্রিডিন ডাই
ವ್ಯಾಪಕವಾದ,অ্যাক্রোসেন্ট্রিক
ಅಕ್ರಾಮನ್,অ্যাক্রোমিয়ন
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,অ্যাক্রোপেটাল সিকোয়েন্স
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,অ্যাক্রোপেটাল অর্ডার
