Tamil,Punjabi
வெஸ்ட்மின்ஸ்டர் அபே,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
துறவு,ਨਿਮਰਤਾ
அடிமைத்தனத்தை ஒழித்தல்,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
பழங்குடியினர்,ਆਦਿਵਾਸੀ
ஆபிரகாம் சகாப்தம்,ਅਬਰਾਹਮ ਯੁੱਗ
இல்லாத நில உரிமையாளர்கள்,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
கலைக்கூடம்,ਅਕੈਡਮੀ
அக்ரா மாநாடு,ਅਕਰਾ ਕਾਨਫਰੰਸ
திரட்டல்கள்,ਪ੍ਰਾਪਤੀ
வளர்ப்பு,ਐਕਲਚਰੇਸ਼ਨ
அசெல்டாமா,ਐਸੇਲਡਾਮਾ
அச்சேயன் (=ஆச்சியன்),ਅਚੀਅਨ (=ਅਚੀਅਨ)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
அக்ரோபோலிஸ்,ਐਕ੍ਰੋਪੋਲਿਸ
ஆக்டா டைர்னா,ਐਕਟਾ ਦਿਉਰਨਾ
ஆக்டா செனடஸ்,ਐਕਟਾ ਸੇਨੇਟਸ
Acte Additionel,ਐਕਟ ਐਡੀਸ਼ਨਲ
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
அடையும் செயல்,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
இழப்பீடு மற்றும் மறதியின் செயல்,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
தீர்வு சட்டம்,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
விளம்பர ஒப்பந்த முத்திரை,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
அதுலமைட்டுகள்,ਅਦੁਲਾਮਾਈਟਸ
