English,Marathi
abacus,"1.अॅबॅकस, 2. मोजणी"
abnormal termination,असामान्य शेवट
abort,इंटरसेप्ट
absolute,"1. निरपेक्ष, 2. सर्वोच्च"
absolute address,परिपूर्ण पत्ता
absolute addressing,परिपूर्ण पत्ता योग्यता
absolute assembler,परिपूर्ण असेंबलर
absolute code,"1. संपूर्ण कोड, 2. परिपूर्ण कोड"
absolute command,निरपेक्ष आज्ञा
absolute data,"1. परिपूर्ण आकडे, 2. परिपूर्ण डेटा"
absolute instruction,परिपूर्ण सूचना
absolute mode,परिपूर्ण मोड
absolute path,परिपूर्ण मार्ग
absolute programming,"1. परिपूर्ण प्रोग्रामिंग, 2. परिपूर्ण प्रोग्रामिंग"
abstract class,अमूर्त वर्ग
abstract data type,अमूर्त डेटा प्रकार
abstract machine,अमूर्त मशीन
abstract symbol,अमूर्त चिन्ह
abstract syntax,अमूर्त वाक्यरचना
acceptance testing,स्वीकृती चाचणी
access authentication,प्रवेश प्रमाणपत्र
access code,"1. प्रवेश कोड, 2. प्रवेश कोड"
access control,प्रवेश नियंत्रण
access scan,प्रवेश स्कॅनिंग
accessory,उपकरणे
account,लेखा
account ID,"1. खाते आयडी, 2. लेखा ओळख"
accumulator,संचयक
accuracy,"1. अचूकता, 2. अचूकता"
acess,प्रवेश
acess control byte,प्रवेश नियंत्रण बाइट्स
acess index,प्रवेश सूचक
acess key,प्रवेश की
acess matrix,"1. प्रवेश मॅट्रिक्स, 2. प्रवेश मॅट्रिक्स"
acess mode,प्रवेश मोड
acess privilege,प्रवेश विशेषाधिकार
acess security,प्रवेश सुरक्षा
acess server,"1. ऍक्सेस सर्व्हर, 2. प्रवेश सर्व्हर"
acess time,प्रवेश वेळ
acknowledgement,पोचपावती
acoustics,ध्वनीशास्त्र
acronym,"1. संक्षेप, 2. संक्षेप, 3. पासून लहान"
action message,क्रिया संदेश
activation,सक्रियकरण
active server page (ASP),सक्रिय सर्व्हर पृष्ठ
active version,सक्रिय आवृत्ती
acyclic,अॅसायक्लिक
acyclic graph,"1. अॅसायक्लिक आलेख, 2. अॅसायक्लिक आलेख"
Ada language,अडा संगणक भाषा
adapter,"1. ऑप्टिमायझर, 2. अनुकूलक"
add,बेरीज करण्यासाठी)
add file,बेरीज फाइल
add operation,"1. अॅडिशन ऑपरेशन, 2. बेरीज ऑपरेशन"
adder,जोडणारा
address,जाणून घ्या
address bus,पत्ता बस
address file,पत्ता फाइल
address format,पत्त्याचे स्वरूप
address generator,पत्ता जनरेटर
address line,पत्ता ओळ
address mapping,पत्ता मॅपिंग
address pointer,पत्ता सूचक
address register,पत्ता नोंदवही
address resolution,पत्ता ब्रेकडाउन
address translation,पत्ता अनुवाद
addressed memory,"1. पत्ता मेमरी, 2. पत्ता करण्यायोग्य मेमरी"
addressing,संबोधित
adequacy criteria,"1. पर्याप्ततेचे निकष, 2. पर्याप्तता निकष"
adjoint,संलग्नक
administration,"1. व्यवस्थापन, 2. नियंत्रण"
administrator,"1. व्यवस्थापक, 2. नियंत्रक"
adobe acrobat,adobe acrobat
adobe photoshop,अडोब फोटोशाॅप
Advance Business Application Programming (ABAP),ABAP (प्रगत व्यवसाय प्रोग्रामिंग)
advanced data,"1. प्रगत डेटा, 2. प्रगत डेटा"
advanced information system,प्रगत माहिती प्रणाली
advanced technology (AT),प्रगत तंत्रज्ञान (AT)
agent,क्रिया
aggregation,एकत्रीकरण
airborne computer system,एअरबोर्न संगणक प्रणाली
aldus page maker,aldus page-make
alert box,अलर्ट बॉक्स
algol,अल्गोल (संगणक भाषा)
algorithm,"1. अल्गोरिदम, 2. अल्गोरिदम"
algorithm analysis,"1. अल्गोरिदम विश्लेषण, 2. अल्गोरिदम विश्लेषण"
algorithm efficiency,अल्गोरिदम कार्यक्षमता
alias,"1. इलियास, 2. टोपणनाव, 3. उर्फ"
alignment,संरेखन
allocation,"1. वाटप, 2. वाटप"
alphabetic,"1. वर्णमाला, 2. अक्षर क्रमानुसार"
alphanumeric,अल्फान्यूमेरिक
alphanumeric key board,"1. अल्फान्यूमेरिक कीबोर्ड, 2. अल्फान्यूमेरिक कीबोर्ड"
alpha-test,अल्फा-चाचणी (पहिली स्तर चाचणी)
alpha-version,"1. अल्फा आवृत्ती, 2. अल्फा फॉर्म"
alt key,alt की
altavista,altavista
ambiguity,बहुविधता
ambiguous grammar,अस्पष्ट व्याकरण
American National Standards Institute (ANSI),अमेरिकन नॅशनल स्टँडीज इन्स्टिट्यूट (ANSI)
American Standard Code For Information Interchange (ASCII),अमेरिकन स्टँडर्ड कट (ascii)
analog,"1. समानार्थी, 2. अॅनालॉग"
analog computer,"1. अॅनालॉग संगणक, 2. अॅनालॉग संगणक"
analog device,"1. अॅनालॉग उपकरण, 2. अॅनालॉग डिव्हाइस"
analog modem,"1. अॅनालॉग मॉडेम, 2. अॅनालॉग मॉडेम"
Analog To Digital Converter (ADC),अॅनालॉग ते डिजिटल कन्व्हर्टर
AND,शेवट (डिजिटल/प्लेन लॉजिक &#39;आणि&#39; वापरलेले)
AND circuit,एंड सर्किट
AND gate,शेवटचे गेट आणि गेट
AND not operation (Exclusion),आणि ऑपरेशन नाही (वगळणे)
animation,"1. अॅनिमेशन, 2. कंपन"
annotation,नोंद
anomaly,विसंगती
antecedent,मागील
anticipatory paging,आगाऊ पेजिंग
anti-symmetric,काउंटर-सिमेट्रिक
antivirus program,अँटीव्हायरल प्रोग्राम
applet,"1. ऍपलेट, 2. अर्ज"
application developer,अनुप्रयोग विकसक
application programming,अनुप्रयोग प्रोग्रामिंग
application programming interface (API),"1. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस, 2. ऍप्लिकेशन प्रोग्रामिंग इंटरफेस (API)"
application software,अनुप्रयोग सॉफ्टवेअर
applicative language,अनुप्रयोग भाषा
approximation theory,अंदाजे तत्त्व
architecture,रचना
area transfer,फील्ड हस्तांतरण
argument,"1. पॅरामीटर, स्वतंत्र चल, 2. कोन"
arithmatic and logic unit,"1. अंकगणित आणि तर्कशास्त्र एकक, 2. अंकगणित आणि तर्कशास्त्र एकक"
arithmatic check,अंकगणित तपासणी
arithmatic constant,अंकगणित स्थिरांक
arithmatic data,अंकगणित डेटा
arithmatical instruction,अंकगणित सूचना
arithmetic and logic unit (ALU),गणिती आणि तार्किक एकक (ALU)
ARPANET,ARPA नेट (RPNet)
array,रचना
array cache,"1. अॅरे कॅशे, 2. अॅरे गती, 3. अॅरे मेमरी"
array computer,अॅरे संगणक
array element,अॅरे घटक
array name,अॅरे नाव
array processor,अॅरे प्रोसेसर
arrow keys,बाण की
