Bengali,Assamese
"1.অ্যাবাকাস, 2. গণনা","১.এবাকাছ, ২. গণনা কৰি আছে"
অস্বাভাবিক সমাপ্তি,অস্বাভাৱিক অন্ত
পথিমধ্যে রোধ করা,ইন্টাৰচেপ্ট
"1. পরম, 2. সর্বোচ্চ","১.নিৰপেক্ষ, ২. পৰম"
পরম ঠিকানা,নিৰপেক্ষ ঠিকনা
পরম ঠিকানাযোগ্যতা,নিৰপেক্ষ ঠিকনাযোগ্যতা
পরম সংযোজনকারী,নিৰপেক্ষ এছেম্বলাৰ
"1. পরম কোড, 2. পরম কোড","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
পরম আদেশ,নিৰপেক্ষ আদেশ
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
পরম নির্দেশ,নিৰপেক্ষ নিৰ্দেশনা
পরম মোড,নিৰপেক্ষ ধৰণ
পরম পথ,নিৰপেক্ষ পথ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
বিমূর্ত ক্লাস,বিমূৰ্ত শ্ৰেণী
বিমূর্ত তথ্য প্রকার,বিমূৰ্ত তথ্যৰ ধৰণ
বিমূর্ত মেশিন,বিমূৰ্ত মেচিন
বিমূর্ত প্রতীক,বিমূৰ্ত চিহ্ন
বিমূর্ত বাক্য গঠন,বিমূৰ্ত বাক্যবিন্যাস
স্বীকৃতি পরীক্ষা,গ্ৰহণযোগ্যতা পৰীক্ষা
অ্যাক্সেস সার্টিফিকেশন,প্ৰৱেশ প্ৰমাণীকৰণ
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
প্রবেশাধিকার নিয়ন্ত্রণ,প্ৰৱেশ নিয়ন্ত্ৰণ
অ্যাক্সেস স্ক্যানিং,অভিগম স্কেনিং
আনুষাঙ্গিক,আনুষংগিক বস্তু
অ্যাকাউন্টিং,হিচাপ-নিকাচ
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
সঞ্চয়কারী,এক্যুলেটৰ
"1. নির্ভুলতা, 2. সঠিকতা","১/ সঠিকতা, ২. শুদ্ধতা"
অ্যাক্সেস,প্ৰৱেশাধিকাৰ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
অ্যাক্সেস সূচক,প্ৰৱেশ সূচক
অ্যাক্সেস কী,অভিগম কি&#39;
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
অ্যাক্সেস মোড,অভিগম ধৰণ
সুযোগ সুবিধা,অভিগম বিশেষাধিকাৰসমূহ
অ্যাক্সেস নিরাপত্তা,অভিগম সুৰক্ষা
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
প্রবেশাধিকার সময়,প্ৰৱেশ সময়
স্বীকৃতি,স্বীকৃতি
ধ্বনিবিদ্যা,শব্দবিজ্ঞান
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
কর্ম বার্তা,কাৰ্য্য বাৰ্তা
সক্রিয়করণ,সক্ৰিয়কৰণ
সক্রিয় সার্ভার পৃষ্ঠা,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
সক্রিয় সংস্করণ,সক্ৰিয় সংস্কৰণ
অ্যাসাইক্লিক,অচক্ৰীয়
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,আদা কম্পিউটাৰ ভাষা
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
যোগ করা),to sum)
সমষ্টি ফাইল,যোগফল নথিপত্ৰ
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
যোগকারী,adder
জানি,ঠিকনা
ঠিকানা বাস,ঠিকনা বাছ
ঠিকানা ফাইল,ঠিকনা নথিপত্ৰ
ঠিকানা বিন্যাস,ঠিকনা বিন্যাস
ঠিকানা জেনারেটর,ঠিকনা উৎপাদক
ঠিকানা লাইন,ঠিকনা ৰেখা
ঠিকানা ম্যাপিং,ঠিকনা মেপিং
ঠিকানা নির্দেশক,ঠিকনা সূচক
ঠিকানা রেজিস্টার,ঠিকনা পঞ্জীয়ন
ঠিকানা ভাঙ্গন,ঠিকনা ভাঙি যোৱা
ঠিকানা অনুবাদ,ঠিকনা অনুবাদ
"1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
সম্বোধন,সম্বোধন কৰা
"1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
সংযুক্তি,সংলগ্ন কৰা হৈছে
"1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. ম্যানেজার, 2. নিয়ামক","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
অ্যাডোবি অ্যাক্রোব্যাট,এডোব এক্ৰ&#39;বেট
অ্যাডোবি ফটোশপ,এডোব ফটোশ্বপ
ABAP (অ্যাডভান্সড বিজনেস প্রোগ্রামিং),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. উন্নত তথ্য, 2. উন্নত তথ্য"
উন্নত তথ্য সিস্টেম,উন্নত তথ্য ব্যৱস্থা
উন্নত প্রযুক্তি (AT),উন্নত প্ৰযুক্তি (AT)
কর্ম,কাৰ্য কৰা
সমষ্টি,একত্ৰীকৰণ
বায়ুবাহিত কম্পিউটার সিস্টেম,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
aldus পৃষ্ঠা তৈরি,aldus পৃষ্ঠা-নিৰ্মাণ
সতর্কতা বাক্স,সতৰ্কবাণী বাকচ
আলগোল (কম্পিউটার ভাষা),algol (কম্পিউটাৰ ভাষা)
"1. অ্যালগরিদম, 2. অ্যালগরিদম","1. এলগৰিদম, 2. এলগৰিদম"
"1. অ্যালগরিদম বিশ্লেষণ, 2. অ্যালগরিদম বিশ্লেষণ","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
অ্যালগরিদম দক্ষতা,এলগৰিদম দক্ষতা
"1. ইলিয়াস, 2। ডাকনাম, ৩. ওরফে","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
প্রান্তিককরণ,প্ৰান্তিককৰণ
"1. বরাদ্দ, 2. বরাদ্দ","১.আবণ্টন, ২. আবণ্টন"
"1. বর্ণানুক্রমিক, 2. বর্ণা ক্রমানুসারে","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
আলফানিউমেরিক,আলফানিউমেৰিক
"1. আলফানিউমেরিক কীবোর্ড, 2. আলফানিউমেরিক কীবোর্ড","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
আলফা-পরীক্ষা (প্রথম স্তরের পরীক্ষা),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. আলফা সংস্করণ, 2। আলফা ফর্ম","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
alt কী,alt কি&#39;
আলতাভিস্তা,আলতাভিস্তা
বহুগুণ,বহুগুণতা
অস্পষ্ট ব্যাকরণ,অস্পষ্ট ব্যাকৰণ
আমেরিকান ন্যাশনাল স্ট্যান্ডিস ইনস্টিটিউট (ANSI),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
আমেরিকান স্ট্যান্ডার্ড কাট (ascii),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. সাদৃশ্যপূর্ণ, 2. এনালগ","1. অনুৰূপ, ২. এনালগ"
"1. এনালগ কম্পিউটার, 2. এনালগ কম্পিউটার","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. এনালগ ডিভাইস, 2. এনালগ ডিভাইস","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. এনালগ মডেম, 2. এনালগ মডেম","1. এনালগ মডেম, 2. এনালগ মডেম"
এনালগ থেকে ডিজিটাল কনভার্টার,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
শেষ (ডিজিটাল/প্লেন লজিক &#39;এবং&#39; ব্যবহৃত),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
শেষ সার্কিট,শেষ বৰ্তনী
শেষ গেট এবং গেট,শেষৰ গেট আৰু গেট
শেষ নয় অপারেশন (বর্জন),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. অ্যানিমেশন, 2. কম্পন","১.এনিমেচন, ২.কম্পন"
বিঃদ্রঃ,দ্ৰষ্টব্য
অসঙ্গতি,অসামঞ্জস্যতা
আগে,পূৰ্ৱবৰ্তী
প্রত্যাশিত পেজিং,প্ৰত্যাশিত পেজিং
কাউন্টার-সিমেট্রিক,প্ৰতি-সমমিতিক
অ্যান্টিভাইরাল প্রোগ্রাম,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. অ্যাপলেট, 2। আবেদন","১.এপলেট, ২. দৰ্খাস্ত"
অ্যাপ্লিকেশন ডেভেলপার,এপ্লিকেচন ডেভেলপাৰ
অ্যাপ্লিকেশন প্রোগ্রামিং,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস, 2. অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
