Bengali,Marathi
অ্যাম্পিয়ার (একক),अँपिअर (युनिट)
অ্যাংস্ট্রাম,angstrum
A-শ্রেণীর পরিবর্ধক,ए-क्लास अॅम्प्लिफायर
এএন রেডিও সহায়,एएन रेडिओ सहाय
একটি-স্ক্যানিং উপস্থাপনা,एक-स्कॅनिंग सादरीकरण
a-দর্শ,a-darsh
A-স্কোপ কর্মক্ষমতা,ए-स्कोप कामगिरी
A-T বাঁকা স্ফটিক,A-T वक्र क्रिस्टल
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
am,आहे
এএমইউ (পারমাণবিক ভর একক),AMU (अणु वस्तुमान एकक)
আর্ড-ওয়ার্ক*,आर्ड-वार्क*
ab-ampere,ab-ampere
A-B শ্রেণীর পরিবর্ধক,A-B वर्ग अॅम्प्लिफायर
adah,adah
A-B শক্তি পিটক,A-B शक्ती पिटक
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,abc = संरेखन चार्ट = nomograph
আবে নম্বর (আবে ধ্রুবক),अबे क्रमांक (अबे स्थिरांक)
abe রিফ্র্যাক্টোমিটার,abe refractometer
অ্যাবে সাইন স্টেট,अबे साइन राज्य
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
"aberration, aberration",विकृती
বিকৃতি সংশোধনকারী লেন্স,विकृती सुधारक लेन्स
আকাশ বিকৃতি,आकाश विकृती
আবফারদ,abfarad
ইবেনরি,एबेनरी
আবলুস প্রভাব,इबोनी प्रभाव
অস্বাভাবিক মেরুকরণ,असामान्य ध्रुवीकरण
অস্বাভাবিক সংক্রমণ,असामान्य प्रसार
অলৌকিক প্রতিফলন,अलौकिक प्रतिबिंब
অস্বাভাবিক প্রতিসরণ*,असामान्य अपवर्तन*
অস্বাভাবিক প্রতিরোধ,अलौकिक प्रतिकार
ab-om,ab-om
"preponderance, ব্যর্থতা","प्राबल्य, अपयश"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","संलग्न, सहसा, उभे, विभक्त, खंडित"
প্রায়ই লাফ দেয়,अनेकदा उडी मारते
হাত*,हात*
হারিয়ে যাওয়া প্রতিফলন,हरवलेले प्रतिबिंब
অনুপস্থিত বর্ণালী,गहाळ स्पेक्ट्रम
"পরম, পরম, ধ্রুবক, নিখুঁত","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
পরম ত্বরণ,परिपूर्ण प्रवेग
পরম বাস্তবতা,परिपूर्ण वास्तव
পরম ঠিকানা,परिपूर्ण पत्ता
ভূ-আপেক্ষিক উচ্চতা মিটার,भौगोलिक उच्चांक
ভূতাত্ত্বিক উচ্চতা,भौगोलिक उंची
পরম অ্যাম্পিয়ার,परिपूर्ण अँपिअर
পরম ফুটন্ত বিন্দু,परिपूर्ण उकळत्या बिंदू
পরম আলোকসজ্জা,परिपूर्ण प्रकाश
পরম ক্ষমতা,परिपूर्ण क्षमता
পরম উচ্চতা,परिपूर्ण उंची
পরম রঙ্গক,परिपूर्ण रंगद्रव्य
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
পরম কুলম্ব,परिपूर्ण कूलॉम्ब
সম্পূর্ণ অন্ধকার,पूर्ण अंधार
পরম সময়সূচী,परिपूर्ण वेळापत्रक
পরম ঘনত্ব*,परिपूर्ण घनता*
পরম নিষ্কাশন,पूर्ण निचरा
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),संपूर्ण EMU (विद्युत चुंबकीय एकक)
পরম ESU (স্থির শক্তি ইউনিট),संपूर्ण ESU (स्थिर एकक)
পরম দক্ষতা,परिपूर्ण कार्यक्षमता
পরম ইলেক্ট্রোমিটার,परिपूर्ण इलेक्ट्रोमीटर
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,परिपूर्ण वारंवारता परिपूर्ण वारंवारता
পরম আর্দ্রতা,परिपूर्ण आर्द्रता
পরম ঘটনা,परिपूर्ण घटना
পরম প্রতিসরাঙ্ক সূচক,परिपूर्ण अपवर्तक निर्देशांक
পরম অস্থিরতা,पूर्ण अस्थिरता
পরম অস্থিরতা,पूर्ण अस्थिरता
"পরম তীব্রতা, পরম তীব্রতা","परिपूर्ण तीव्रता, परिपूर्ण तीव्रता"
অ্যাথেনিয়ার পরম সীমা,अस्थेनियाची परिपूर्ण मर्यादा
পরম আলোকসজ্জা সিল,परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा
পরম হালকা বক্ররেখা,परिपूर्ण प्रकाश वक्र
পরম মাত্রা,परिपूर्ण परिमाण
পরম ব্যারোমিটার,परिपूर्ण बॅरोमीटर
সর্বোচ্চ সর্বোচ্চ,सर्वोच्च सर्वोच्च
পরম চরম,पूर्ण टोक
পরম সর্বনিম্ন,परिपूर्ण सर्वात कमी
পরম গতিবেগ,परिपूर्ण गती
পরম গতি,परिपूर्ण गती
পরম সঙ্গীত,परिपूर्ण संगीत
পরম পর্যবেক্ষণ,परिपूर्ण निरीक्षण
পরম ওম,परिपूर्ण ओम
পরম অভিযোজন,परिपूर्ण अभिमुखता
পরম বৈদ্যুতিক ঋণাত্মকতা,परिपूर्ण विद्युत ऋणात्मकता
পরম মাধ্যাকর্ষণ,परिपूर्ण गुरुत्व
পরম চাপ,परिपूर्ण दबाव
পরম সম্পত্তি,परिपूर्ण मालमत्ता
পরম স্কেলার,परिपूर्ण स्केलर
তাপমাত্রার পরম স্কেল*,तापमानाचे अंतिम प्रमाण*
"পরম সমলয়, পরম সমলয়","परिपूर्ण समक्रमण, परिपूर्ण समक्रमण"
পরম চাপ,पूर्ण ताण
পরম প্রতিসাম্য,परिपूर्ण सममिती
পরম গতি শরীর,परिपूर्ण गती शरीर
পরম ইউনিট সিস্টেম,परिपूर्ण एकक प्रणाली
পরম তাপমাত্রা,परिपूर्ण तापमान
পরম সময়,परिपूर्ण वेळ
পরম একক,निरपेक्ष एकके
পরম মান,परिपूर्ण मूल्य
পূর্ণসংখ্যা ক্যালকুলেটর,पूर्णांक कॅल्क्युलेटर
পরম বেগ,परिपूर्ण वेग
পরম সান্দ্রতা,परिपूर्ण चिकटपणा
পরম ওজন,परिपूर्ण वजन
পরম শূন্য*,पूर्ण शून्य*
শূন্যের পরম ভাজক,शून्याचा पूर्ण विभाजक
শোষণ করা,शोषून घेणे
শোষণ সূচক*,शोषक निर्देशांक*
শোষিত শক্তি,शोषलेली ऊर्जा
"শোষক, শোষক","शोषक, शोषक"
শোষক মাধ্যম*,शोषक माध्यम*
