Hindi,Marathi
" उपशमन ,कमी",Uptement
संक्षिप्‍ति,संक्षेप
अपहरण,अपहरण
प्रास्थगन,अबाधित
योग्यता,क्षमता
"आदित:,आरंभ से",अब इनिशिओ
योग्य,सक्षम
अपसामान्य,असामान्य
" उन्मूलन , समाप्‍ति",निर्मूलन
पद समाप्‍ति,रद्दबातल पोस्ट
"ऊपर उल्लिखित, उपर्युक्‍त",वर दिल्याप्रमाणे
ऊपर उद्‍धृत,वर उद्धृत
उपर्युक्‍त,वरील म्हणाले
" अनुपस्थिति, गैरहाजि़री , अभाव",अनुपस्थिती
"अनुपस्थित, ग़ैरहाजि़र",अनुपस्थित
" अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता",अनुपस्थिति
अनुपस्थिति-विवरण,अनुपस्थित विधान
" पूर्ण , निरपेक्ष",परिपूर्ण
पूर्ण एकाधिकार,परिपूर्ण मक्तेदारी
पूर्ण स्वामित्व,परिपूर्ण मालकी
" आमेलन , अवशोषण",शोषण
सार,गोषवारा
सार-विवरण,अमूर्त स्टेटमेंट
"अर्थहीन, बेतुका",बेशुद्ध
प्रचुरता,विपुलता
शक्‍ति का दुरुपयोग,शक्तीचा गैरवापर
गाली-गलौज,अपमानास्पद भाषा
"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय",शैक्षणिक
शास्त्रीय चर्चा,शैक्षणिक चर्चा
अकादमिक छुट्टी,शैक्षणिक रजा
शैक्षिणिक अर्हता,शैक्षणिक पात्रता
"शैक्षिक रिकार्ड,शैक्षिक अभिलेख",शैक्षणिक नोंद
"मान लेना, अधिमिलन होना",प्रवेश
"स्वीकार करना,मानना",स्वीकारा
" स्वीकृति , प्रतिग्रहण ",स्वीकृती
पद-स्वीकृति,कार्यालय स्वीकारणे
निविदा की स्वीकृति,निविदा स्वीकारणे
पहुंच,प्रवेश
"राज्यारोहण , पदारोहण , परिग्रहण",प्रवेश
" अनुषंगी, उपसाधन",Ory क्सेसरी
" दुर्घटना, संयोग",अपघात
पर्यनुकूलन,सहनशीलता
" आवास, निर्वाह , समंजन",निवास
संगकार,सोबत
" समझौता, प्रदान करना, देना",करार
"अनुरूपता, संगति",अनुयायी
तदनुसार,त्यानुसार
" लेखा,खाता ,हिसाब",खाते
जवाबदेही,उत्तरदायित्व
" जवाबदेह, देनदार",जबाबदार
" लेखा विधि , लेखा कार्य",अकाउंटन्सी
लेखाकार,अकाउंटंट
" कारण बताना , लेखा-जोखा देना",साठी खाते
लेखा-शीर्ष,खाते डोके
प्रोद्‌भूत हितलाभ,जमा लाभ
प्रोद्‌भूत पेन्शन,जमा पेन्शन
"संचय,संचयन",संचय
" यथार्थता , परिशुद्‌धता",अचूकता
" यथार्थ, सही , परिशुद्‌ध",अचूक
अभियोग लगाना,आरोप
अभियुक्‍त,आरोपी
उपलब्‍धि,यश
" पावती,प्राप्‍ति सूचना ,अभिस्वीकृति ",पोचपावती
"पावती पत्र, रसीदी",पावती देय
" (व्यक्‍ति) परिचित , परिचय",ओळखी
"अधिग्रहण, अर्जन",संपादन
"भुगतान , भरपाई,निस्तारण ",शोध
"कार्य, कृत्य,अधिनियम",कायदा
कार्यकारी भत्‍ता,अभिनय भत्ता
"कार्रवाई,क्रिया, कार्य , संघर्ष",क्रिया
कार्य योजना,कृती योजना
सक्रिय,सक्रिय
"सक्रियता से, सक्रियतापूर्वक",सक्रियपणे
" कर्मठ कार्यकता , सक्रियतावादी",कार्यकर्ता
दैव कृत्य,देवाची करणी
कदाचार,गैरवर्तन कायदा
भूल-चूक,कमिशनचे कार्य आणि वगळणे
वास्तविक,वास्तविक
वास्तविक आंकडे,वास्तविक
" अनुकूलन, रूपांतर",रुपांतर
" योग, जोड़, परिवर्धन",या व्यतिरिक्त
अतिरिक्‍त प्रभार,अतिरिक्त शुल्क
अतिरिक्‍त निधि,अतिरिक्त निधी
अतिरिक्‍त अनुदान,अतिरिक्त अनुदान
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",अतिरिक्त माहिती
अतिरिक्‍त वेतन,अतिरिक्त वेतन
परिवर्तन-परिवर्धन,जोड आणि बदल
" पता, अभिभाषण, संबोधन,संबोधित करना, मानपत्र , विचार करना",पत्ता
"पाने वाला, प्रेषिती",पत्ता
अभिनंदन पत्र,स्वागताचा पत्ता
पर्याप्‍त,पुरेसे
"पर दृढ़ रहना, पर जमे रहना",चे पालन करा
तदर्थ,अ‍ॅड हॉक
तदर्थ दावा,तदर्थ दावा
तदर्थ समिति,तदर्थ समिती
तदर्थ वृद्‌धि,तदर्थ वाढ
तदर्थ भुगतान,तदर्थ देयक
‍पार्श्‍वस्थ,समीप
"लगा होना, सटा होना",शेजारी (= संमिश्र)
स्थगन,तहकूब
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",तहकूब गती
न्यायनिर्णीत करना,सहभाग
न्यायनिर्णय करना,न्यायाधीश
न्यायनिर्णयन,निर्णय
न्यायनिर्णायक,न्यायाधीश
समायोजन,समायोजन
" प्रशासन करना, देना,दिलाना , व्यवस्था करना",प्रशासकीय
शपथ दिलाना,शपथ प्रशासित करा
प्रशासन,प्रशासन
न्याय-प्रशासन,न्याय प्रशासन
प्रशासनिक,प्रशासकीय
प्रशासनिक कार्रवाई,प्रशासकीय कारवाई
प्रशासनिक मूल्यांकन,प्रशासकीय मूल्यांकन
प्रशासनिक अनुमोदन,प्रशासकीय मान्यता
प्रशासनिक प्राधिकारी,प्रशासकीय अधिकार
प्रशासनिक नियंत्रण,प्रशासकीय नियंत्रण
प्रशासनिक निर्णय,प्रशासकीय निर्णय
प्रशासकीय विभाग,प्रशासकीय विभाग
प्रशासनिक प्रधान,प्रशासकीय प्रमुख
प्रशासनिक मुख्यालय,प्रशासकीय मुख्यालय
प्रशासनिक उपाय,प्रशासकीय उपाय
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",प्रशासकीय शक्ती
प्रशासनिक मंजूरी,प्रशासकीय मंजुरी
"प्रशासन तकनीक, प्रशासनिक प्रविधि",प्रशासकीय तंत्र
प्रशासनिक अधिकरण,प्रशासकीय न्यायाधिकरण
ग्राह्‌यता: स्वीकार्यता,प्रवेशयोग्यता
ग्राह्‌य व्यय,स्वीकार्य खर्च
" प्रवेश करने देना, अंदर आने देना , स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",कबूल करा
"प्रवेश पत्र, प्रवेश पत्रक",प्रवेश कार्ड
" प्रविष्‍ट दाखिल ,स्वीकृत",दाखल
भर्त्‍सना करना,सूचना
दत्‍तक,दत्तक
दत्‍तकगृहीता,दत्तक
" अंगीकरण , दत्‍तक-ग्रहण",दत्तक
"प्रौढ, वयस्क",प्रौढ
"अपमिश्रण, मिलावट",भेसळ
जारकर्म,व्यभिचार
वयस्क मताधिकार,प्रौढ मताधिकार
यथामूल्य शुल्क,अ‍ॅड व्हॅलोरम ड्यूटी
"अग्रिम, पेशगी",प्रगती
अग्रिम बुकिंग,अ‍ॅडव्हान्स बुकिंग
अग्रिम प्रति,आगाऊ प्रत
अग्रिम  वृद्‌धि,आगाऊ वाढ
"अग्रिम अदायगी, अग्रिम भुगतान",आगाऊ भरणा
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",प्रतिकूल प्रविष्टी
प्रतिकूल अभ्युक्‍ति,प्रतिकूल टीका
प्रतिकूल रिपोर्ट,प्रतिकूल अहवाल
विज्ञापन,जाहिरात
" सलाह , सूचना, संज्ञापन",सल्ला
"भुगतान सूचना, भुगतान-संज्ञापन",देयकाचा सल्ला
सलाहकार समिति,सल्लागार समिती
सलाहकार परिषद्,सल्लागार परिषद
" अधिवक्‍ता, एडवोकेट , पक्ष-समर्थक",वकिली
"कार्य, मामले",घडामोडी
"शपथपत्र, हलफ़नामा",प्रतिज्ञापत्र
संबंधन,संलग्नता
" अभिपुष्‍टि ,प्रतिज्ञान ",पुष्टीकरण
सकारात्मक,होकारार्थी
" समर्थ होना ,  प्रदान करना, दे सकना",परवाना
पूर्वोक्‍त,उपरोक्त
नए सिरे से,पुन्हा
" विरुद्‌ध, के प्रति, के सामने, के सम्मुख , की तुलना में",विरुद्ध
" आयु,उम्र , युग",वय
आयु प्रमाणपत्र,वय प्रमाणपत्र
मताधिकार आयु,मताधिकार वय
आयु सीमा,वय मर्यादा
"अभिकरण, एजेंसी",एजन्सी
कार्यसूची,अजेंडा
सेवानिवृत्‍ति आयु,सेवानिवृत्तीचे वय
अधिवर्षिता आयु,अधोरेखित वय
"समुच्चय, समूह",एकत्रिकरण
व्यथित,संताप
आंदोलन,आंदोलन
" वार्षिक महासभा , वार्षिक आमसभा",एजीएम
" क़रार, अनुबंध ,सहमति, रजामंदी",करार
"क़रारनामा, अनुबंध पत्र",करार फॉर्म
कृषि,शेती
कृषि-उद्‌योग,कृषी-उद्योग
"सहायता, मदद",मदत
" आपद संकेत, खतरे का संकेत, अलार्म",गजर
सजगता,सतर्कता
" उपनाम , उर्फ़ (क्रि.वि.)",उर्फ
अभिकथन,आरोप
निष्ठा,निष्ठा
मैत्री,युती
सम्बद्‌ध सेवाएं,संबद्ध सेवा
सर्वसमावेशी लागत,सर्व समावेशक किंमत
अखिल भारतीय सेवा,अखिल भारतीय सेवा
नियतन,वाटप
आबंटन,वाटप
आबंटन-पत्र,वाटप पत्र
आबंटिति,अ‍ॅलोटी
"अनुज्ञेय, अनुमतियोग्य",परवानगीयोग्य
"अनुज्ञेय व्यय, अनुमतियोग्य व्यय",अनुमत खर्च
अपील मंजूर करना,अपीलला परवानगी द्या
" भत्‍ता ,छूट",भत्ता
सर्वाधिकार सुरक्षित,सर्व हक्क राखीव
"वर्णक्रम, अकारादिक्रम",वर्णमाला क्रम
कहासुनी,भांडण
" एकांतर , विकल्पी",वैकल्पिक
"विकल्प,वैकल्पिक",पर्यायी
समामेलन,एकत्रिकरण
"संशोधित मसौदा, संशोधित प्रारूप",सुधारित मसुदा
संशोधन,दुरुस्ती
सुख-सुविधा,सुविधा
"सौहार्दपूर्ण, मैत्रीपूर्ण",मैत्रीपूर्ण
गोला-बारूद,दारूगोळा
"ऋण परिशोधन, ऋण मुक्‍ति",कर्जाचे or न्टायझेशन
" राशि, रक़म, मात्रा",रक्कम
पेन्शन राशि,पेन्शनची रक्कम
अनुरूप पद,समान पोस्ट
विश्‍लेषण,विश्लेषण
विश्‍लेषणात्मक अध्ययन,विश्लेषणात्मक अभ्यास
पूर्वज,पूर्वज
अनुषंगी उद्‌योग,सहायक उद्योग
बैर,वैर
संलग्नक,जोड
वर्षगांठ,वर्धापनदिन
"उद्‌घोषण, ऐलान, आख्यापन",घोषणा
"खिन्‍नता, चिढ, खीज",त्रास
वार्षिक वित्‍तीय विवरण,वार्षिक आर्थिक विधान
वार्षिक रिपोर्ट,वार्षिक अहवाल
वार्षिकी,वार्षिकी
"अनाम, गुमनाम",अज्ञात
गुमनाम शिकायत,अज्ञात तक्रार
जवाबदेही,उत्तरदायित्व
उत्‍तर पत्रक,उत्तरपत्रिका
विरोधी,विरोधी
पूर्ववृत्‍त,पूर्वज
प्रत्याशित व्यय,अपेक्षित खर्च
प्रत्याशित आय,अपेक्षित उत्पन्न
" प्रत्याशा , पूर्वानुमान",अपेक्षा
अग्रिम ज़मानत,अपेक्षित जामीन
भ्रष्‍टाचार-निरोधक उपाय,भ्रष्टाचारविरोधी उपाय
"प्रति-पाटन, पाटन-निरोधी",अँटी-डंपिंग
पुरावस्तु,प्राचीन
रंगभेद,वर्णभेद
उदासीनता,औदासिन्य
शीर्ष निकाय,शिखर शरीर
क्षमायाचना,दिलगिरी
"अपील,अपील करना",अपील
" हाजि़री , उपसंजाति  , रूप",देखावा
तुष्‍टीकरण,शांतता
अपील अधिकरण,अपील न्यायाधिकरण
परिशिष्‍ट,परिशिष्ट
उपयंत्र,उपकरण
"अनुप्रयोज्य, लागू",लागू
आवेदक,अर्जदार
" आवेदन, अर्ज़ी , अनुप्रयोग, लागू होना",अर्ज
"आवेदन पत्र, अर्ज़ी",अर्ज
अनुप्रयुक्‍त,लागू
" आवेदन करना, अर्जी देना , लागू करना, लागू होना , अनप्रयुक्‍त होना",अर्ज करा
नियुक्‍त व्यक्‍ति,नेमणूक
नियुक्‍ति प्राधिकारी,अधिकाराची नेमणूक
नियुक्‍ति,नियुक्ती
नियुक्‍ति पत्र,नियुक्ती पत्र
मंत्रीमंडलीय नियुक्‍ति समिति,मंत्रिमंडळाची नेमणूक समिती
मजदूरी प्रभाजन,वेतनाचे विभाजन
"मूल्यनिरूपण, आंकना",मूल्यमापन
मूल्यांक,मूल्यांकनकर्ता
" सराहना , वृद्‌धि",कौतुक
" पकड़ा जाना, गिरफ़्तारी ,बोध, समझ , आशंका",भीती
शिक्षु,शिकाऊ उमेदवार
" पहुंच,उपगम , उपमार्ग ,दृष्‍टिकोण",संपर्क साधा
" उपयुक्‍त, उचित , विनियोजन करना",योग्य
उचित कार्रवाई,योग्य कृती
उपयुक्‍त शीर्ष,योग्य डोके
विनियोजन,विनियोग
अनुमोदन,मान्यता
"लगभग, सन्‍निकट",अंदाजे
"अभिक्षमता परीक्षा, रुझान परीक्षण",योग्यता चाचणी
मनमाना,अनियंत्रित
मध्यस्थता करना,लवाद
"विवाचन, माध्यस्थम् ",लवाद
माध्यस्थम् अधिकरण,लवाद न्यायाधिकरण
"विवाचक, मध्यस्थ",लवाद
वास्तुकला,आर्किटेक्चर
अभिलेखागार,संग्रहण
" क्षेत्र , क्षेत्रफल",क्षेत्र
"क्षेत्र मुख्यालय, क्षेत्रीय मुख्यालय",क्षेत्र मुख्यालय
"तर्क, बहस",युक्तिवाद
"उठना, उद्‌भूत होना, पैदा होना",उद्भवू
" सशस्त्र बल , सशस्त्र सेनाएं",सशस्त्र सेना
" व्यवस्था ,विन्यास , प्रबंध",व्यवस्था
बक़ाया,थकबाकी
बक़ाया विवरण,थकबाकी विधान
आगमन रिपोर्ट,आगमन अहवाल
"दंभ,अक्खड़पन",गर्विष्ठपणा
"आयुधागार, शास्त्रागार",शस्त्रागार
" अनुच्छेद , वस्तु , लेख",लेख
संस्था के अंतर्नियम,संघटनेचा लेख
नियमावली,लेख
आरोही क्रम,चढत्या ऑर्डर
अभिनिश्‍चित करना,निश्चित करा
जैसा है जहाँ है,कोठे आहे
" पहलू, पक्ष , दृष्‍टि",पैलू
लांछन,भ्रष्टाचार
"हत्या,हनन",हत्या
हमला,हल्ला
