Marathi,Kannada
अँपिअर (युनिट),ಆಂಪಿಯರ್ (ಘಟಕ)
angstrum,ಆಂಗ್ಸ್ಟ್ರಮ್
ए-क्लास अॅम्प्लिफायर,ಎ-ಕ್ಲಾಸ್ ಆಂಪ್ಲಿಫಯರ್
एएन रेडिओ सहाय,ಎಎನ್ ರೇಡಿಯೋ ಸಹಾಯ್
एक-स्कॅनिंग सादरीकरण,ಎ-ಸ್ಕ್ಯಾನಿಂಗ್ ಪ್ರಸ್ತುತಿ
a-darsh,a-ದರ್ಶ್
ए-स्कोप कामगिरी,ಎ-ಸ್ಕೋಪ್ ಕಾರ್ಯಕ್ಷಮತೆ
A-T वक्र क्रिस्टल,A-T ಕರ್ವ್ಡ್ ಕ್ರಿಸ್ಟಲ್
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","ಎಸಿ ಡಿಸಿ ಪ್ರಯೋಜನಗಳು, ಎ. ಸಿಡಿ. ಸಿ.ಲಭಿ, ಎ. ಸಿಡಿ. c. ವರ್ಧನೆ"
आहे,ಬೆಳಗ್ಗೆ
AMU (अणु वस्तुमान एकक),AMU (ಪರಮಾಣು ದ್ರವ್ಯರಾಶಿ ಘಟಕ)
आर्ड-वार्क*,aard-vark*
ab-ampere,ಅಬ್-ಆಂಪಿಯರ್
A-B वर्ग अॅम्प्लिफायर,A-B ವರ್ಗ ಆಂಪ್ಲಿಫಯರ್
adah,ಅದಾ
A-B शक्ती पिटक,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = संरेखन चार्ट = nomograph,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
अबे क्रमांक (अबे स्थिरांक),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
abe refractometer,ಅಬೆ ವಕ್ರೀಕಾರಕ
अबे साइन राज्य,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
स्वयंचलित पूर्वाग्रह भरपाई,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
abcoulom,abcoulom
विकृती,"ವಿಪಥನ, ವಿಪಥನ"
विकृती सुधारक लेन्स,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
आकाश विकृती,ಆಕಾಶ ವಿಪಥನ
abfarad,abfarad
एबेनरी,ಎಬೆನ್ರಿ
इबोनी प्रभाव,ಎಬೊನಿ ಎಫೆಕ್ಟ್
असामान्य ध्रुवीकरण,ಅಸಹಜ ಧ್ರುವೀಕರಣ
असामान्य प्रसार,ಅಸಹಜ ಪ್ರಸರಣ
अलौकिक प्रतिबिंब,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
असामान्य अपवर्तन*,ಅಸಹಜ ವಕ್ರೀಭವನ*
अलौकिक प्रतिकार,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ab-om,ab-om
"प्राबल्य, अपयश","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
"संलग्न, सहसा, उभे, विभक्त, खंडित","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
अनेकदा उडी मारते,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
हात*,ಕೈ*
हरवलेले प्रतिबिंब,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
गहाळ स्पेक्ट्रम,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
परिपूर्ण प्रवेग,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
परिपूर्ण वास्तव,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
परिपूर्ण पत्ता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
भौगोलिक उच्चांक,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
भौगोलिक उंची,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
परिपूर्ण अँपिअर,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
परिपूर्ण उकळत्या बिंदू,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
परिपूर्ण प्रकाश,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
परिपूर्ण क्षमता,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
परिपूर्ण उंची,ಸಂಪೂರ್ಣ ಎತ್ತರ
परिपूर्ण रंगद्रव्य,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
परिपूर्ण कूलॉम्ब,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
पूर्ण अंधार,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
परिपूर्ण वेळापत्रक,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
परिपूर्ण घनता*,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
पूर्ण निचरा,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
संपूर्ण EMU (विद्युत चुंबकीय एकक),ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
संपूर्ण ESU (स्थिर एकक),ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
परिपूर्ण कार्यक्षमता,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
परिपूर्ण इलेक्ट्रोमीटर,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
परिपूर्ण आर्द्रता,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
परिपूर्ण घटना,ಸಂಪೂರ್ಣ ಘಟನೆ
परिपूर्ण अपवर्तक निर्देशांक,ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ
पूर्ण अस्थिरता,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
पूर्ण अस्थिरता,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ"
अस्थेनियाची परिपूर्ण मर्यादा,ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್
परिपूर्ण प्रकाश वक्र,ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್
परिपूर्ण परिमाण,ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ
परिपूर्ण बॅरोमीटर,ಸಂಪೂರ್ಣ ಮಾಪಕ
सर्वोच्च सर्वोच्च,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
पूर्ण टोक,ಸಂಪೂರ್ಣ ವಿಪರೀತ
परिपूर्ण सर्वात कमी,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
परिपूर्ण गती,ಸಂಪೂರ್ಣ ಆವೇಗ
परिपूर्ण गती,ಸಂಪೂರ್ಣ ವೇಗ
परिपूर्ण संगीत,ಸಂಪೂರ್ಣ ಸಂಗೀತ
परिपूर्ण निरीक्षण,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
परिपूर्ण ओम,ಸಂಪೂರ್ಣ ಓಂ
परिपूर्ण अभिमुखता,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
परिपूर्ण विद्युत ऋणात्मकता,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
परिपूर्ण गुरुत्व,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
परिपूर्ण दबाव,ಸಂಪೂರ್ಣ ಒತ್ತಡ
परिपूर्ण मालमत्ता,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
परिपूर्ण स्केलर,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
तापमानाचे अंतिम प्रमाण*,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
पूर्ण ताण,ಸಂಪೂರ್ಣ ಒತ್ತಡ
परिपूर्ण सममिती,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
परिपूर्ण गती शरीर,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
परिपूर्ण एकक प्रणाली,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
परिपूर्ण तापमान,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
परिपूर्ण वेळ,ಸಂಪೂರ್ಣ ಸಮಯ
निरपेक्ष एकके,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
परिपूर्ण मूल्य,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
पूर्णांक कॅल्क्युलेटर,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
परिपूर्ण वेग,ಸಂಪೂರ್ಣ ವೇಗ
परिपूर्ण चिकटपणा,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
परिपूर्ण वजन,ಸಂಪೂರ್ಣ ತೂಕ
पूर्ण शून्य*,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
शून्याचा पूर्ण विभाजक,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
शोषून घेणे,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
शोषक निर्देशांक*,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
शोषलेली ऊर्जा,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
"शोषक, शोषक","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
शोषक माध्यम*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
शोषण क्षमता,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
शोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
शोषणमापक*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
शोषणमापन*,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
शोषण,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
शोषण - बँड*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
शोषण सर्किट,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
शोषण गुणांक,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
शोषण स्तंभ,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
अवशोषण स्थिर,ಹೀರುವಿಕೆ ಸ್ಥಿರ
शोषण सातत्य,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
शोषण क्षेत्र,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
शोषण प्रवाह,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
शोषण वक्र*,ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
शोषण फ्रॅक्चर,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
शोषण कोर,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
शोषण घटक,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
शोषण फिल्टर,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
शोषण फ्लेम फोटोमेट्री*,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
शोषण हायग्रोमीटर,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
शोषण घातांक,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
शोषण सीमांत,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
शोषण रेखा,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
शोषण नुकसान,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
शोषण मॉड्यूलेशन,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
प्रकाश शोषण,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
रेडिएशन उर्जेचे शोषण,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
शोषण शिखर,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
शोषण फोटोमेट्री,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
शोषण प्रमाण,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
शोषण श्रेणी*,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
शोषण स्पेक्ट्रम फोटोमेट्री*,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
शोषण स्पेक्ट्रम*,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
"शोषक नळी, शोषक नळी","ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
शोषण हायग्रोमीटर,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
