Bengali,Odiya
এসি সমতুল্য সার্কিট,AC ସମାନ ସର୍କିଟ |
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
পরম শূন্য,ସଂପୂର୍ଣ୍ଣ ଶୂନ
শোষণ গুণাঙ্ক,ଶୋଷଣ ଗୁଣବତ୍ତା
শোষণ বর্ণালী,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
রিসেপ্টর পরমাণু,ରିସେପ୍ଟର ପରମାଣୁ |
বিকল্প বর্তমান যুগল,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
ইলেক্ট্রন সংগ্রহ,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
গর্ত স্টোরেজ,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
অ্যাক্টিভেশন শক্তি,ସକ୍ରିୟ ଶକ୍ତି
সক্রিয় পরিবর্ধক,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
সক্রিয় ডায়োড সার্কিট,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
সক্রিয় ফিল্টার,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
সক্রিয় লোড,ସକ୍ରିୟ ଭାର
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
সক্রিয় এলাকা,ସକ୍ରିୟ କ୍ଷେତ୍ର |
অভিযোজিত ইলেকট্রনিক্স,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
যোগকারী,ଆଡର୍
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
