Odiya,Tamil
ଅବକାଶର ପୃଷ୍ଠ |,அபாக்ஸியல் மேற்பரப்பு
ପେଟ,அடிவயிறு
ପେଟର ଆର୍ଟା |,வயிற்று பெருநாடி
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,வயிற்று கேங்க்லியா
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
ଆବର୍ଗନ,மாறுபாடு
ଆବିସ୍,அபிஸ்
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,அபிங்டன் ஆமை
Abognescesis,அபியோஜெனெஸிஸ்
ଅବିଟ,அஜியோடிக்
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,அஜியோடிக் காரணி
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,அசாதாரண சிறுநீர்
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,ABO இரத்தக் குழு
ଅବସିସିକ୍ ଏସିଡ୍ |,அப்சிசிக் அமிலம்
ଅବସିସନ,கஷ்டம்
ଶୋଷଣ,உறிஞ்சும்
ଅବଶୋଷଣ ଶିଖର |,உறிஞ்சுதல் உச்சம்
ଶୋଷଣ,உறிஞ்சுதல்
ଆକାସିଆ କ୍ୟାଚଚୁ |,அகாசியா கேடெச்சு
ଆକାରିଆ ଆରବୀ |,அகாரியா அரபிகா
ଆକ୍ରିନ,அகப்ரின்
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,துணை சுரப்பி
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,துணை சுரப்பி
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,துணை உறுப்பு
ସୁକମ୍ଲାଇଜେସନ୍,பழக்கவழக்கமயமாக்கல்
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,பழக்கப்படுத்துங்கள்
ଆବାସ (ଧ୍ୟାନ),தங்குமிடம் (கவனம் செலுத்துதல்)
ଆଖିରେ ରହିବା,கண் தங்குமிடம்
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,திரட்டல் வளர்ச்சி
ଜମା,குவிப்பு
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,கரிமப் பொருட்களின் குவிப்பு
ମାଟିର ଜମା |,மண்ணின் குவிப்பு
Acellululula |,அசெல்லுலர்
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,அசெல்லுலர் உயிரினம்
ଏସିଟାବୁଲମ୍,அசிடபூலம்
ACTalDeyDee,அசிடால்டிஹைட்
ACETIL କୋଏନୋଜିମ୍ |,அசிடைல் கோஎன்சைம்
ଆଖିନିନା |,அச்சாடினா
ଅହିଯାଉଥିବା ପ୍ରକାର |,அச்சீன் வகை
ଅହିଯେ,அச்சீன்
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,அச்ச்சைடோஸ்போரே
ଅମ୍ଳ ବର୍ଷା,அமில மழை
ଅମ୍ଳୀୟ,அமிலத்தன்மை
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,அமில வாயு
ଅମ୍ଳତା,அமிலத்தன்மை
ଆଖର ସେଲ୍ |,அசிநார் செல்
ଆକ୍ୱେମିଲେଟ୍ |,அகோலோமேட்
ଆକୋନିଟମ୍,அகோனிட்டம்
ଆକ୍ୟୁନ୍ ପୋକ |,ஏகோர்ன் புழு
ଆକାଶବାଣୀ ଜୋନିଂ |,ஒலி மண்டலம்
ଅର୍ଜନ ବର୍ଣ୍ଣ,வாங்கிய எழுத்து
ଅଜାଣତର କାରଣ,நோய் எதிர்ப்பு சக்தி
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
ଅକାନିଆ,அக்னியா
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,அக்ரிடைன் சாயம்
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,அக்ரோஷென்ட்ரிக்
ଆକ୍ରୋମିଅନ୍ |,அக்ரோமியன்
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,அக்ரோபெட்டல் வரிசை
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,அக்ரோபெட்டல் ஆர்டர்
ଆକ୍ରୋସିନ୍ |,அக்ரோசின்
ଆକ୍ଟିନ୍ |,ஆக்டின்
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,ஆக்டின் போன்ற புரதம்
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,ஆக்டினோமார்பிக்
ଆକ୍ଟିନୋମିସେସିସ୍ |,ஆக்டினோமைசீட்கள்
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,செயல்பாட்டு திறன்
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,செயல்படுத்தப்பட்ட கசடு
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,செயல்படுத்தப்பட்ட கசடு மிதவை
ସକ୍ରିୟ ଶକ୍ତି,செயல்படுத்தும் ஆற்றல்
ସକ୍ରିୟ ଶୋଷଣ,செயலில் உறிஞ்சுதல்
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,செயலில் நோய் எதிர்ப்பு சக்தி
