English,Punjabi
abiogenesis,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
abnormal,ਅਲੌਕਿਕ
abomasum,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
aborted organ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
aborted seed,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
abortion,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
absolute weed,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
absorbed cation,ਲੀਨ cation
absorption,ਸਮਾਈ
abyssinian mustard,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
acaricide,1. ਐਕਰੀਸਾਈਡ
accentric,centripetal
accentuate (cell),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
accepted tolerance,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
accessory,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
acclimatization,ਅਨੁਕੂਲਨ
accumulation,ਇਕੱਠਾ ਕਰਨਾ
accuracy,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
acervulus,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
acetification,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
acidification,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
acidimeter,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
acidity,ਐਸਿਡਿਟੀ
acidophilic,ਐਸਿਡੋਫਾਈਲ
acidulated rock phosphate,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
aciduric,ਤੇਜ਼ਾਬ
acquifer,aquifer
acquisition,ਪ੍ਰਾਪਤੀ
acre,ਏਕੜ
acreage,1. ਖੇਤਰ 2. ਖੇਤਰ
acrocentric chromosome,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
acropetal,ਅਗਾਂਹਵਧੂ
acrosome,acrosome
actinomycetes,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
active root zone,ਸਰਗਰਮ ਕੋਰ
acute,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
adaptability,ਅਨੁਕੂਲਤਾ
adaptation,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
adhesion,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
adipose,sebaceous
adjustment equation,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
adobe soil,ਅਡੋਬ ਮਿੱਟੀ
adulterant,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
adventitious,ਐਕਟੋਪਿਕ
aecidiospore,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
aeolian process,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
aeolian,ਵੈਂਟ੍ਰਲ
aerate,ਹਵਾ ਦੇਣ ਲਈ
aerial,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
aerometer,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
aerosol,ਐਰੋਸੋਲ
aestivation,1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ
aetiology (etiology),ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ
afforestation,ਜੰਗਲਾਤ
agitation,1. ਅੰਦੋਲਨ 2. ਗੜਬੜ
agmark,ਐਗਮਾਰਕ
