Bengali,Tamil
আবেলি গ্রুপ,அபேலி குழு
আবেলি গ্রুপ,அபேலி குழு
হাত,கை
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
পরম মিলন,முழுமையான ஒருங்கிணைப்பு
পরম ত্রুটি,முழுமையான பிழை
সর্বোচ্চ সর্বোচ্চ,உச்ச உச்ச
পরম সর্বনিম্ন,முற்றிலும் குறைந்த
পরম মান,துல்லியமான மதிப்பு
পরম বেগ,முழுமையான வேகம்
বিমূর্ত বীজগণিত,சுருக்க இயற்கணிதம்
বিমূর্ত গ্রুপ তত্ত্ব,சுருக்க குழு கோட்பாடு
ত্বরণ,முடுக்கம்
মহাকর্ষীয় ত্বরণ,ஈர்ப்பு முடுக்கம்
গ্রহণযোগ্য নির্বাচক,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
গ্রহণযোগ্য মানের স্তর,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
গ্রহণযোগ্য প্রাঙ্গনে,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
বৈধ নির্ভরযোগ্যতা স্তর,சரியான நம்பகத்தன்மை நிலை
গ্রহণযোগ্যতা নমুনা,ஏற்பு மாதிரி
সঞ্চিত ত্রুটি,திரட்டப்பட்ட பிழை
সঠিকতা,துல்லியம்
প্রযুক্ত বল,பயன்படுத்தப்படும் சக்தி
"কর্ম, কাজ","செயல், செயல்"
কর্ম এবং প্রতিক্রিয়া,செயல் மற்றும் எதிர்வினை
বীমা বিজ্ঞান,காப்பீட்டு அறிவியல்
তীব্র ত্রিভুজ,கடுமையான முக்கோணம்
অ্যাসাইক্লিক,அசைக்ளிக்
যোগফল,மொத்தத்தில்
যোগকারী,சேர்ப்பான்
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
যোগের সূত্র,யோகா சூத்திரம்
জটিল সংখ্যার যোগফল,கலப்பு எண்களின் கூட்டுத்தொகை
ফাংশনের যোগফল,செயல்பாடுகளின் கூட்டுத்தொகை
