Bengali,Punjabi
আবেলি গ্রুপ,ਅਬੇਲੀ ਸਮੂਹ
আবেলি গ্রুপ,ਅਬੇਲੀ ਸਮੂਹ
হাত,ਹੱਥ
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
পরম মিলন,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
পরম ত্রুটি,ਪੂਰਨ ਗਲਤੀ
সর্বোচ্চ সর্বোচ্চ,ਪਰਮ ਸਰਵਉੱਚ
পরম সর্বনিম্ন,ਸਭ ਤੋਂ ਘੱਟ
পরম মান,ਸਹੀ ਮੁੱਲ
পরম বেগ,ਪੂਰਨ ਗਤੀ
বিমূর্ত বীজগণিত,ਸਾਰ ਅਲਜਬਰਾ
বিমূর্ত গ্রুপ তত্ত্ব,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ত্বরণ,ਪ੍ਰਵੇਗ
মহাকর্ষীয় ত্বরণ,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
গ্রহণযোগ্য নির্বাচক,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
গ্রহণযোগ্য মানের স্তর,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
গ্রহণযোগ্য প্রাঙ্গনে,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
বৈধ নির্ভরযোগ্যতা স্তর,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
গ্রহণযোগ্যতা নমুনা,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
সঞ্চিত ত্রুটি,ਸੰਚਿਤ ਗਲਤੀ
সঠিকতা,ਸ਼ੁੱਧਤਾ
প্রযুক্ত বল,ਲਾਗੂ ਫੋਰਸ
"কর্ম, কাজ","ਕਾਰਵਾਈ, ਕੰਮ"
কর্ম এবং প্রতিক্রিয়া,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
বীমা বিজ্ঞান,ਬੀਮਾ ਵਿਗਿਆਨ
তীব্র ত্রিভুজ,ਤੀਬਰ ਤਿਕੋਣ
অ্যাসাইক্লিক,acyclic
যোগফল,ਸੰਪੇਕਸ਼ਤ
যোগকারী,ਜੋੜਨ ਵਾਲਾ
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
যোগের সূত্র,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
জটিল সংখ্যার যোগফল,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
ফাংশনের যোগফল,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
ম্যাট্রিক্সের যোগফল,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
বহুপদীর সমষ্টি,ਬਹੁਪਦ ਦਾ ਜੋੜ
সম্ভাবনার যোগফল,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
ভেক্টরের সমষ্টি,ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ
"যোগ উপপাদ্য, বেরি তত্ত্ব,","ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ"
সংযোজনকারী গ্রুপ,additive ਗਰੁੱਪ
সংযোজন বিপরীত,additive ਉਲਟ
যোগযোগ্যতা,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
যোগযোগ্যতা,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
অন্তিক ম্যাট্রিক্স,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
"সংলগ্ন, সংলগ্ন, সংলগ্ন","ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ"
সংলগ্ন কোণ,ਨੇੜੇ ਦੇ ਕੋਣ
সংলগ্ন শীর্ষবিন্দু,ਨੇੜੇ ਦਾ ਸਿਰਾ
যুক্ত করা,ਜੋੜਨ ਲਈ
"সংযুক্ত ঘের,",ਨੱਥੀ ਨੱਥੀ
সাধারণ নির্ধারক,ਆਮ ਨਿਰਣਾਇਕ
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
সংযুক্ত সমীকরণ,ਜੁੜੇ ਸਮੀਕਰਨ
সমগোত্রীয় ম্যাট্রিক্স,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
ম্যাট্রিক্স সমন্বয়,ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ
সমগোত্রীয় ম্যাট্রিক্স,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
গ্রহণযোগ্য অনুমান,ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ
এরোডাইনামিক বল,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
বায়ুগতিবিদ্যা,ਐਰੋਡਾਇਨਾਮਿਕਸ
সমজাতীয় জ্যামিতি,ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ
সমজাতীয় ম্যাপিং,ਸਮਰੂਪ ਮੈਪਿੰਗ
একজাতীয় রূপান্তর,ਸਮਰੂਪ ਤਬਦੀਲੀ
সামগ্রিক পরিবর্তনশীল,ਕੁੱਲ ਵੇਰੀਏਬਲ
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","algebra, algebra, algebra, algebra"
"seedy বন্ধ, বীজাণু","ਬੀਜੀ ਬੰਦ, ਬੀਜੀ"
বীজগণিত সমীকরণ,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগাণিতিক এক্সপ্রেশন,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
বীজগণিতের একজাতীয়তা,ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ
বীজগণিতের ফাংশন,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
বীজগণিত জ্যামিতি,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
বীজগণিত বহুত্ব,ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ
বীজগণিত ব্যবস্থা,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
সমস্ত পূর্ণসংখ্যা সমস্যা,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ
বর্ণানুক্রমিক স্বরলিপি,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
বর্ণানুক্রমিক অক্ষর,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
বিকল্প কোণ,ਬਦਲਵੇਂ ਕੋਣ
