Gujarati,Assamese
અજૈવિક પ્રજનન,অজৈৱিক প্ৰজনন
પેરાનોર્મલ,অস্বাভাৱিক
1. ચોથું પેટ 2. Evomasome,১/ চতুৰ্থ পেট ২) ইভ’মাজম
સ્ટોમેટલ વૃદ્ધિ અંગ,ষ্টোমেটাল বৃদ্ধিৰ অংগ
રૂંધાયેલ વૃદ્ધિ બીજ,স্তব্ধ বৃদ্ধিৰ বীজ
1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
શોષિત કેશન,শোষিত কেটিয়ন
શોષણ,শোষণ
એબિસિનિયન મસ્ટર્ડ,এবিচিনিয়ান সৰিয়হ
1. એકેરિસાઇડ,১.একেৰিচাইড
કેન્દ્રબિંદુ,centripetal
એમ્પ્લીફિકેશન (કોષ),বৃদ্ধি (কোষ)
મંજૂર સહનશીલતા,অনুমোদিত সহনশীলতা
1. વધારાની 2. સહાયક 3. સહાયક,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
અનુકૂલન,অভিযোজন
સંચય,সঞ্চয়
1. શુષ્કતા 2. ચોકસાઇ,1.vaccuracy 2. নিখুঁততা
1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
1. એસિડીકરણ 2. એસિડીકરણ,১.এচিডিকৰণ ২.এচিডিকৰণ
1. એસિડિમીટર 2. એસિડિમીટર,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
એસિડિટી,এচিডিটি
એસિડોફાઇલ,এচিডোফাইল
એસિડિફાઇડ રોક ફોસ્ફેટ,এচিডিফাইড ৰক ফছফেট
એસિડિફાઇડ,এচিডিফাইড
જલભર,জলধাৰা
સંપાદન,অধিগ্ৰহণ
એકર,একৰ
1. વિસ્તાર 2. વિસ્તાર,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
અંતિમ બિંદુ રંગસૂત્ર,শেষ বিন্দু ক্ৰম’জম
આગળ દેખાતું,আগলৈ চাই থকা
એક્રોસમ,acrosome
એક્ટિનોમીસેટ્સ,actinomycetes
સક્રિય કોર,সক্ৰিয় কোৰ
1. ગુસ્સે 2. તીવ્ર,1. উত্তেজিত 2. তীব্ৰ
અનુકૂલનક્ષમતા,অভিযোজন ক্ষমতা
કસ્ટમાઇઝેશન,কাষ্টমাইজেচন
1. સંલગ્નતા 2. સંલગ્નતા,১.আঠাযুক্ততা ২.আঠাযুক্ততা
સેબેસીયસ,তৈলাক্ত
ગોઠવણ સમીકરણ,সমন্বয় সমীকৰণ
એડોબ માટી,এডোব মাটি
ભેળસેળ કરનાર,ব্যভিচাৰী
એક્ટોપિક,এক্ট&#39;পিক
ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ,Isidiospore Isidium বিজাণু
એરોડાયનેમિક પ્રક્રિયા,বায়ুগতিশীল প্ৰক্ৰিয়া
વેન્ટ્રલ,ventral
વાયુયુક્ત કરવું,বায়ুমণ্ডলীয় কৰা
1. હવા 2. આકાશી,১.বায়ু ২.আকাশী
1. એરોમીટર 2. એરોમીટર 3. એરોમીટર,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
એરોસોલ,এৰ&#39;ছল
1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
રોગનું વિજ્ઞાન,ৰোগৰ বিজ্ঞান
વનીકરણ,বনানীকৰণ
1. આંદોલન 2. અશાંતિ,১.আন্দোলন ২.অস্থিৰতা
એગમાર્ક,আগমাৰ্ক
1. જમીન સંબંધિત 2. કૃષિ,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
કૃષિ ક્લિનિક,কৃষি ক্লিনিক
1. ખેત મજૂરી 2. ખેત મજૂરી,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
કૃષિ માર્કેટિંગ,কৃষি বিপণন
કૃષિ ટેકનોલોજી,কৃষি প্ৰযুক্তি
1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
કૃષિ વનસંવર્ધન,কৃষি বনজ
કૃષિ જૈવવિવિધતા,কৃষি জৈৱ বৈচিত্ৰ্য
કૃષિ કાર્બનિક ખામીઓ,কৃষি জৈৱিক দোষ
કૃષિ જીવવિજ્ઞાન,কৃষি জীৱবিজ্ঞান
કૃષિ-આબોહવાની વિવિધતા,কৃষি-জলবায়ু বৈচিত্ৰ্য
એગ્રોક્લાઇમેટિક ઝોનની રચના,কৃষি জলবায়ু মণ্ডল সৃষ্টি
કૃષિ વનીકરણ,কৃষি বনানীকৰণ
કૃષિ વિજ્ઞાન,কৃষি বিজ্ঞান
કૃષિવિજ્ઞાન,কৃষিভিত্তিক
કૃષિ પશુપાલન,কৃষি পশুপালন
પાક પ્રક્રિયા,শস্য প্ৰক্ৰিয়াকৰণ
ઘાસ વિજ્ઞાન,ঘাঁহ বিজ্ঞান
પાકનો પ્રકાર,শস্যৰ প্ৰকাৰ
એપિફાઇટ,এপিফাইট
aikiochi માટી,আইকিওচি মাটি
રંગ અંધત્વ,ৰঙৰ অন্ধতা
આલ્ફીસોલ,আলফিছল
શેવાળ,শেলাই
શેવાળ રોગ,শেলাইৰ ৰোগ
આલ્કલી પાણી,ক্ষাৰকীয় পানী
આલ્કલાઇન,ক্ষাৰকীয়
વૈકલ્પિક,বিকল্প
એલેલો રસાયણશાસ્ત્ર,allelo ৰসায়ন বিজ্ঞান
એલીલ,এলিল
એલોપથી,এলেল&#39;পেথী
વેથી પાક,ভেঠী শস্য
પૂર્ણતા,consummation
ગર્ભાધાન,নিষেচন কৰা
1. સાપેક્ષતા 2. એલોમેટ્રી,১.আপেক্ষিকতা ২.এলোমেট্ৰি
મલ્ટીપ્લોઇડી,multiploidy
1. પેરાઝીગોસિટી,১/ পেৰাজাইগোচিটি
1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
વૈકલ્પિક જમીનનો ઉપયોગ,বিকল্প ভূমি ব্যৱহাৰ
પર્યાવરણ,পৰিৱেশ
સુધારક,সংস্কাৰক
મિટોસિસ,মাইট’ছিছ
આમીન,আমিনন
એમોનિયન,এমোনিয়ন
એમ્નિફરસ,amniferous
1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
ઉભયજીવી મિશ્રણ,উভচৰ মিশ্ৰণ
એમ્ફોટેરિક,এম্ফোটেৰিক
સંગ્રહ,ষ্টকপাইলিং
1. એનારોબિક 2. એનારોબિક સજીવો,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
હેપ્લોઇડ,হেপ্লয়ড
કોણીય વાવેતર,কৌণিক ৰোপণ
પશુપાલન,পশুপালন
પ્રાણીના મળમૂત્ર,পশুৰ মল-মূত্ৰ
જીવંત ઊર્જા,জীৱন্ত শক্তি
વિસંગત,অস্বাভাৱিক
એક વર્ષ જૂનો છોડ,এবছৰীয়া উদ্ভিদ
વાર્ષિક,বছেৰেকীয়া
1. પરમાનંદ 2. ઉજાસ,1. আনন্দ 2. উজ্জ্বলতা
એન્થ્રેક્સ,এন্থ্ৰেক্স
એન્થ્રોપોજેનિક પરિબળો,মানৱজনিত কাৰকসমূহ
અસ્તિત્વ,জীয়াই থকা
1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
પ્રતિકૂળ,repulsive
એન્ટીઑકિસડન્ટ,এন্টিঅক্সিডেন্ট
એન્ટિટોક્સિન,এন্টিটক্সিন
રિંગ આંગળી,ৰিং ফিংগাৰ
