Hindi,Marathi
आबेली समूह,abeli गट
आबेली सामिसमूह,अबेली गट
भुज,हात
"निरपेक्ष, परम, अचर, परिशुद्‌ध","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
निरपेक्ष अभिसरण,परिपूर्ण अभिसरण
निरपेक्ष त्रुटि,परिपूर्ण त्रुटी
परम उच्चिष्ठ,सर्वोच्च सर्वोच्च
परम निम्निष्ठ,परिपूर्ण सर्वात कमी
निरपेक्ष मान,परिपूर्ण मूल्य
निरपेक्ष वेग,परिपूर्ण वेग
अमूर्त बीजगणित,अमूर्त बीजगणित
अमूर्त समूह सिद्‌धांत,अमूर्त गट सिद्धांत
त्वरण,प्रवेग
गुरुत्वीय त्वरण,गुरुत्वाकर्षण प्रवेग
स्वीकार्य वरण-समुच्चय,स्वीकार्य निवडकर्ता
स्वीकार्य गुणता स्तर,स्वीकार्य गुणवत्ता पातळी
स्वीकार्य परिसर,स्वीकार्य परिसर
मान्य विश्वसनीयता स्तर,वैध विश्वसनीयता पातळी
स्वीकरण-प्रतिचयन,स्वीकृती नमुना
संचित त्रुटि,संचित त्रुटी
यथार्थता,अचूकता
लगा हुआ बल,शक्ती लागू
" क्रिया , कर्म","कृती, कृती"
क्रिया और प्रतिक्रिया,क्रिया आणि प्रतिक्रिया
बीमा विज्ञान,विमा विज्ञान
न्यूनकोण त्रिभुज,तीव्र त्रिकोण
अचक्रीय,अॅसायक्लिक
"योग करना, जोड़ना",बेरीज करणे
योजक,जोडणारा
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
योग का सूत्र,योगाचे सूत्र
सम्मिश्र संख्याओं का योग,जटिल संख्यांची बेरीज
फलनों का योग,कार्यांची बेरीज
आव्यूहों का योग,मॅट्रिक्सची बेरीज
बहुपदों का योग,बहुपदांची बेरीज
प्रायिकताओं का योग,संभाव्यतेची बेरीज
सदिशों का योग,वेक्टरची बेरीज
"योग प्रमेय बेरीज सिद्‌धांत,","बेरीज प्रमेय, बेरी सिद्धांत"
योज्य समूह,मिश्रित गट
योज्य व्युत्क्रम,additive inverse
"योज्यता, योगशीलता",जोडणी
योज्यता,जोडणी
आसन्नता आव्यूह,संलग्नता मॅट्रिक्स
" संलग्न, निकटवर्ती , आसन्न","समीप, समीप, समीप"
आसन्न कोण,समीप कोन
आसन्न शीर्ष,समीप शिरोबिंदू
सहबद्‌ध करना,संबद्ध करणे
"संलग्न संलग्नीत,",संलग्न संलग्न
सहखंडज सारणिक,सामान्य निर्धारक
संलग्न अवकल समीकरण,संलग्न विभेदक समीकरण
संलग्न समीकरण,संलग्न समीकरण
सहखंडज आव्यूह,एकसंध मॅट्रिक्स
आव्यूह सहखंडज,मॅट्रिक्स सहप्रसरण
सहखंडज आव्यूह,एकसंध मॅट्रिक्स
ग्राह्य निर्णय फलन,स्वीकार्य निर्णय कार्य
ग्राह्य परिकल्पना,स्वीकार्य गृहीतक
वायुगतिक बल,वायुगतिकीय शक्ती
वायु गतिकी,वायुगतिकी
सजातीय ज्यामिति,एकसंध भूमिती
सजातीय प्रतिचित्रण,एकसंध मॅपिंग
सजातीय रूपांतरण,एकसंध परिवर्तन
समुच्चयी चर,एकूण चल
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"बीजतः संवृत, बीजतः","बियाणे बंद, बीजारोपण"
बीजीय समीकरण,बीजगणितीय समीकरण
बीजीय व्यंजक,बीजगणितीय अभिव्यक्ती
बीजीय समघात,बीजगणितीय एकरूपता
बीजीय फलन,बीजगणितीय कार्य
बीजीय ज्यामिति,बीजगणितीय भूमिती
बीजीय बहुकता,बीजगणितीय बहुलता
बीजीय निकाय,बीजगणितीय प्रणाली
सर्व-पूर्णांक समस्या,सर्व-पूर्णांक समस्या
"नियतन समस्या वाटपप्रश्न,",असाइनमेंट समस्या वॅट प्रश्न
अक्षरात्मक संकेत पद्‌धति,वर्णक्रमानुसार नोटेशन
अक्षरात्मक संप्रतीक,वर्णमाला वर्ण
एकांतर कोण,पर्यायी कोन
"एकांतर समघात प्रत्यावर्ती रूप,",पर्यायी एकसंध पर्यायी फॉर्म
एकांतर समूह,पर्यायी गट
एकांतर आव्यूह,पर्यायी मॅट्रिक्स
एकांतर श्रेणी,पर्यायी मालिका
वैकल्पिक परिकल्पना,वैकल्पिक गृहीतक
वैकल्पिक इष्टमत,पर्यायी इष्टतम
वैकल्पिक परिणाम,पर्यायी परिणाम
अनुरूप-अंकीय परिवर्तक,अॅनालॉग-अंकी कनवर्टर
"अनुरूप कम्प्यूटर,",अॅनालॉग संगणक
विश्लेषण,विश्लेषण
सहप्रसरण-विश्लेषण,सहप्रसरण विश्लेषण
गणन-आंकड़ों का विश्लेषण,गणन-डेटा विश्लेषण
प्रसरण-विश्लेषण,भिन्नता विश्लेषण
विश्लेषिक ज्यामिति,विश्लेषणात्मक भूमिती
विश्लेषिक फलन,विश्लेषणात्मक कार्य
कोण,कोन
स्पर्श-कोण,स्पर्शिका कोन
विक्षेप-कोण,विक्षेपण कोन
अवनमन-कोण,उदासीनता कोन
विचलन-कोण,विचलन कोन
विवर्तन-कोण,विवर्तन कोन
उन्नयन-कोण,उंची कोन
आपतन-कोण,घटनेचा कोन
प्रक्षेप-कोण,प्रक्षेपण कोन
परावर्तन-कोण,प्रतिबिंब कोन
अपवर्तन-कोण,अपवर्तन कोन
घूर्णन-कोण,रोटेशन कोन
पूर्ण परावर्तन-कोण,परावर्तनाचा परिपूर्ण कोन
कोणीय त्वरण,कोनीय प्रवेग
कोणीय गति,कोनीय गती
कोणीय चाल,कोनीय गती
कोणीय वेग,कोनीय गती
वलयिका,अनामिका
उत्तर,उत्तर द्या
प्रति-अवकलज,काउंटर व्युत्पन्न
प्रतिसममित फलन,आयसोमेट्रिक फंक्शन
"आच्छाद्य , अनु प्रयोज्य, लागू","कव्हर करण्यायोग्य, लागू, लागू"
"अनुप्रयोग उपयोजन,",अर्ज अर्ज
अनुप्रयुक्त गतिशील प्रोग्रामन,लागू डायनॅमिक प्रोग्रामिंग
अनुप्रयुक्त ज्यामिति,लागू भूमिती
अनुप्रयुक्त गणित,लागू गणित
अनुप्रयुक्त सांख्यिकी,लागू आकडेवारी
"सन्निकटतः, लगभग","अंदाजे, अंदाजे"
सन्निकटतः संतत फलन,अंदाजे सतत कार्य
"स्थूल विधि, सन्निकट विधि","मॅक्रो पद्धत, अंदाजे पद्धत"
सन्निकट हल,अंदाजे उपाय
सन्निकटन-समस्या,अंदाजे समस्या
सन्निकटन-गुणधर्म,अंदाजे मालमत्ता
अभिक्षमता-परीक्षावली,योग्यता चाचणी
आरगाँ आरेख,आर्गॉन आकृती
स्वेच्छगहीतृ,ऐच्छिक
"स्वेच्छ, यादृच्छिक","यादृच्छिक, यादृच्छिक"
स्वेच्छ अचर,अनियंत्रित स्थिरांक
स्वेच्छ अवयव,मुक्त घटक
स्वेच्छ बिन्दु,अनियंत्रित बिंदू
आर्किमीडी नियम,आर्किमिडीजचा कायदा
आर्किमीडीज़ का नियम,आर्किमिडीजचा कायदा
"चाप-दैर्घ्य, चाप-लम्बाई","चाप-लांबी, चाप-लांबी"
वत्तृ चाप,वर्तुळ चाप
प्रतिलोम ज्या बंटन,व्यस्त साइन वितरण
प्रतिलोम ज्या रूपांतरण,व्यस्त साइन रूपांतरण
" क्षेत्र , क्षेत्रफल","क्षेत्र, क्षेत्र"
क्षेत्रीय विन्यास,प्रादेशिक कॉन्फिगरेशन
सम्मिश्र संख्या का कोणांक,जटिल संख्येचा कोन
समांतर माध्य,अंकगणित सरासरी
अंकीय संक्रिया,डिजिटल ऑपरेशन
अंकीय एकक,डिजिटल युनिट
"विन्यास, व्यवस्था","कॉन्फिगरेशन, व्यवस्था"
"व्यूह , सरणी","अॅरे, अॅरे"
कृत्रिम उपग्रह,कृत्रिम उपग्रह
कृत्रिम चर,कृत्रिम व्हेरिएबल
आरोहण करना,चढणे
आरोही,चढत्या
परिमाण का आरोही क्रम,परिमाणाचा चढता क्रम
आरोही श्रेणी,चढत्या श्रेणी
कोडांतरक भाषा,असेंबलर भाषा
"नियतन समस्या नियतन प्रश्न,",असाइनमेंट समस्या असाइनमेंट प्रश्न
साहचर्य नियम,सहयोगी नियम
संकारकों का साहचर्य नियम,ऑपरेटर्सचा सहयोगी नियम
साहचर्य-संक्रिया,सहयोगी ऑपरेशन
सहचारिता,सहवास
कल्पित माध्य,सरासरी गृहीत धरले
कल्पित प्रायिकता बंटन,गृहीत संभाव्यता वितरण
" कल्पना , गृहीत,","कल्पना केली, स्वीकारली"
ज्योतिष,ज्योतिष
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",अंतराळ अभियंता अंतराळ अभियंता
खगोलज्ञ*,खगोलशास्त्रज्ञ*
खगोलीय घड़ी,खगोलशास्त्रीय घड्याळ
खगोलिकी,खगोलशास्त्र
असममित वक्र,असममित वक्र
असममिति,विषमता
अनंतस्पर्शी,लक्षणे नसलेला
उपगामी,त्रासदायक
उपगामी दक्ष आकलक,प्रगतीशील अंदाजक
उपगामी अनभिनत आकलक,प्रतिगामी पक्षपाती अनुमानक
उपगामी आचरण,प्रतिगामी आचरण
उपगामी बंटन-फलन,आक्रमक वितरण कार्य
उपगामी प्रसार,वर पसरलेला
वायु मंडलीय दाब,वातावरणाचा दाब
"यदृच्छया,",यादृच्छिकपणे
गुण*,मालमत्ता*
गुण-प्रतिचयन-क्रियाविधि,विशेषता-नमुना-यंत्रणा
संवर्धित आव्यूह,संवर्धित मॅट्रिक्स
