Malayalam,Tamil
നിബാക്സിയൽ ഉപരിതലം,அபாக்ஸியல் மேற்பரப்பு
അടിവയറ്,அடிவயிறு
വയറുവേദന അയോട്ടോ,வயிற்று பெருநாடி
വയറിലെ ഗാംഗ്ലിയ,வயிற்று கேங்க்லியா
Abelmoschus എസ്സുലന്റസ്,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
വെറുക്കല്,மாறுபாடு
അബി),அபிஸ்
അബിങ്ഡൺ ആമ,அபிங்டன் ஆமை
അബിയോജെനിസിസ്,அபியோஜெனெஸிஸ்
അബിയോട്ടിക്,அஜியோடிக்
അശുഭാപ്തി ഘടകം,அஜியோடிக் காரணி
അസാധാരണമായ മൂത്രം,அசாதாரண சிறுநீர்
അബോ രക്തം ഗ്രൂപ്പ്,ABO இரத்தக் குழு
അബ്സിസിക് ആസിഡ്,அப்சிசிக் அமிலம்
നിര്വഹണം,கஷ்டம்
ഉള്ക്കൊള്ളുക,உறிஞ்சும்
ആഗിരണം കൊടുമുടി,உறிஞ்சுதல் உச்சம்
ആഗിരണം,உறிஞ்சுதல்
അക്കേഷ്യ കാറ്റെച്ചു,அகாசியா கேடெச்சு
അക്കാര്യ അറബിക്ക,அகாரியா அரபிகா
അകാപ്രിൻ,அகப்ரின்
സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
ആക്സസറി ഗ്രന്ഥി,துணை சுரப்பி
ആക്സസറി ഗ്രന്ഥി,துணை சுரப்பி
ആക്സസറി അവയവം,துணை உறுப்பு
ACCLIMATIES,பழக்கவழக்கமயமாக்கல்
അക്ലിമിലൈസ്,பழக்கப்படுத்துங்கள்
താമസം (ഫോക്കസിംഗ്),தங்குமிடம் (கவனம் செலுத்துதல்)
കണ്ണിന്റെ താമസം,கண் தங்குமிடம்
പ്രകടിപ്പിക്കുന്ന വളർച്ച,திரட்டல் வளர்ச்சி
കൂന്വാരം,குவிப்பு
ജൈവവസ്തുക്കളുടെ ശേഖരണം,கரிமப் பொருட்களின் குவிப்பு
മണ്ണിന്റെ ശേഖരണം,மண்ணின் குவிப்பு
അസെലുലാർ,அசெல்லுலர்
അസെല്ലുലാർ ജീവികൾ,அசெல்லுலர் உயிரினம்
Aecetabulum,அசிடபூலம்
അസെറ്റൽഡിഹൈഡ്,அசிடால்டிஹைட்
അസെറ്റി കൊവെൻസിഎംഇ,அசிடைல் கோஎன்சைம்
അച്ചാതിന,அச்சாடினா
നെച്ചെൻ തരം,அச்சீன் வகை
അച്ചീൻ,அச்சீன்
ആൾമെംഡിഡോസ്പോര്പോറിയ,அச்ச்சைடோஸ்போரே
അമ്ല മഴ,அமில மழை
അസിഡിറ്റി,அமிலத்தன்மை
അസിഡിറ്റിക് വാതകം,அமில வாயு
അസിഡിറ്റി,அமிலத்தன்மை
അക്കിനാർ സെൽ,அசிநார் செல்
അക്കോമോമോമറ്റ്,அகோலோமேட்
അക്കോണിറ്റം,அகோனிட்டம்
ആക്രമണാത്മക പുഴു,ஏகோர்ன் புழு
അക്കോസ്റ്റിക് സോണിംഗ്,ஒலி மண்டலம்
സ്വന്തമാക്കിയ പ്രതീകം,வாங்கிய எழுத்து
പ്രതിരോധശേഷി നേടി,நோய் எதிர்ப்பு சக்தி
ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
അങ്കാരിയ,அக்னியா
അക്രിക്കൈൻ ഡൈ,அக்ரிடைன் சாயம்
അക്രോസെന്റ്,அக்ரோஷென்ட்ரிக்
അക്രോമീൻ,அக்ரோமியன்
അക്രോരേറ്റൽ സീക്വൻസ്,அக்ரோபெட்டல் வரிசை
അക്രോപോളൽ ഓർഡർ,அக்ரோபெட்டல் ஆர்டர்
അക്രോസിൻ,அக்ரோசின்
ആക്ടിൻ,ஆக்டின்
ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ,ஆக்டின் போன்ற புரதம்
ആക്ടിനോമോർഫിക്,ஆக்டினோமார்பிக்
ആക്റ്റിനോമൈസെറ്റുകൾ,ஆக்டினோமைசீட்கள்
പ്രവർത്തന സാധ്യത,செயல்பாட்டு திறன்
സജീവമാക്കിയ സ്ലഡ്ജ്,செயல்படுத்தப்பட்ட கசடு
സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്,செயல்படுத்தப்பட்ட கசடு மிதவை
സജീവമാക്കൽ .ർജ്ജം,செயல்படுத்தும் ஆற்றல்
സജീവമായ ആഗിരണം,செயலில் உறிஞ்சுதல்
സജീവ പ്രതിരോധശേഷി,செயலில் நோய் எதிர்ப்பு சக்தி
സജീവ വികിരണം,செயலில் கதிர்வீச்சு
സജീവ സൈറ്റ്,செயலில் உள்ள தளம்
ആധ്രിക്കുക,ஆக்டிவின்
അക്യുമിനേറ്റ്,அக்யூமினேட்
ആദാംസിയ,ஆடம்ஸியா
പൊരുത്തപ്പെടലി,தகவமைப்பு
പൊരുത്തപ്പെടുത്തൽ,தழுவல்
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,ஒளி ஆட்சிக்கு தழுவல்
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,நீர் பற்றாக்குறைக்கு தழுவல்
അഡാപ്റ്റീവ് സവിശേഷതകൾ,தகவமைப்பு பண்புகள்
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
അഡാപ്റ്റീവ് വികിരണം,தகவமைப்பு கதிர்வீச்சு
അഡാപ്റ്റീവ് സ്വഭാവം,தகவமைப்பு பண்பு
അഡാക്സിയൽ ഉപരിതലം,அடாக்ஸியல் மேற்பரப்பு
ആസക്തി നിഴൽ,போதை கோளாறு
ആദൈൈൻ,அடினின்
Adenocortiopin,அடினோகார்டிகோட்ரோபின்
ആദിനോഹൈപഫിസിസ്,அடினோஹைபோஃபிசிஸ்
Adenosin diphosphate,அடினோசின் டைபாஸ்பேட்
Adenosine deaminase,அடினோசின் டீமினேஸ்
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,அடினோசின் மோனோபாஸ்பேட்
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
Adenileat സൈക്ലെസ്,அடினிலேட் சைக்லேஸ்
പശ ശക്തി,பிசின் சக்தி
മുദവയ്ക്കുക,கொழுப்பு
Adipocyte (FALE സെൽ),அடிபோசைட் (கொழுப்பு செல்)
അഡിപോസ് ടിഷ്യു,கொழுப்பு திசு
ആരാധന,Adnate
സമീപ കമ്മ്യൂണിറ്റി,அருகிலுள்ள சமூகம்
അഡ്രീനല്,அட்ரீனல்
അഡ്രീനൽ ഗ്രന്ഥി,அட்ரினல் சுரப்பி
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH)
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH)
ദുര്ധി പകര്,Adsorbent
ദുര്ഗയോധം,உறிஞ்சுதல்
വിപുലമായ കീടങ്ങൾ,மேம்பட்ட சோர்டேட்
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,சாதகமான பிறழ்வு
സാഹസികമായ,சாகச
സാഹസിക റൂട്ട്,சாகச வேர்
പ്രതികൂല ഫലം,பாதகமான விளைவு
Aedes,Aedes
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,கலாச்சாரத்தின் காற்றோட்டம்
അരേഞ്ചമ,ஏரென்கிமா
ഏരിയൽ,வான்வழி
Aierial റൂട്ട്,வான்வழி வேர்
ഏരിയൽ ഷൂട്ട്,வான்வழி படப்பிடிப்பு
എയ്റോബിക് ശ്വസനം,ஏரோபிக் சுவாசம்
എയ്റോബിക് ശ്വസനം,ஏரோபிக் சுவாசம்
സൗന്ദര്യശാസ്ത്രം,அழகியல்
പകർച്ചവ്വാധം,அவதூறு
പകർച്ചവ്വാധം,அவதூறு
അശ്രദ്ധ,Afferent
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,இணைப்பு நிறமூர்த்தம்
പീഡിപ്പിച്ച അവയവം,பாதிக்கப்பட்ட உறுப்பு
വനനം,காடு வளர்ப்பு
