Gujarati,Punjabi
એસી સમકક્ષ સર્કિટ,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
આંકડાકીય કન્વર્ટર માટે એનાલોગ,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
સંપૂર્ણ શૂન્ય,ਪੂਰਨ ਜ਼ੀਰੋ
શોષણ ગુણાંક,ਸਮਾਈ ਗੁਣਾਂਕ
શોષણ સ્પેક્ટ્રમ,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
રીસેપ્ટર અણુ,ਰੀਸੈਪਟਰ ਐਟਮ
વૈકલ્પિક વર્તમાન જોડાણ,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ઇલેક્ટ્રોન લણણી,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
છિદ્ર સંગ્રહ,ਮੋਰੀ ਸਟੋਰੇਜ਼
સક્રિયકરણ ઊર્જા,ਸਰਗਰਮੀ ਊਰਜਾ
સક્રિય એમ્પ્લીફાયર,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
સક્રિય ડાયોડ સર્કિટ,ਸਰਗਰਮ diode ਸਰਕਟ
સક્રિય ફિલ્ટર,ਸਰਗਰਮ ਫਿਲਟਰ
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
સક્રિય લોડ,ਸਰਗਰਮ ਲੋਡ
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
સક્રિય વિસ્તાર,ਸਰਗਰਮ ਖੇਤਰ
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
ઉમેરનાર,ਜੋੜਨ ਵਾਲਾ
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
પ્રવેશ,ਪ੍ਰਵੇਸ਼
એરિયલ,ਏਰੀਅਲ
pep આવર્તન,pep ਬਾਰੰਬਾਰਤਾ
એર કન્ડીશનર,ੲੇ. ਸੀ
ગોઠવણી,ਅਲਾਈਨਮੈਂਟ
અલ્ગોરિધમ,ਐਲਗੋਰਿਦਮ
બધા પાસ ફિલ્ટર,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
એલોય જંકશન,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
એટેન્યુએશન,ਧਿਆਨ
વૈકલ્પિક પ્રવાહ,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
આસપાસનું તાપમાન,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
દ્વિધ્રુવી,ਬਾਈਪੋਲਰ
એમ્પ્લીફિકેશન,ਵਾਧਾ
એમ્પ્લીફાયર,ਐਂਪਲੀਫਾਇਰ
એમ્પ્લીફાયર કાર્યક્ષમતા,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
પરિમાણો,ਮਾਪ
કંપનવિસ્તાર એટેન્યુએશન,ਐਪਲੀਟਿਊਡ attenuation
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
