Tamil,English
"1.அபாகஸ், 2. எண்ணும்",abacus
அசாதாரண முடிவு,abnormal termination
இடைமறிக்கவும்,abort
"1. முழுமையான, 2. உச்சம்",absolute
முழுமையான முகவரி,absolute address
முழுமையான முகவரித்திறன்,absolute addressing
முழுமையான அசெம்பிளர்,absolute assembler
"1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு",absolute code
முழுமையான கட்டளை,absolute command
"1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு",absolute data
முழுமையான அறிவுறுத்தல்,absolute instruction
முழுமையான பயன்முறை,absolute mode
முழுமையான பாதை,absolute path
"1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்",absolute programming
சுருக்க வர்க்கம்,abstract class
சுருக்க தரவு வகை,abstract data type
சுருக்க இயந்திரம்,abstract machine
சுருக்க சின்னம்,abstract symbol
சுருக்க தொடரியல்,abstract syntax
ஏற்பு சோதனை,acceptance testing
அணுகல் சான்றிதழ்,access authentication
"1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு",access code
நுழைவு கட்டுப்பாடு,access control
அணுகல் ஸ்கேனிங்,access scan
பாகங்கள்,accessory
கணக்கியல்,account
"1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்",account ID
திரட்டி,accumulator
"1. துல்லியம், 2. துல்லியம்",accuracy
அணுகல்,acess
அணுகல் கட்டுப்பாட்டு பைட்டுகள்,acess control byte
அணுகல் காட்டி,acess index
அணுகல் விசை,acess key
"1. அணுகல் அணி, 2. அணுகல் அணி",acess matrix
அணுகல் முறை,acess mode
அணுகல் சலுகைகள்,acess privilege
அணுகல் பாதுகாப்பு,acess security
"1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்",acess server
அணுகல் நேரம்,acess time
ஒப்புகை,acknowledgement
ஒலியியல்,acoustics
"1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய",acronym
செயல் செய்தி,action message
செயல்படுத்துதல்,activation
செயலில் உள்ள சர்வர் பக்கம்,active server page (ASP)
செயலில் உள்ள பதிப்பு,active version
அசைக்ளிக்,acyclic
"1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்",acyclic graph
அட கணினி மொழி,Ada language
"1. ஆப்டிமைசர், 2. உகப்பாக்கி",adapter
மொத்தத்தில்),add
தொகை கோப்பு,add file
"1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு",add operation
சேர்ப்பான்,adder
தெரியும்,address
முகவரி பேருந்து,address bus
முகவரி கோப்பு,address file
முகவரி வடிவம்,address format
முகவரி ஜெனரேட்டர்,address generator
முகவரி வரி,address line
முகவரி மேப்பிங்,address mapping
முகவரி காட்டி,address pointer
முகவரி பதிவு,address register
முகவரி முறிவு,address resolution
முகவரி மொழிபெயர்ப்பு,address translation
"1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்",addressed memory
உரையாற்றுதல்,addressing
"1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்",adequacy criteria
இணைப்பு,adjoint
"1. மேலாண்மை, 2. கட்டுப்பாடு",administration
"1. மேலாளர், 2. கட்டுப்படுத்தி",administrator
அடோப் அக்ரோபேட்,adobe acrobat
அடோ போட்டோஷாப்,adobe photoshop
ABAP (மேம்பட்ட வணிக நிரலாக்கம்),Advance Business Application Programming (ABAP)
"1. மேம்பட்ட தரவு, 2. மேம்பட்ட தரவு",advanced data
மேம்பட்ட தகவல் அமைப்பு,advanced information system
மேம்பட்ட தொழில்நுட்பம் (AT),advanced technology (AT)
நடவடிக்கை,agent
திரட்டுதல்,aggregation
வான்வழி கணினி அமைப்பு,airborne computer system
அல்டஸ் பக்கம்-தயாரிப்பு,aldus page maker
எச்சரிக்கை பெட்டி,alert box
அல்கோல் (கணினி மொழி),algol
"1. அல்காரிதம் , 2. அல்காரிதம்",algorithm
"1. அல்காரிதம் பகுப்பாய்வு, 2. அல்காரிதம் பகுப்பாய்வு",algorithm analysis
அல்காரிதம் திறன்,algorithm efficiency
"1. எலியாஸ், 2. புனைப்பெயர், 3. aka",alias
