Assamese,Marathi
অজৈৱিক প্ৰজনন,अजैविक पुनरुत्पादन
অস্বাভাৱিক,अलौकिक
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. चौथे पोट 2. इवोमासोम
ষ্টোমেটাল বৃদ্ধিৰ অংগ,रंध्र वाढीचा अवयव
স্তব্ধ বৃদ্ধিৰ বীজ,वाढ खुंटलेले बीज
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. अवांछित तण 2. पूर्ण तण
শোষিত কেটিয়ন,शोषलेले केशन
শোষণ,शोषण
এবিচিনিয়ান সৰিয়হ,Abyssinian मोहरी
১.একেৰিচাইড,1. ऍकेरिसाइड
centripetal,केंद्राभिमुख
বৃদ্ধি (কোষ),प्रवर्धन (सेल)
অনুমোদিত সহনশীলতা,मंजूर सहिष्णुता
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
অভিযোজন,रुपांतर
সঞ্চয়,जमा
1.vaccuracy 2. নিখুঁততা,1. अचूकता 2. अचूकता
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. एसरव्हुलस 2. स्पोरोफाइट
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
১.এচিডিকৰণ ২.এচিডিকৰণ,1. आम्लीकरण 2. आम्लीकरण
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. ऍसिडोमीटर 2. ऍसिडीमीटर
এচিডিটি,आंबटपणा
এচিডোফাইল,ऍसिडोफाइल
এচিডিফাইড ৰক ফছফেট,ऍसिडिफाइड रॉक फॉस्फेट
এচিডিফাইড,आम्लीकृत
জলধাৰা,जलचर
অধিগ্ৰহণ,संपादन
একৰ,एकर
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. क्षेत्रफळ 2. क्षेत्रफळ
শেষ বিন্দু ক্ৰম’জম,अंतिम बिंदू गुणसूत्र
আগলৈ চাই থকা,पुढे दिसणारा
acrosome,acrosome
actinomycetes,actinomycetes
সক্ৰিয় কোৰ,सक्रिय कोर
1. উত্তেজিত 2. তীব্ৰ,1. उग्र 2. तीव्र
অভিযোজন ক্ষমতা,अनुकूलता
কাষ্টমাইজেচন,सानुकूलन
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. आसंजन 2. आसंजन
তৈলাক্ত,सेबेशियस
সমন্বয় সমীকৰণ,समायोजन समीकरण
এডোব মাটি,adobe माती
ব্যভিচাৰী,भेसळ करणारा
এক্ট&#39;পিক,एक्टोपिक
Isidiospore Isidium বিজাণু,Isidiospore Isidium बीजाणू
বায়ুগতিশীল প্ৰক্ৰিয়া,वायुगतिकीय प्रक्रिया
ventral,वेंट्रल
বায়ুমণ্ডলীয় কৰা,वायुवीजन करणे
১.বায়ু ২.আকাশী,1. हवा 2. आकाशी
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
এৰ&#39;ছল,एरोसोल
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. फुलणे 2. उन्हाळी सुप्तता
ৰোগৰ বিজ্ঞান,रोग विज्ञान
বনানীকৰণ,वनीकरण
১.আন্দোলন ২.অস্থিৰতা,1. आंदोलन 2. अशांतता
আগমাৰ্ক,Agmark
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. जमिनीशी संबंधित 2. कृषी
কৃষি ক্লিনিক,कृषी चिकित्सालय
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. शेतमजूर 2. शेतमजूर
কৃষি বিপণন,कृषी विपणन
কৃষি প্ৰযুক্তি,कृषी तंत्रज्ञान
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. शेती 2. शेती 3. कृषी विज्ञान
কৃষি বনজ,कृषी वनीकरण
কৃষি জৈৱ বৈচিত্ৰ্য,कृषी जैवविविधता
কৃষি জৈৱিক দোষ,कृषी सेंद्रिय दोष
কৃষি জীৱবিজ্ঞান,कृषी जीवशास्त्र
