Kannada,Bengali
ದಾಟುವುದು,অবসান
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,সংক্ষেপণ
ಅಪಹರಣ,অপহরণ
ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ,অবসান
ಸಾಮರ್ಥ್ಯ,ক্ষমতা
ಎಬಿ ಇನಿಶಿಯೋ,অ্যাব initio
ಸಮರ್ಥ,সক্ষম
ಅಸಹಜ,অস্বাভাবিক
ನಿರ್ಮೂಲನ,বিলুপ্তি
ರದ್ದುಮಾಡುವಿಕೆ,বিলোপ পোস্ট
ಮೇಲೆ ತಿಳಿಸಿದ,উপর্যুক্ত
ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ,উপরে উদ্ধৃত
ಮೇಲೆ ಹೇಳಿದರು,উপরে বলেছেন
ಅನುಪಸ್ಥಿತಿ,অনুপস্থিতি
ಗೈರುಹಾಜರಿ,অনুপস্থিত
ಗೈರುಹಾಜರಿ,অনুপস্থিতি
ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ,অনুপস্থিত বিবৃতি
ಸಂಪೂರ್ಣ,পরম
ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ,পরম একচেটিয়া
ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ,পরম মালিকানা
ಹೀರುವಿಕೆ,শোষণ
ಅಮೂರ್ತ,বিমূর্ত
ಅಮೂರ್ತತೆ,অ্যাবস্ট্রাক্টস্টেটমেন্ট
ಅಸಂಬದ್ಧ,অযৌক্তিক
ಹೇರಳವಾಗಿರುವುದು,প্রাচুর্য
ಅಧಿಕಾರದ ದುರುಪಯೋಗ,ক্ষমতার অপব্যবহার
ನಿಂದಕ ಭಾಷೆ,অবমাননাকর ভাষা
ಶೈಕ್ಷಣಿಕ,একাডেমিক
ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ,একাডেমিক আলোচনা
ಶೈಕ್ಷಣಿಕ ರಜೆ,একাডেমিক ছুটি
ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,শিক্ষাগত যোগ্যতা
ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ,একাডেমিক রেকর্ড
ತಪ್ಪೊಟ್ಟು,প্রশংসা
ಒಪ್ಪಿಕೊಳ್ಳಿ,গ্রহণ
ಸ್ವೀಕಾರಾರ್ಹತೆ,গ্রহণযোগ্যতা
ಕಚೇರಿಯ ಸ್ವೀಕಾರ,অফিস গ্রহণ
ಟೆಂಡರ್ ಸ್ವೀಕಾರ,দরপত্র গ্রহণ
ಪ್ರವೇಶ,অ্যাক্সেস
ಪ್ರವೇಶ,প্রবেশ
ಪರಿಕರ,আনুষঙ্গিক
ಅಪಘಾತ,দুর্ঘটনা
ಒಗ್ಗೂಡಿಸುವಿಕೆ,প্রশংসাপত্র
ಸೌಕರ್ಯ,থাকার ব্যবস্থা
ಜೊತೆಗಾರ,সহকারী
ಸ ೦ ಗೀತ,চুক্তি
ಪ್ರೇಕ್ಷಕ,অ্যাকশন
ಹಾಗೆಯೇ,তদনুসারে
ಖಾತೆ,অ্যাকাউন্ট
ಹೊಣೆಗಾರಿಕೆ,দায়িত্ব
ಹೊಣೆಗಾರ,দায়ী
ಹೊಣೆ,হিসাবরক্ষণ
ಲೆಕ್ಕಪರಿಶೋಧಕ,হিসাবরক্ষক
ಇದಕ್ಕೆ ಖಾತೆ,কি কারণে
ಖಾತೆ,অ্যাকাউন্ট হেড
ಸಂಚಿತ ಲಾಭ,অর্জিত সুবিধা
ಸಂಚಿತ ಪಿಂಚಣಿ,পেনশন আদায়
ಸಂಗ್ರಹಣೆ,জমা
ನಿಖರತೆ,সঠিকতা
ನಿಖರವಾದ,নির্ভুল
ಆರೋಪಿಸು,অভিযোগ
ಆರೋಪಿ,অভিযুক্ত
ಸಾಧನೆ,অর্জন
ಸ್ವೀಕೃತಿ,স্বীকৃতি
ಸ್ವೀಕೃತಿ ಕಾರಣ,স্বীকৃতি বকেয়া
ಪರಿಚಯ,পরিচিত
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,অধিগ্রহণ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,খালাস
ಕಯ,আইন
ನಟನಾ ಭತ್ಯೆ,অভিনয় ভাতা
ಕ್ರಿಯಾಶೀಲತೆ,কর্ম
ಕಾರ್ಯ ತಂತ್ರ,অ্যাকশন প্ল্যান
ಸಕ್ರಿಯ,সক্রিয়
ಸಕ್ರಿಯವಾಗಿ,সক্রিয়ভাবে
ಕಾರ್ಯಕರ್ತ,কর্মী
ಭಗವಂತನ ಆಟ,Of শ্বরের আইন
ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ,অসদাচরণের আইন
ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ,কমিশন ও বাদ দেওয়া আইন
ನಿಜವಾದ,আসল
ವಾಸ್ತವಿಕ,বাস্তব
ರೂಪಾಂತರ,অভিযোজন
ಸೇರ್ಪಡೆ,সংযোজন
ಹೆಚ್ಚುವರಿ ಶುಲ್ಕ,অতিরিক্ত চার্জ
ಹೆಚ್ಚುವರಿ ನಿಧಿ,অতিরিক্ত তহবিল
ಹೆಚ್ಚುವರಿ ಅನುದಾನ,অতিরিক্ত অনুদান
ಹೆಚ್ಚುವರಿ ಮಾಹಿತಿ,অতিরিক্ত তথ্য
ಹೆಚ್ಚುವರಿ ವೇತನ,অতিরিক্ত বেতন
ಸೇರ್ಪಡೆ ಮತ್ತು ಬದಲಾವಣೆ,সংযোজন এবং পরিবর্তন
ಭಾಷಣ,ঠিকানা
ವಿಳಾಸದಾರ,ঠিকানা
ಸ್ವಾಗತದ ವಿಳಾಸ,স্বাগত ঠিকানা
ಸಮರ್ಪಕ,পর্যাপ্ত
ಅಂಟಿಕೊಳ್ಳಿ,মেনে চলুন
ತಾತ್ಕಾಲಿಕ,অ্যাডহক
ತಾತ್ಕಾಲಿಕ ಹಕ್ಕು,অ্যাডহক দাবি
ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ,তদর্থক কমিটি
ತಾತ್ಕಾಲಿಕ ಹೆಚ್ಚಳ,অ্যাডহক বৃদ্ধি
ತಾತ್ಕಾಲಿಕ ಪಾವತಿ,অ্যাডহক পেমেন্ট
ಪಕ್ಕದ,সংলগ্ন
ಪಕ್ಕದ (= ಸಮೀಪ),সংলগ্ন (= সংহত)
ಮುಂದೂಡಿಕೆ,স্থগিতাদেশ
ಮುಂದೂಡುವ ಚಲನೆ,স্থগিতের গতি
ತೀರ್ಪು,রায়
ತೀರ್ಮಾನಿಸು,বিচারক
ಯಜಮಾನ,বিচার
ತೀರ್ಪುಗಾರ,বিচারক
ಹೊಂದಾಣಿಕೆ,সামঞ্জস্য
ನಿರ್ವಹಿಸು,প্রশাসনিক
ಪ್ರಮಾಣವಚನ ಸ್ವೀಕರಿಸಿ,শপথ পরিচালনা করুন
ಆಡಳಿತ,প্রশাসন
ನ್ಯಾಯದ ಆಡಳಿತ,বিচার প্রশাসন
ಆಡಳಿತಕಾರಿಯಾದ,প্রশাসনিক
ಆಡಳಿತಾಧಿಕಾರಿ ಕ್ರಿಯೆ,প্রশাসনিক ক্রিয়া
ಆಡಳಿತಾಧಿಕಾರಿ ಮೌಲ್ಯಮಾಪನ,প্রশাসনিক মূল্যায়ন
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,প্রশাসনিক অনুমোদন
ಆಡಳಿತ ಪ್ರಾಧಿಕಾರದ,প্রশাসনিক কর্তৃপক্ষ
ಆಡಳಿತ ನಿಯಂತ್ರಣ,প্রশাসনিক নিয়ন্ত্রণ
ಆಡಳಿತಾತ್ಮಕ ನಿರ್ಧಾರ,প্রশাসনিক সিদ্ধান্ত
ಆಡಳಿತ ಇಲಾಖೆ,প্রশাসনিক দপ্তর
ಆಡಳಿತಾಧಿಕಾರಿ,প্রশাসনিক মাথা
ಆಡಳಿತ ಕೇಂದ್ರ ಕಚೇರಿ,প্রশাসনিক সদর দফতর
ಆಡಳಿತಾತ್ಮಕ ಕ್ರಮಗಳು,প্রশাসনিক ব্যবস্থা
ಆಡಳಿತ ಅಧಿಕಾರ,প্রশাসনিক শক্তি
ಆಡಳಿತಾಧಿಕಾರಿ ಅನುಮೋದನೆ,প্রশাসনিক অনুমোদন
ಆಡಳಿತ ತಂತ್ರ,প্রশাসনিক কৌশল
ಆಡಳಿತ ನ್ಯಾಯಸಮ್ಮತ,প্রশাসনিক ট্রাইব্যুনাল
ಪ್ರವೇಶಸಾಧ್ಯತೆ,প্রবেশযোগ্যতা
ಸ್ವೀಕಾರಾರ್ಹ ಖರ್ಚು,স্বীকৃত ব্যয়
ಒಪ್ಪಿಸು,স্বীকার করুন
ಪ್ರವೇಶ ಕಾರ್ಡ್,ভর্তি কার্ড
ಒಪ್ಪಿಕೊಂಡ,ভর্তি
ಕವಲೊಡೆಯು,উপদেশ
ಅಳವಡಿಕೆದಾರ,গ্রহণ
ರೋಗಿ,গ্রহণকারী
ದತ್ತು,গ্রহণ
ವಯಸ್ಕ,প্রাপ্তবয়স্ক
ವ್ಯಭಿಚಾರ,ভেজাল
ವ್ಯಭಿಚಾರ,ব্যভিচার
ವಯಸ್ಕರ ಫ್ರ್ಯಾಂಚೈಸ್,প্রাপ্তবয়স্ক ভোটাধিকার
ಜಾಹೀರಾತು ಶೌರ್ಯ ಕರ್ತವ್ಯ,বিজ্ঞাপন ভ্যালোরেম ডিউটি
ಮುನ್ನಡೆ,অগ্রিম
ಮುಂಗಡ ಬುಕಿಂಗ್,আগাম বুকিং
ಮುನ್ನಡೆ,অগ্রিম অনুলিপি
ಮುಂಗಡ ಹೆಚ್ಚಳ,অগ্রিম বৃদ্ধি
ಮುಂಗಡ ಪಾವತಿ,অগ্রিম প্রদান
ಪ್ರತಿಕೂಲ ಪ್ರವೇಶ,প্রতিকূল এন্ট্রি
ಪ್ರತಿಕೂಲ ಟೀಕೆಗಳು,বিরূপ মন্তব্য
ಪ್ರತಿಕೂಲ ವರದಿ,প্রতিকূল প্রতিবেদন
ಆಯ್ಕೆ,বিজ্ঞাপন
ಸಲಹೆ,পরামর্শ
ಪಾವತಿಯ ಸಲಹೆ,অর্থ প্রদানের পরামর্শ
ಸಲಹಾ ಸಮಿತಿ,উপদেষ্টা কমিটি
ಸಲಹಾ ಮಂಡಳಿ,উপদেষ্টা পরিষদ
ಪ್ರತಿಪಾದಿಸು,অ্যাডভোকেট
ವ್ಯವಹಾರ,বিষয়
ಅಫಿಡವಿಟ್,হলফনামা
ಉಪಶಮನ,অধিভুক্তি
ದೃ ir ೀಕರಣ,নিশ্চিতকরণ
ದೃ irf ೀಕರಣದ,ইতিবাচক
ಆತುರಿಸು,সামর্থ্য
ಈನಟ,উপরোক্ত
ಹೊಸದಾಗಿ,নতুন করে
ವಿರುದ್ಧವಾಗಿ,বিরুদ্ধে
ವಯಸ್ಸು,বয়স
ವಯಸ್ಸಾದ ಪ್ರಮಾಣಪತ್ರ,বয়স শংসাপত্র
ಮತದಾರರ ವಯಸ್ಸು,ভোটাধিকার জন্য বয়স
ವಯಸ್ಸಿಗೆ,বয়স সীমা
ವಾಗ್ದಾನ,এজেন্সি
ಕಾಗಾರ,আলোচ্যসূচি
ನಿವೃತ್ತಿಯ ವಯಸ್ಸು,অবসর বয়স
ಮೇಲ್ವಿಚಾರಣೆಯ ವಯಸ್ಸು,তদারকির বয়স
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,সমষ্টি
ದುಃಖಿಸಿದ,আক্রান্ত
ಆಂದೋಲನ,আন্দোলন
ಅವಾತ,এজিএম
ಒಪ್ಪಂದ,চুক্তি
ಒಪ್ಪಂದದ ರೂಪ,চুক্তি ফর্ম
ಕೃಷಿ,কৃষি
ಕೃಷಿ ಉದ್ಯಮ,শস্য উৎপাদন কেন্দ্র
ನೆರವು,সাহায্য
ಎಚ್ಚರಿಕೆ,অ্যালার্ম
ಜಾಗರೂಕತೆ,সতর্কতা
ಅಲಿಯಾಸ್,ওরফে
ಆರೋಪಣೆ,অভিযোগ
ನಿಷ್ಠೆ,আনুগত্য
ಮೈತ್ರಿ,জোট
ಮಿತ್ರ ಸೇವೆಗಳು,মিত্র পরিষেবা
ಎಲ್ಲಾ ಅಂತರ್ಗತ ವೆಚ್ಚ,সমস্ত অন্তর্ভুক্ত ব্যয়
ಅಖಿಲ ಭಾರತ ಸೇವೆಗಳು,সমস্ত ভারত পরিষেবা
ಮನವಸಿಕೆ,বরাদ্দ
ಹಂಚಿಕೆ,বরাদ্দ
ಹಂಚಿಕೆ ಪತ್ರ,বরাদ্দ চিঠি
ಹಂಚುವವ,বরাদ্দ
ಅನುಮತಿಸುವ,অনুমোদিত
ಅನುಮತಿಸುವ ವೆಚ್ಚಗಳು,অনুমোদিত ব্যয়
ಮನವಿಯನ್ನು ಅನುಮತಿಸಿ,একটি আপিলের অনুমতি দিন
ಭತ್ಯೆ,ভাতা
ಎಲ್ಲ ಹಕ್ಕುಗಳನ್ನು ಕಾಯ್ದಿರಿಸಲಾಗಿದೆ,সমস্ত অধিকার সংরক্ষিত
ವರ್ಣಮಾಲೆ,বর্ণমালা অর্ডার
ವಾಗ್ವಾದ,বিক্ষোভ
ಪರ್ಯಾಯ,বিকল্প
ಬದಲಕ,বিকল্প
ಸಂಯೋಗ,সংমিশ্রণ
ತಿದ್ದುಪಡಿ ಮಾಡಿದ ಕರಡು,সংশোধিত খসড়া
ತಿದ್ದುಪಡಿ,সংশোধন
ಸೌಕರ್ಯ,সুযোগ
ಸೌಹಾರ್ದಯುತ,মায়াময়
ಮದ್ದುಗುಂಡು,গোলাবারুদ
ಸಾಲದ ಭೋಗ್ಯ,Debt ণের or ণদান
ಮೊತ್ತ,পরিমাণ
ಪಿಂಚಣಿ ಪ್ರಮಾಣ,পেনশন পরিমাণ
ಸಾದೃಶ್ಯದ ಹುದ್ದೆ,সাদৃশ্য পোস্ট
ವಿಶ್ಲೇಷಣೆ,বিশ্লেষণ
ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಅಧ್ಯಯನ,বিশ্লেষণাত্মক অধ্যয়ন
ಪೂರ್ವಜ,পূর্বপুরুষ
ಪೂರಕ ಉದ್ಯಮ,আনুষঙ্গিক শিল্প
