Gujarati,Bengali
એસી સમકક્ષ સર્કિટ,এসি সমতুল্য সার্কিট
આંકડાકીય કન્વર્ટર માટે એનાલોગ,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
સંપૂર્ણ શૂન્ય,পরম শূন্য
શોષણ ગુણાંક,শোষণ গুণাঙ্ক
શોષણ સ્પેક્ટ્રમ,শোষণ বর্ণালী
રીસેપ્ટર અણુ,রিসেপ্টর পরমাণু
વૈકલ્પિક વર્તમાન જોડાણ,বিকল্প বর্তমান যুগল
ઇલેક્ટ્રોન લણણી,ইলেক্ট্রন সংগ্রহ
છિદ્ર સંગ્રહ,গর্ত স্টোরেজ
સક્રિયકરણ ઊર્જા,অ্যাক্টিভেশন শক্তি
સક્રિય એમ્પ્લીફાયર,সক্রিয় পরিবর্ধক
સક્રિય ડાયોડ સર્કિટ,সক্রিয় ডায়োড সার্কিট
સક્રિય ફિલ્ટર,সক্রিয় ফিল্টার
સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
સક્રિય લોડ,সক্রিয় লোড
સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
સક્રિય વિસ્તાર,সক্রিয় এলাকা
અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ,অভিযোজিত ইলেকট্রনিক্স
ઉમેરનાર,যোগকারী
એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
પ્રવેશ,অনুপ্রবেশ
એરિયલ,এরিয়েল
pep આવર્તન,পিপ ফ্রিকোয়েন্সি
એર કન્ડીશનર,এয়ার কন্ডিশনার
ગોઠવણી,প্রান্তিককরণ
અલ્ગોરિધમ,অ্যালগরিদম
બધા પાસ ફિલ્ટર,সমস্ত পাস ফিল্টার
એલોય જંકશન,খাদ জংশন
એટેન્યુએશન,ক্ষয়
વૈકલ્પિક પ્રવાહ,বিবর্তিত বিদ্যুৎ
આસપાસનું તાપમાન,পরিবেষ্টিত তাপমাত্রা
દ્વિધ્રુવી,বাইপোলার
એમ્પ્લીફિકેશન,পরিবর্ধন
એમ્પ્લીફાયર,পরিবর্ধক
એમ્પ્લીફાયર કાર્યક્ષમતા,পরিবর্ধক দক্ষতা
પરિમાણો,মাত্রা
કંપનવિસ્તાર એટેન્યુએશન,প্রশস্ততা ক্ষয়
કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર,প্রশস্ততা মডুলেটেড এএম অসিলেটর
કંપનવિસ્તાર મોડ્યુલેશન,প্রশস্ততা মড্যুলেশন
કંપનવિસ્તાર મોડ્યુલેટર,প্রশস্ততা মডুলেটর
એંગસ્ટ્રોમ એકમ,অ্যাংস্ট্রম ইউনিট
એનાલોગ સર્કિટ,এনালগ সার্কিট
એનાલોગ કમ્પ્યુટર,এনালগ কম্পিউটার
એનાલોગ ફિલ્ટર,এনালগ ফিল্টার
