Marathi,Odiya
A B वर्ग अॅम्प्लीफायर,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
विकृती,ଘୃଣ୍ୟତା |
असामान्य प्रसार,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
गहाळ स्पेक्ट्रम,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
परिपूर्ण आर्द्रता,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
परिपूर्ण गती,ସଂପୂର୍ଣ୍ଣ ଗତି
परिपूर्ण निरीक्षण,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
परिपूर्ण तापमान,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
पूर्ण शून्य,ସଂପୂର୍ଣ୍ଣ ଶୂନ
शोषून घेणे,ଶୋଷଣ
"शोषक, शोषक","ଶୋଷକ, ଶୋଷକ"
शोषण क्षमता,ଅବଶୋଷଣ କ୍ଷମତା |
शोषण,ଅବସାଦ |
शोषक,ଶୋଷକ
शोषकता,ଶୋଷଣ
गुणोत्तर गुणोत्तर,ବହୁଗୁଣ ଅନୁପାତ |
गती वाढवणे,ତ୍ୱରାନ୍ୱିତ କର |
घाई केली,ଶୀଘ୍ର ଶୀଘ୍ର
प्रवेग,ତ୍ୱରଣ
गुरुत्वाकर्षणाचा प्रवेग,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
प्रवेगक,ତ୍ୱରକ
प्रवेगक,ତ୍ୱରକ
प्रवेगमापक,ଆକ୍ସିଲେରୋମିଟର
prestresser,ସମ୍ମାନ
स्वीकार्य चाचणी,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
स्वीकारणारा,ଗ୍ରହଣକାରୀ
दाता रेणू,ଦାତା ଅଣୁ
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
प्रवेशयोग्यता,ଅଭିଗମ୍ୟତା
