Punjabi,Bengali
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,এসি সমতুল্য সার্কিট
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
ਪੂਰਨ ਜ਼ੀਰੋ,পরম শূন্য
ਸਮਾਈ ਗੁਣਾਂਕ,শোষণ গুণাঙ্ক
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,শোষণ বর্ণালী
ਰੀਸੈਪਟਰ ਐਟਮ,রিসেপ্টর পরমাণু
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,বিকল্প বর্তমান যুগল
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,ইলেক্ট্রন সংগ্রহ
ਮੋਰੀ ਸਟੋਰੇਜ਼,গর্ত স্টোরেজ
ਸਰਗਰਮੀ ਊਰਜਾ,অ্যাক্টিভেশন শক্তি
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,সক্রিয় পরিবর্ধক
ਸਰਗਰਮ diode ਸਰਕਟ,সক্রিয় ডায়োড সার্কিট
ਸਰਗਰਮ ਫਿਲਟਰ,সক্রিয় ফিল্টার
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
ਸਰਗਰਮ ਲੋਡ,সক্রিয় লোড
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
ਸਰਗਰਮ ਖੇਤਰ,সক্রিয় এলাকা
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,অভিযোজিত ইলেকট্রনিক্স
ਜੋੜਨ ਵਾਲਾ,যোগকারী
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
ਪ੍ਰਵੇਸ਼,অনুপ্রবেশ
ਏਰੀਅਲ,এরিয়েল
pep ਬਾਰੰਬਾਰਤਾ,পিপ ফ্রিকোয়েন্সি
ੲੇ. ਸੀ,এয়ার কন্ডিশনার
ਅਲਾਈਨਮੈਂਟ,প্রান্তিককরণ
ਐਲਗੋਰਿਦਮ,অ্যালগরিদম
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,সমস্ত পাস ফিল্টার
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,খাদ জংশন
ਧਿਆਨ,ক্ষয়
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,বিবর্তিত বিদ্যুৎ
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,পরিবেষ্টিত তাপমাত্রা
ਬਾਈਪੋਲਰ,বাইপোলার
ਵਾਧਾ,পরিবর্ধন
ਐਂਪਲੀਫਾਇਰ,পরিবর্ধক
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,পরিবর্ধক দক্ষতা
ਮਾਪ,মাত্রা
ਐਪਲੀਟਿਊਡ attenuation,প্রশস্ততা ক্ষয়
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,প্রশস্ততা মডুলেটেড এএম অসিলেটর
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,প্রশস্ততা মড্যুলেশন
