Kannada,Telugu
ಸ್ಥಗಿತಗೊಳಿಸು,అబార్ట్
ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ,అబార్ట్ టైమర్
ಸಂಪೂರ್ಣ ವಿಳಾಸ,సంపూర్ణ చిరునామా
ಸಂಪೂರ್ಣ ವಿಳಾಸ,సంపూర్ణ చిరునామా
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,సంపూర్ణ సమీకరించేవాడు
ಸಂಪೂರ್ಣ ಕೋಡ್,సంపూర్ణ కోడ్
ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್,సంపూర్ణ కోడింగ్
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,సంపూర్ణ ఆదేశం
ಸಂಪೂರ್ಣ ಸಮನ್ವಯ,సంపూర్ణ కోఆర్డినేట్
ಸಂಪೂರ್ಣ ಡೇಟಾ,సంపూర్ణ డేటా
ಸಂಪೂರ್ಣ ದೋಷ,సంపూర్ణ లోపం
ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ,సంపూర్ణ వ్యక్తీకరణ
ಸಂಪೂರ್ಣ ಸೂಚನೆ,సంపూర్ణ సూచన
ಸಂಪೂರ್ಣ ಲೋಡರ್,సంపూర్ణ లోడర్
ಸಂಪೂರ್ಣ ಕ್ರಮ,సంపూర్ణ క్రమం
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,సంపూర్ణ ప్రోగ్రామింగ్
ಸಂಪೂರ್ಣ ಪದ,సంపూర్ణ పదం
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,సంపూర్ణ విలువ
ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್,సంపూర్ణ వెక్టర్
ಅಮೂರ್ತ,నైరూప్య
ಅಮೂರ್ತಗೊಳಿಸುವ,సంగ్రహించడం
ಅಮೂರ್ತ ಚಿಹ್ನೆ,నైరూప్య చిహ్నం
ವೇಗವರ್ಧನೆ ಅವಧಿ,త్వరణం కాలం
ವೇಗವರ್ಧಕ ಸಮಯ,త్వరణం సమయం
ಉಚ್ಚಾರಣಾ,యాస
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,అంగీకార పరీక్ష
ಪ್ರವೇಶ,యాక్సెస్
ಪ್ರವೇಶ,యాక్సెస్ ఆర్మ్
ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ,యాక్సెస్ అమరిక
ಪ್ರವೇಶ,యాక్సెస్ అథారిటీ
ಪ್ರವೇಶ,యాక్సెస్ ఛార్జ్
ಪ್ರವೇಶ ವರ್ಗ,యాక్సెస్ క్లాస్
ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
ಪ್ರವೇಶ ಪರಿಸರ,యాక్సెస్ ఎన్విరాన్మెంట్
ಪ್ರವೇಶದ ಅಂತರ,యాక్సెస్ గ్యాప్
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,ప్రాప్యత సూచిక
ಪ್ರವೇಶ,యాక్సెస్ లైన్
ಪ್ರವೇಶ ಕಾರ್ಯ,యాక్సెస్ మెకానిజం
ಪ್ರವೇಶ ವಿಧಾನ,యాక్సెస్ పద్ధతి
ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ,యాక్సెస్ పద్ధతి దినచర్య
ಪ್ರವೇಶ ಕ್ರಮ,యాక్సెస్ మోడ్
ಪ್ರವೇಶ ಬಲ,హక్కును యాక్సెస్ చేయండి
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,యాక్సెస్ స్కాన్
ಪ್ರವೇಶ ಸಮಯ,ప్రాప్యత సమయం
ಲೆಕ್ಕಪತ್ರ,అకౌంటింగ్
ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ,అకౌంటింగ్ మెషిన్
ಖಾತೆ ಸಂಖ್ಯೆ,ఖాతా సంఖ్య
ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
ಸಂಗ್ರಹಣೆದಾರ,సంచితం
ಸಂಚಯಕ ನೋಂದಣಿ,సంచిత రిజిస్టర్
ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ,సంచిత షిఫ్ట్ సూచన
ನಿಖರತೆ,ఖచ్చితత్వం
ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ,ఖచ్చితత్వ నియంత్రణ పాత్ర
ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
ಏಸ್ ಪೈಲಟ್,ఏస్ పైలట్
