Malayalam,Punjabi
ശീതീകരണം,ਪਰੇਸ਼ਾਨੀ
ചുരുക്കല്,ਸੰਖੇਪ
പിടിച്ചുകൊണ്ടുപോകല്,ਅਗਵਾ
Aveyne,ਧਾਰਨਾ
കഴിവ്,ਯੋਗਤਾ
Ab initio,ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ
കഴിവുള്ള,ਯੋਗ
വിലക്ഷണമായ,ਅਸਧਾਰਨ
നിർത്തലാക്കൽ,ਖਤਮ
നിർത്തലാക്കൽ പോസ്റ്റ്,ਅਬੋਲੋਜੀਫ ਪੋਸਟ
മുകളിൽ സൂചിപ്പിച്ച,ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ
മുകളിൽ ഉദ്ധരിച്ചത്,ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ
മുകളിൽ പറഞ്ഞത്,ਉਪਰੋਕਤ ਕਿਹਾ
അസാന്നിദ്ധം,ਗੈਰਹਾਜ਼ਰੀ
ഹാജരാകാത്ത,ਗੈਰਹਾਜ਼ਰ
ഹാജരാകാത്തീയത,ਗੈਰਹਾਜ਼ਰ
ഹാജരാകാതിരിക്കുക,ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ
കേശവം,ਅਸੀਮ
കേവല കുത്തക,ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ
കേവല ഉടമസ്ഥാവകാശം,ਸੰਪੂਰਨ ਮਾਲਕੀ
ആഗിരണം,ਸਮਾਈ
വേര്പെട്ടുനില്ക്കുന്ന,ਸਾਰ
അനുഗമിക്കുന്നു,ਸੰਖੇਪ
അസംബന്ധം,ਬੇਹੂਦਾ
സമൃദ്ധി,ਬਹੁਤਾਤ
അധികാര ദുരുപയോഗം,ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ
അധിക്ഷേപകരമായ ഭാഷ,ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ
പണ്ഡിതോചിതമായ,ਅਕਾਦਮਿਕ
അക്കാദമിക് ചർച്ച,ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ
അക്കാദമിക് അവധി,ਅਕਾਦਮਿਕ ਛੁੱਟੀ
വിദ്യാഭ്യാസ യോഗ്യത,ਅਕਾਦਮਿਕ ਯੋਗਤਾ
അക്കാദമിക് റെക്കോർഡ്,ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ
നിര്വഹിക്കുക,ਐੱਸ
അംഗീകരിക്കുക,ਸਵੀਕਾਰ ਕਰੋ
കൈക്കൊള്ളല്,ਮਨਜ਼ੂਰ
ഓഫീസിന്റെ സ്വീകാര്യത,ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
ടെണ്ടർ സ്വീകാര്യത,ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ
പ്രവേശനം,ਪਹੁੰਚ
അപേക്ഷ,ਐਕਸੈਸਿੰਗ
ഉപസാധനം,ਸਹਾਇਕ
ആകസ്മികത,ਹਾਦਸਾ
ACCLIMATIES,ਅਨੁਕੂਲਤਾ
സ്ഥലസൗകരം,ਰਿਹਾਇਸ਼
അനുഗമിച്ചു,ਦੇ ਨਾਲ
അക്കോര്,ਸਮਝੌਤਾ
അഭാവം,ਦੇ ਅਨੁਸਾਰ
അക്കാരണത്താല്,ਇਸ ਅਨੁਸਾਰ
കണക്ക്,ਖਾਤਾ
ഉത്തരവാദിത്തം,ਜਵਾਬਦੇਹੀ
ഉത്തരവാദിയായ,ਜਵਾਬਦੇਹ
അക്കൗണ്ടൻസി,ਖਾਤੇ ਦੀ
കണക്കെഴുത്തുകാരി,ਲੇਖਾਕਾਰ
അക്കൗണ്ട്,ਲਈ ਖਾਤਾ
അക്കൗണ്ട് തല,ਖਾਤਾ ਸਿਰ
വർദ്ധിച്ച ആനുകൂല്യം,ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ
വർദ്ധിച്ച പെൻഷൻ,ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ
കൂന്വാരം,ਇਕੱਠਾ
കൃതത,ਸ਼ੁੱਧਤਾ
സൂക്ഷ്മമായ,ਸਹੀ
ബോധിപ്പിക്കുന്ന,ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ
കുറ്റക്കാരന്,ਦੋਸ਼ੀ
നേട്ടം,ਪ੍ਰਾਪਤੀ
അംഗീകാരം,ਪ੍ਰਵਾਨਗੀ
അംഗീകാരത്തിന്റെ,ਬਣ ਰਹੇ
പരിചയം,ਜਾਣ-ਪਛਾਣ
കൈവശപ്പെടുത്തൽ,ਗ੍ਰਹਿਣ
കുറ്റപാട്വിൽപ്പന,ਬਰੀ
പവര്ത്തിക്കുക,ਐਕਟ
അഭിനയ അലവൻസ്,ਅਦਾਕਾਰੀ ਭੱਤਾ
പവര്ത്തി,ਕਾਰਵਾਈ
പ്രവർത്തന പദ്ധതി,ਕਾਰਵਾਈ ਜੁਗਤ
സജീവമായ,ਕਿਰਿਆਸ਼ੀਲ
