Odiya,Bengali
AC ସମାନ ସର୍କିଟ |,এসি সমতুল্য সার্কিট
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
ସଂପୂର୍ଣ୍ଣ ଶୂନ,পরম শূন্য
ଶୋଷଣ ଗୁଣବତ୍ତା,শোষণ গুণাঙ্ক
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,শোষণ বর্ণালী
ରିସେପ୍ଟର ପରମାଣୁ |,রিসেপ্টর পরমাণু
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,বিকল্প বর্তমান যুগল
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ইলেক্ট্রন সংগ্রহ
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,গর্ত স্টোরেজ
ସକ୍ରିୟ ଶକ୍ତି,অ্যাক্টিভেশন শক্তি
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,সক্রিয় পরিবর্ধক
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,সক্রিয় ডায়োড সার্কিট
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,সক্রিয় ফিল্টার
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
ସକ୍ରିୟ ଭାର,সক্রিয় লোড
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
ସକ୍ରିୟ କ୍ଷେତ୍ର |,সক্রিয় এলাকা
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,অভিযোজিত ইলেকট্রনিক্স
ଆଡର୍,যোগকারী
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
ଅନୁପ୍ରବେଶ,অনুপ্রবেশ
ଆରିଏଲ,এরিয়েল
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,পিপ ফ্রিকোয়েন্সি
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,এয়ার কন্ডিশনার
ଶ୍ରେଣୀବଦ୍ଧତା |,প্রান্তিককরণ
ଆଲଗୋରିଦମ |,অ্যালগরিদম
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,সমস্ত পাস ফিল্টার
ମିଶ୍ରିତ ଜଙ୍କସନ |,খাদ জংশন
ଆଘାତ,ক্ষয়
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,বিবর্তিত বিদ্যুৎ
ପରିବେଶର ତାପମାତ୍ରା |,পরিবেষ্টিত তাপমাত্রা
ଦ୍ୱିପାକ୍ଷିକ,বাইপোলার
ବୃଦ୍ଧି,পরিবর্ধন
