Tamil,Assamese
அபேலி குழு,abeli গ্ৰুপ
அபேலி குழு,abeli গ্ৰুপ
கை,হাত
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
முழுமையான ஒருங்கிணைப்பு,নিৰপেক্ষ অভিসৰণ
முழுமையான பிழை,নিৰপেক্ষ ভুল
உச்ச உச்ச,পৰম পৰম
முற்றிலும் குறைந்த,নিৰপেক্ষ সৰ্বনিম্ন
துல்லியமான மதிப்பு,নিৰপেক্ষ মূল্য
முழுமையான வேகம்,নিৰপেক্ষ বেগ
சுருக்க இயற்கணிதம்,বিমূৰ্ত বীজগণিত
சுருக்க குழு கோட்பாடு,বিমূৰ্ত গোট তত্ত্ব
முடுக்கம்,বেগ বৃদ্ধি
ஈர்ப்பு முடுக்கம்,মহাকৰ্ষণীয় ত্বৰণ
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,গ্ৰহণযোগ্য নিৰ্বাচক
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,গ্ৰহণযোগ্য চৌহদ
சரியான நம்பகத்தன்மை நிலை,বৈধ নিৰ্ভৰযোগ্যতা স্তৰ
ஏற்பு மாதிரி,গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা
திரட்டப்பட்ட பிழை,সঞ্চিত ভুল
துல்லியம்,শুদ্ধতা
பயன்படுத்தப்படும் சக்தி,প্ৰয়োগ কৰা বল
"செயல், செயல்","কাৰ্য্য, কাৰ্য্য"
செயல் மற்றும் எதிர்வினை,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
காப்பீட்டு அறிவியல்,বীমা বিজ্ঞান
கடுமையான முக்கோணம்,তীব্ৰ ত্ৰিভুজ
அசைக்ளிக்,অচক্ৰীয়
மொத்தத்தில்,সামৰণিত
சேர்ப்பான்,adder
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","যোগফল, যোগ, যোগফল (c.), যোগ (v.)"
யோகா சூத்திரம்,যোগৰ সূত্ৰ
கலப்பு எண்களின் கூட்டுத்தொகை,জটিল সংখ্যাৰ যোগফল
செயல்பாடுகளின் கூட்டுத்தொகை,ফলনৰ যোগফল
மெட்ரிக்குகளின் கூட்டுத்தொகை,মেট্ৰিক্সৰ যোগফল
பல்லுறுப்புக்கோவைகளின் தொகை,বহুপদৰ যোগফল
நிகழ்தகவுகளின் கூட்டுத்தொகை,সম্ভাৱনাৰ যোগফল
