Bengali,Malayalam
"1.অ্যাবাকাস, 2. গণনা","1.അബാക്കസ്, 2. എണ്ണുന്നു"
অস্বাভাবিক সমাপ্তি,അസാധാരണമായ അവസാനം
পথিমধ্যে রোধ করা,തടസ്സപ്പെടുത്തുക
"1. পরম, 2. সর্বোচ্চ","1. കേവലം, 2. പരമോന്നത"
পরম ঠিকানা,സമ്പൂർണ്ണ വിലാസം
পরম ঠিকানাযোগ্যতা,സമ്പൂർണ്ണ വിലാസക്ഷമത
পরম সংযোজনকারী,കേവല അസംബ്ലർ
"1. পরম কোড, 2. পরম কোড","1. കേവല കോഡ്, 2. കേവല കോഡ്"
পরম আদেশ,സമ്പൂർണ്ണ കമാൻഡ്
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
পরম নির্দেশ,സമ്പൂർണ്ണ നിർദ്ദേശം
পরম মোড,കേവല മോഡ്
পরম পথ,കേവല പാത
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
বিমূর্ত ক্লাস,അമൂർത്ത ക്ലാസ്
বিমূর্ত তথ্য প্রকার,അമൂർത്ത ഡാറ്റ തരം
বিমূর্ত মেশিন,അമൂർത്ത യന്ത്രം
বিমূর্ত প্রতীক,അമൂർത്ത ചിഹ്നം
বিমূর্ত বাক্য গঠন,അമൂർത്തമായ വാക്യഘടന
স্বীকৃতি পরীক্ষা,സ്വീകാര്യത പരിശോധന
অ্যাক্সেস সার্টিফিকেশন,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
প্রবেশাধিকার নিয়ন্ত্রণ,പ്രവേശന നിയന്ത്രണം
অ্যাক্সেস স্ক্যানিং,ആക്സസ് സ്കാനിംഗ്
আনুষাঙ্গিক,സാധനങ്ങൾ
অ্যাকাউন্টিং,അക്കൌണ്ടിംഗ്
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
সঞ্চয়কারী,ശേഖരണം
"1. নির্ভুলতা, 2. সঠিকতা","1. കൃത്യത, 2. കൃത്യത"
অ্যাক্সেস,പ്രവേശനം
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
অ্যাক্সেস সূচক,പ്രവേശന സൂചകം
অ্যাক্সেস কী,ആക്സസ് കീ
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
অ্যাক্সেস মোড,ആക്സസ് മോഡ്
সুযোগ সুবিধা,പ്രവേശനാവകാശങ്ങൾ
অ্যাক্সেস নিরাপত্তা,ആക്സസ് സുരക്ഷ
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
প্রবেশাধিকার সময়,പ്രവേശന സമയം
স্বীকৃতি,അംഗീകാരം
ধ্বনিবিদ্যা,ശബ്ദശാസ്ത്രം
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
কর্ম বার্তা,പ്രവർത്തന സന്ദേശം
সক্রিয়করণ,സജീവമാക്കൽ
সক্রিয় সার্ভার পৃষ্ঠা,സജീവ സെർവർ പേജ്
সক্রিয় সংস্করণ,സജീവ പതിപ്പ്
অ্যাসাইক্লিক,അസൈക്ലിക്
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
যোগ করা),ആകെ)
সমষ্টি ফাইল,തുക ഫയൽ
"1. সংযোজন অপারেশন, 2. যোগফল অপারেশন","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
যোগকারী,ചേർക്കുന്നയാൾ
জানি,അറിയുക
ঠিকানা বাস,വിലാസം ബസ്
ঠিকানা ফাইল,വിലാസ ഫയൽ
ঠিকানা বিন্যাস,വിലാസ ഫോർമാറ്റ്
ঠিকানা জেনারেটর,വിലാസ ജനറേറ്റർ
ঠিকানা লাইন,വിലാസ ലൈൻ
ঠিকানা ম্যাপিং,വിലാസ മാപ്പിംഗ്
ঠিকানা নির্দেশক,വിലാസ സൂചകം
ঠিকানা রেজিস্টার,വിലാസ രജിസ്റ്റർ
