Tamil,Odiya
அபேலி குழு,ଆବେଲି ଗୋଷ୍ଠୀ |
அபேலி குழு,ଆବେଲି ଗୋଷ୍ଠୀ |
கை,ହାତ
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
முழுமையான ஒருங்கிணைப்பு,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
முழுமையான பிழை,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
உச்ச உச்ச,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
முற்றிலும் குறைந்த,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
துல்லியமான மதிப்பு,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
முழுமையான வேகம்,ସଂପୂର୍ଣ୍ଣ ବେଗ
சுருக்க இயற்கணிதம்,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
சுருக்க குழு கோட்பாடு,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
முடுக்கம்,ତ୍ୱରଣ
ஈர்ப்பு முடுக்கம்,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,ଗ୍ରହଣୀୟ ପରିସର
சரியான நம்பகத்தன்மை நிலை,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ஏற்பு மாதிரி,ଗ୍ରହଣ ନମୁନା
திரட்டப்பட்ட பிழை,ସଂଗୃହିତ ତ୍ରୁଟି |
துல்லியம்,ସଠିକତା
பயன்படுத்தப்படும் சக்தி,ପ୍ରୟୋଗ ଶକ୍ତି
"செயல், செயல்","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
செயல் மற்றும் எதிர்வினை,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
காப்பீட்டு அறிவியல்,ବୀମା ବିଜ୍ଞାନ |
கடுமையான முக்கோணம்,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
அசைக்ளிக்,acyclic
மொத்தத்தில்,ସଂକ୍ଷେପରେ
சேர்ப்பான்,ଆଡର୍
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
யோகா சூத்திரம்,ଯୋଗର ସୂତ୍ର
கலப்பு எண்களின் கூட்டுத்தொகை,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
செயல்பாடுகளின் கூட்டுத்தொகை,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
மெட்ரிக்குகளின் கூட்டுத்தொகை,ମାଟ୍ରିକ୍ସର ରାଶି
பல்லுறுப்புக்கோவைகளின் தொகை,ବହୁଜନର ସମଷ୍ଟି |
நிகழ்தகவுகளின் கூட்டுத்தொகை,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
திசையன்களின் தொகை,ଭେକ୍ଟରର ରାଶି
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
சேர்க்கை குழு,ଯୋଗୀ ଗୋଷ୍ଠୀ |
தலைகீழ் சேர்க்கை,ଯୋଗୀ ଓଲଟା |
சேர்க்கை,ଯୋଗନୀୟତା |
சேர்க்கை,ଯୋଗନୀୟତା |
அருகாமை அணி,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"அருகாமை, அருகாமை, அருகாமை","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
அருகில் உள்ள கோணம்,ସଂଲଗ୍ନ କୋଣ
அருகில் உள்ள உச்சி,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
தொடர்புபடுத்த,ସହଯୋଗ କରିବାକୁ
"இணைக்கப்பட்ட உறை,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
பொதுவான தீர்மானிப்பான்,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
இணைக்கப்பட்ட சமன்பாடு,ସଂଲଗ୍ନ ସମୀକରଣ
ஒரே மாதிரியான அணி,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
அணி ஒருங்கிணைப்பு,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
ஒரே மாதிரியான அணி,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ଗ୍ରହଣୀୟ ଅନୁମାନ
காற்றியக்க விசை,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
காற்றியக்கவியல்,ଏରୋଡାଇନାମିକ୍ସ |
ஒரே மாதிரியான வடிவியல்,ଏକମାତ୍ର ଜ୍ୟାମିତି |
ஒரே மாதிரியான மேப்பிங்,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
