Malayalam,Punjabi
അബെലി ഗ്രൂപ്പ്,ਅਬੇਲੀ ਸਮੂਹ
അബെലി ഗ്രൂപ്പ്,ਅਬੇਲੀ ਸਮੂਹ
കൈ,ਹੱਥ
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
കേവലമായ ഒത്തുചേരൽ,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
സമ്പൂർണ്ണ പിശക്,ਪੂਰਨ ਗਲਤੀ
പരമോന്നത പരമോന്നത,ਪਰਮ ਸਰਵਉੱਚ
ഏറ്റവും താഴ്ന്നത്,ਸਭ ਤੋਂ ਘੱਟ
യഥാർത്ഥ മൂല്യം,ਸਹੀ ਮੁੱਲ
കേവല വേഗത,ਪੂਰਨ ਗਤੀ
അമൂർത്ത ബീജഗണിതം,ਸਾਰ ਅਲਜਬਰਾ
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
ത്വരണം,ਪ੍ਰਵੇਗ
ഗുരുത്വാകർഷണ ത്വരണം,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
സ്വീകാര്യമായ സെലക്ടർ,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
സ്വീകാര്യമായ നിലവാരം,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
സ്വീകാര്യമായ പരിസരം,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
സാധുവായ വിശ്വാസ്യത നില,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
സ്വീകാര്യത സാമ്പിൾ,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
സഞ്ചിത പിശക്,ਸੰਚਿਤ ਗਲਤੀ
കൃത്യത,ਸ਼ੁੱਧਤਾ
പ്രയോഗിച്ച ബലം,ਲਾਗੂ ਫੋਰਸ
"പ്രവൃത്തി, പ്രവൃത്തി","ਕਾਰਵਾਈ, ਕੰਮ"
പ്രവർത്തനവും പ്രതികരണവും,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
