Tamil,Odiya
உயிரற்ற இனப்பெருக்கம்,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
அமானுஷ்ய,ପରମାନନ୍ଦ
1. நான்காவது வயிறு 2. எவோமாசோம்,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
வயிற்று வளர்ச்சி உறுப்பு,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
வளர்ச்சி குன்றிய விதை,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. தேவையற்ற களைகள் 2. முழுமையான களைகள்,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
உறிஞ்சப்பட்ட கேஷன்,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
உறிஞ்சுதல்,ଅବଶୋଷଣ
அபிசீனிய கடுகு,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1. காரக்கொல்லி,1. ଆକାରିସାଇଡ୍ |
மையவிலக்கு,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
பெருக்கம் (செல்),ବୃଦ୍ଧି (କକ୍ଷ)
அனுமதிக்கப்பட்ட சகிப்புத்தன்மை,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1.கூடுதல் 2.துணை 3.துணை,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
தழுவல்,ଆଡାପ୍ଟେସନ୍
திரட்சி,ଜମା
1.vacuracy 2. துல்லியம்,1. ସଠିକତା 2. ସଠିକତା |
1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
1. அமிலமானி 2. அமிலமானி,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
அமிலத்தன்மை,ଅମ୍ଳତା |
அமிலத்தன்மை,ଏସିଡୋଫାଇଲ୍ |
அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
அமிலமாக்கப்பட்ட,ଅମ୍ଳଯୁକ୍ତ |
நீர்நிலை,ଜଳଜଳ
கையகப்படுத்தல்,ଅଧିଗ୍ରହଣ
ஏக்கர்,ଏକର
1. பகுதி 2. பகுதி,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
இறுதி புள்ளி குரோமோசோம்,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
முன்னோக்கு,ଆଗକୁ ଦେଖିବା
குரோசோம்,ଆକ୍ରୋସୋମ୍ |
ஆக்டினோமைசீட்ஸ்,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
செயலில் உள்ள மைய,ସକ୍ରିୟ କୋର୍ |
1. சீற்றம் 2. தீவிரம்,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
தழுவல்,ଅନୁକୂଳତା
தனிப்பயனாக்கம்,କଷ୍ଟମାଇଜେସନ୍
1. ஒட்டுதல் 2. ஒட்டுதல்,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
செபாசியஸ்,sebaceous
சரிசெய்தல் சமன்பாடு,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
அடோப் மண்,ଆଡୋବ ମାଟି |
கலப்படம்,ବ୍ୟଭିଚାର
எக்டோபிக்,ଏକ୍ଟୋପିକ୍
இசிடியோஸ்போர் இசிடியம் ஸ்போர்,Isidiospore Isidium Spore |
ஏரோடைனமிக் செயல்முறை,ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |
வென்ட்ரல்,ଭେଣ୍ଟ୍ରାଲ୍ |
காற்றோட்டம் செய்ய,ବିମାନକୁ
1. காற்று 2. ஆகாஷி,1. ବାୟୁ 2. ଆକାଶୀ |
1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்,1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |
ஏரோசல்,ଏରୋସୋଲ୍ |
1. மஞ்சரி 2. கோடை உறக்கம்,1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |
நோய் அறிவியல்,ରୋଗ ବିଜ୍ଞାନ
காடு வளர்ப்பு,ବୃକ୍ଷରୋପଣ
1. கிளர்ச்சி 2. கொந்தளிப்பு,1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |
அக்மார்க்,ଆଗମାର୍କ |
1. நிலம் தொடர்பான 2. விவசாயம்,1. ଜମି ସମ୍ବନ୍ଧୀୟ 2. କୃଷି
விவசாய மருத்துவமனை,କୃଷି ଚିକିତ୍ସାଳୟ
1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்,1. କୃଷି ଶ୍ରମ 2. କୃଷି ଶ୍ରମ |
விவசாய சந்தைப்படுத்தல்,କୃଷି ମାର୍କେଟିଂ |
விவசாய தொழில்நுட்பம்,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்,1. କୃଷି 2. ଚାଷ 3. କୃଷି ବିଜ୍ଞାନ |
விவசாய காடுகள்,କୃଷି ଜଙ୍ଗଲ
விவசாய பல்லுயிர்,କୃଷି ଜ odi ବ ବିବିଧତା |
விவசாய கரிம குறைபாடுகள்,କୃଷି ଜ organic ବିକ ତ୍ରୁଟି |
