Marathi,Bengali
abeli गट,আবেলি গ্রুপ
अबेली गट,আবেলি গ্রুপ
हात,হাত
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
परिपूर्ण अभिसरण,পরম মিলন
परिपूर्ण त्रुटी,পরম ত্রুটি
सर्वोच्च सर्वोच्च,সর্বোচ্চ সর্বোচ্চ
परिपूर्ण सर्वात कमी,পরম সর্বনিম্ন
परिपूर्ण मूल्य,পরম মান
परिपूर्ण वेग,পরম বেগ
अमूर्त बीजगणित,বিমূর্ত বীজগণিত
अमूर्त गट सिद्धांत,বিমূর্ত গ্রুপ তত্ত্ব
प्रवेग,ত্বরণ
गुरुत्वाकर्षण प्रवेग,মহাকর্ষীয় ত্বরণ
स्वीकार्य निवडकर्ता,গ্রহণযোগ্য নির্বাচক
स्वीकार्य गुणवत्ता पातळी,গ্রহণযোগ্য মানের স্তর
स्वीकार्य परिसर,গ্রহণযোগ্য প্রাঙ্গনে
वैध विश्वसनीयता पातळी,বৈধ নির্ভরযোগ্যতা স্তর
स्वीकृती नमुना,গ্রহণযোগ্যতা নমুনা
संचित त्रुटी,সঞ্চিত ত্রুটি
अचूकता,সঠিকতা
शक्ती लागू,প্রযুক্ত বল
"कृती, कृती","কর্ম, কাজ"
क्रिया आणि प्रतिक्रिया,কর্ম এবং প্রতিক্রিয়া
विमा विज्ञान,বীমা বিজ্ঞান
तीव्र त्रिकोण,তীব্র ত্রিভুজ
अॅसायक्लिक,অ্যাসাইক্লিক
बेरीज करणे,যোগফল
जोडणारा,যোগকারী
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
योगाचे सूत्र,যোগের সূত্র
जटिल संख्यांची बेरीज,জটিল সংখ্যার যোগফল
कार्यांची बेरीज,ফাংশনের যোগফল
मॅट्रिक्सची बेरीज,ম্যাট্রিক্সের যোগফল
बहुपदांची बेरीज,বহুপদীর সমষ্টি
संभाव्यतेची बेरीज,সম্ভাবনার যোগফল
वेक्टरची बेरीज,ভেক্টরের সমষ্টি
"बेरीज प्रमेय, बेरी सिद्धांत,","যোগ উপপাদ্য, বেরি তত্ত্ব"
मिश्रित गट,সংযোজনকারী গ্রুপ
additive inverse,সংযোজন বিপরীত
जोडणी,যোগযোগ্যতা
जोडणी,যোগযোগ্যতা
संलग्नता मॅट्रिक्स,অন্তিক ম্যাট্রিক্স
"समीप, समीप, समीप","সংলগ্ন, সংলগ্ন, সংলগ্ন"
समीप कोन,সংলগ্ন কোণ
समीप शिरोबिंदू,সংলগ্ন শীর্ষবিন্দু
संबद्ध करणे,যুক্ত করা
"संलग्न संलग्न,",সংযুক্ত ঘের
सामान्य निर्धारक,সাধারণ নির্ধারক
संलग्न विभेदक समीकरण,সংযুক্ত ডিফারেনশিয়াল সমীকরণ
संलग्न समीकरण,সংযুক্ত সমীকরণ
एकसंध मॅट्रिक्स,সমগোত্রীয় ম্যাট্রিক্স
मॅट्रिक्स सहप्रसरण,ম্যাট্রিক্স সমন্বয়
एकसंध मॅट्रिक्स,সমগোত্রীয় ম্যাট্রিক্স
स्वीकार्य निर्णय कार्य,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
स्वीकार्य गृहीतक,গ্রহণযোগ্য অনুমান
वायुगतिकीय शक्ती,এরোডাইনামিক বল
वायुगतिकी,বায়ুগতিবিদ্যা
एकसंध भूमिती,সমজাতীয় জ্যামিতি
एकसंध मॅपिंग,সমজাতীয় ম্যাপিং
एकसंध परिवर्तन,একজাতীয় রূপান্তর
एकूण चल,সামগ্রিক পরিবর্তনশীল
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"बियाणे बंद, बीजारोपण","seedy বন্ধ, বীজাণু"
बीजगणितीय समीकरण,বীজগণিত সমীকরণ
बीजगणितीय अभिव्यक्ती,বীজগাণিতিক এক্সপ্রেশন
बीजगणितीय एकरूपता,বীজগণিতের একজাতীয়তা
बीजगणितीय कार्य,বীজগণিতের ফাংশন
बीजगणितीय भूमिती,বীজগণিত জ্যামিতি
बीजगणितीय बहुलता,বীজগণিত বহুত্ব
बीजगणितीय प्रणाली,বীজগণিত ব্যবস্থা
सर्व-पूर्णांक समस्या,সমস্ত পূর্ণসংখ্যা সমস্যা
"असाइनमेंट समस्या वॅट प्रश्न,",অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন
वर्णक्रमानुसार नोटेशन,বর্ণানুক্রমিক স্বরলিপি
वर्णमाला वर्ण,বর্ণানুক্রমিক অক্ষর
पर्यायी कोन,বিকল্প কোণ
"पर्यायी एकसंध पर्यायी फॉर्म,",বিকল্প সমজাতীয় বিকল্প ফর্ম
पर्यायी गट,বিকল্প গোষ্ঠী
पर्यायी मॅट्रिक्स,বিকল্প ম্যাট্রিক্স
पर्यायी मालिका,বিকল্প সিরিজ
वैकल्पिक गृहीतक,বিকল্প অনুমান
पर्यायी इष्टतम,বিকল্প সর্বোত্তম
पर्यायी परिणाम,বিকল্প ফলাফল
अॅनालॉग-अंकी कनवर्टर,এনালগ-ডিজিট কনভার্টার
"अॅनालॉग संगणक,",এনালগ কম্পিউটার
विश्लेषण,বিশ্লেষণ
