Marathi,Hindi
अ‍ॅबॅक्सियल पृष्ठभाग,अपाक्ष पृष्ठ
ओटीपोट,उदर
ओटीपोटात महाधमनी,उदर महाधमनी
ओटीपोटात गॅंग्लिया,उदर गुच्छिका
एबेलमोशस एस्क्युल्टस,अबेलमॉस्कस एस्कुलेन्टस
विकृती,विपथन
अबीज,ऐबीज (बलूत)
अबिंगडॉन कासव,ऐबिंग्डन कछुआ
अ‍ॅबिओजेनेसिस,अजीवात्जनन
अ‍ॅबिओटिक,अजीवीय
अ‍ॅबिओटिक फॅक्टर,"अजीवीय कारक, अजैव कारक"
असामान्य मूत्र,अपसामानय मूत्र
अबो ब्लड ग्रुप,ए.बी.ओ. रुधिर वर्ग
अ‍ॅबसिसिक acid सिड,एब्सिसिक अम्ल
फलंदाजी,विलगन
शोषून घ्या,अवशोषण करना
शोषण शिखर,अवशोषण शिखर
शोषण,अवशोषण
बाभूळ कॅटेचू,अकेशिया कैटेच्यू
अकारिया अरबीका,अकेशिया अरेबिका (बबूल)
अकाप्रिन,ऐकैप्रिन
स्वीकार्य लैंगिक वर्तन,स्वीकार्य लैंगिक व्यवहार
Ory क्सेसरी ग्रंथी,सहायक ग्रंथि
Ory क्सेसरी ग्रंथी,अतिरिक्त ग्रंथि
Ory क्सेसरीसाठी अवयव,सहायक अंग
सहनशीलता,"पर्यनुकूलन, दशानुकूलन"
अनुकूलित करा,"पर्यनुकूलित करना, दशानुकूलित करना"
निवास (लक्ष केंद्रित करणे),समंजन (फोकसन)
डोळ्याची निवासस्थान,नेत्र की समंजन क्षमता
संवर्धन वाढ,अभिवर्धी वृद्धि
संचय,"संचय, संचयन"
सेंद्रिय पदार्थाचे संचय,कार्बनिक पदार्थों का एकत्रीकरण
मातीचे संचय,मृदा संचयन
सेल्युलर,अकोशिकीय
एसेल्युलर जीव,अकोशिकीय जीव
एसीटाबुलम,"श्रोणिउलूखल, ऐसीटैबुलम"
एसीटाल्डिहाइड,ऐसीटेल्डिहाइड
एसिटिल कोएन्झाइम,ऐसीटिल सह-ऐंजाइम
अकॅटिना,ऐकेटाइना
अचेने प्रकार,ऐकीन प्रकार
अचेने,ऐकीन
अक्लमिडोस्पोरिया,ऐक्लेमाइडोस्पोरी
आम्ल वर्षा,अम्ल वर्षा
अम्लीय,अम्लीय
अम्लीय वायू,अम्लीय गैस
आंबटपणा,अम्लता
एसीनार सेल,गुच्छकोष्ठक कोशिका
एकोलोमेट,अगुहिक
On कोनिटम,ऐकोनिटम
अ‍ॅकॉर्न वर्म,"एकॉर्न कृमि, बंजुक कृमि"
ध्वनिक झोनिंग,"ध्वानिक मंडलन, ध्वानिक जोननिर्माण"
अधिग्रहित वर्ण,उपार्जित लक्षण
वसूल केलेली प्रतिकारशक्ती,उपार्जित प्रतिरक्षा
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स)
एकरानिया,ऐक्रैनिया
Rid सिडिन डाई,एक्रिडीन रंजक
अ‍ॅक्रोसेन्ट्रिक,अग्रकेंद्री
अ‍ॅक्रोमियन,अंसकूट
अ‍ॅक्रोपेटल सीक्वेन्स,अग्राभिसारी अनुक्रम
अ‍ॅक्रोपेटल ऑर्डर,अग्राभिसारी क्रम
अ‍ॅक्रोसिन,एक्रोसिन
अ‍ॅक्टिन,ऐक्टिन
अ‍ॅक्टिन-सारखी प्रथिने,ऐक्टिन-सम प्रोटीन
अ‍ॅक्टिनोमॉर्फिक,त्रिज्यासममित
अ‍ॅक्टिनोमाइसेट्स,एक्टिनोमाइसिटीज
कृती संभाव्यता,क्रिया विभव
सक्रिय गाळ,सक्रियित आपंक
सक्रिय गाळ फ्लॉक,सक्रियित आपंक फ्लॉक
सक्रियता ऊर्जा,सक्रियण ऊर्जा
सक्रिय शोषण,सक्रिय अवशोषण
सक्रिय प्रतिकारशक्ती,सक्रिय प्रतिरक्षा
सक्रिय रेडिएशन,सक्रिय विकिरण
सक्रिय साइट,सक्रिय स्थल
अ‍ॅक्टिव्हिन,ऐक्टिविन
Umicate,लंबाग्र
अ‍ॅडम्सिया,ऐडैम्सिया
अनुकूलता,अनुकूलनशीलता
रुपांतर,अनुकूलन
हलकी व्यवस्थेशी जुळवून घेणे,प्रकाश प्रवृत्ति के प्रति अनुकूलन
पाण्याची कमतरता रुपांतर,जलाभाव के प्रति अनुकूलन
अनुकूली वैशिष्ट्ये,अनुकूली (अभि) लक्षण
अनुकूली प्रतिकारशक्ती,अनुकूली प्रतिरक्षा
अनुकूली रेडिएशन,अनुकूली विकिरण
अनुकूली गुण,अनुकूली विशेषक
