Odiya,Punjabi
"1. ଆବାକସ୍, ୨। ଗଣନା","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,ਅਸਧਾਰਨ ਅੰਤ
ବାଧା,ਰੁਕਾਵਟ
"1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ਪੂਰਾ ਪਤਾ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,ਪੂਰਨ ਹੁਕਮ
"1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ਪੂਰਨ ਹਦਾਇਤ
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,ਪੂਰਨ ਮੋਡ
ସଂପୂର୍ଣ୍ଣ ପଥ,ਪੂਰਨ ਮਾਰਗ
"1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
