Bengali,English
"1.অ্যাবাকাস, 2. গণনা",abacus
অস্বাভাবিক সমাপ্তি,abnormal termination
পথিমধ্যে রোধ করা,abort
"1. পরম, 2. সর্বোচ্চ",absolute
পরম ঠিকানা,absolute address
পরম ঠিকানাযোগ্যতা,absolute addressing
পরম সংযোজনকারী,absolute assembler
"1. পরম কোড, 2. পরম কোড",absolute code
পরম আদেশ,absolute command
"1. পরম পরিসংখ্যান, 2. পরম তথ্য",absolute data
পরম নির্দেশ,absolute instruction
পরম মোড,absolute mode
পরম পথ,absolute path
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং",absolute programming
বিমূর্ত ক্লাস,abstract class
বিমূর্ত তথ্য প্রকার,abstract data type
বিমূর্ত মেশিন,abstract machine
বিমূর্ত প্রতীক,abstract symbol
বিমূর্ত বাক্য গঠন,abstract syntax
স্বীকৃতি পরীক্ষা,acceptance testing
অ্যাক্সেস সার্টিফিকেশন,access authentication
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড",access code
প্রবেশাধিকার নিয়ন্ত্রণ,access control
অ্যাক্সেস স্ক্যানিং,access scan
আনুষাঙ্গিক,accessory
অ্যাকাউন্টিং,account
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ",account ID
সঞ্চয়কারী,accumulator
"1. নির্ভুলতা, 2. সঠিকতা",accuracy
অ্যাক্সেস,acess
অ্যাক্সেস নিয়ন্ত্রণ বাইট,acess control byte
অ্যাক্সেস সূচক,acess index
অ্যাক্সেস কী,acess key
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স",acess matrix
অ্যাক্সেস মোড,acess mode
সুযোগ সুবিধা,acess privilege
অ্যাক্সেস নিরাপত্তা,acess security
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার",acess server
প্রবেশাধিকার সময়,acess time
স্বীকৃতি,acknowledgement
ধ্বনিবিদ্যা,acoustics
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত",acronym
কর্ম বার্তা,action message
সক্রিয়করণ,activation
সক্রিয় সার্ভার পৃষ্ঠা,active server page (ASP)
সক্রিয় সংস্করণ,active version
অ্যাসাইক্লিক,acyclic
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ",acyclic graph
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,Ada language
