Gujarati,English
એસિડોઇડ,Acidoid
એઓલિયન માટી,Aeolian soil
એકંદર,Aggregate
એકત્રીકરણ,Aggregation
કૃષિશાસ્ત્ર,Agrology
કૃષિવિજ્ઞાન,Agronomy
A-ક્ષિતિજ,A-horizon
Ao-ક્ષિતિજ,Ao-horizon 
Aoo-ક્ષિતિજ,Aoo-horizon
માટીની હવા ક્ષમતા,Air capacity of soil
જમીનની હવાની સામગ્રી,Air content of soil
એર પિકનોમીટર,Air picnometer
એલિટિક માટી,Allitic soil
કાંપવાળી માટી,Alluvial soil
એમ્ફોલિટોઇડ,Ampholytoid
આયન,Anion
"દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
એરિસ,Arris
Ashlar દંડ ચણતર,Ashlar fine masonry
Ashlar ચણતર,Ashlar masonry
એઝોનલ માટી,Azonal soil
પાછળનો અભિનેતા,Back acter 
પાછળની કમાન,Back arch
બેક બેન્ડ,Back band
પાછળ બ્રશ,Back brush
બેક ચેક,Back check
બેક કાઉન્ટર,Back counter
પાછળ કટીંગ,Back cutting
બેક ડ્રાફ્ટ ડેમ્પર,Back draft damper
બેક ડ્રેઇન,Back drain
બેક ડ્રોપ,Back drop
પાછળ ભરો,Back fill
બેક ફીલેટ,Back fillet
બેક ફ્લૅપ મિજાગરું,Back flap hinge
બેક ફ્લો કનેક્શન,Back flow connection
બેક ફ્લો નિવારક,Back flow preventer
બેક ગેજ,Back gauge 
પાછળ ગટર,Back gutter 
બેક હર્થ,Back hearth
બેકિંગ,Backing
બેકિંગ બોર્ડ,Backing board
પાછળ ધકેલાતું દબાણ,Back pressure
બેક પ્રોપ,Back prop
પાછળની દૃષ્ટિ,Back sight 
પાછું પાણી,Back water
બેફલ,Baffle
બેગવર્ક,Bagwork 
બેલાસ્ટ,Ballast
બોલ માટી,Ball clay
બોલ શંકુ ક્લેમ્બ,Ball cone clamp
કાંટાળો તાર,Barbed wire
બાર કૂતરો,Bar dog
બાર્જ બોર્ડ,Barge board
બેરિયમ સલ્ફેટ ટેસ્ટ,Barium sulphate test
બેરેજ,Barrage
બેરેટ,Barrett
પાયો,Base
આધાર વિનિમય,Base exchange
બેઝ લાઇન,Base line 
ભોંયરું,Basement
ભોંયરું દિવાલ,Basement wall
બેઝ પ્લેટ,Base plate
"બેઝ પ્લેટ, એડજસ્ટેબલ","Base plate, adjustable"
આધાર સંતૃપ્તિ,Base saturation
બેસોઇડ,Basoid
બેટ,Bat
સ્નાન અને WC,Bath and W.C.
સખત મારપીટ,Batter peg
સખત મારપીટ પિયર,Batter pier
સખત મારપીટનો નિયમ,Batter rule
બૉલ્ક (બાલ્ક),Baulk (balk)
ખાડી,Bay
ધારક,Bearer
બેરિંગ ક્ષમતા,Bearing capacity
બેરિંગ ખૂંટો,Bearing pile
બેરિંગ સ્ટ્રેટમ,Bearing stratum
પથારી,Bed
પથારીનું વિમાન,Bedding plane
બેડ સંયુક્ત,Bed joint
બેડ રોક,Bed rock
બેડ રૂમ,Bed room
મીણ,Beeswax
બેલ બોક્સ,Bell box
બેલિંગ ડોલ,Belling bucket
બેલોફ્રેમ,Bellofram
બેન્ચ્ડ ફાઉન્ડેશન,Benched foundation
બેન્ચિંગ,Benching
બેન્ચ માર્ક,Bench mark
લાભ ખર્ચ વિશ્લેષણ,Benefit cost analysis
બેર્મ,Berm
બેવેલ્ડ બંધ,Bevelled closure
"B-ક્ષિતિજ,&quot;B-","B-horizon,""B-"
બાયટ,Biat
બાઈન્ડર,Binder
બંધનકર્તા સામગ્રી,Binding material
બાયોટનો સિદ્ધાંત,Biot's theory
બીટુમેન,Bitumen
કાળી કપાસની માટી,Black cotton soil
કાળી પૃથ્વી,Black earth 
કાળી જડિયાંવાળી જમીન,Black turf soil
બ્લેડ,Blade
બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ,Blast furnace slag cement
બ્લોકી માળખું,Blocky structure
બોગી પ્રતિકાર,Bogie resistance
બોગ-આયર્ન ઓર,Bog-iron ore
બોન્ડ,Bond
બંધાયેલા સભ્ય,Bonded member
બોન્ડેડ પોસ્ટ ટેન્શનિંગ,Bonded post tensioning
બોન્ડ પથ્થર,Bond stone
બંધાયેલ પાણી,Bound water
બોક્સ ગટર,Box gutter
તાણવું,Brace
ઈંટ પર ધાર,Brick-on-edge
બ્રિડલ,Bridle
તેજ,Brightness
બ્રાઉન માટી,Brown soil
બિલ્ડીંગ,Building
બિલ્ડીંગ સર્વેયર,Building surveyor
બફર,Buffer
બફર વળાંક,Buffer curve
બફરિંગ,Buffering
બફરિંગ ક્ષમતા,Buffering capacity
બંદર,Bunder
બટ્રેસ,Buttress
સી-ક્ષિતિજ,C-horizon
કેબલ,Cable
કેબલ મોલ્ડિંગ,Cable moulding
કેબલિંગ,Cabling
કેબિન,Cabin
કેબિન હૂક,Cabin hook
કેબિનેટ,Cabinet
કેબોલ્ટે છોડી દીધું,Cabolt's quit
કાફેટેરિયા,Cafeteria
કેજ,Cage
પાંજરાનું બાંધકામ,Cage construction
કાઈનનું સૂત્ર,Cain's formula
કેસોન,Caisson
કેસોન રોગ,Caisson disease
કેસોન ફાઉન્ડેશન,Caisson foundation
Caisson ખૂંટો,Caisson pile
કેલ્કેરિયસ ઈંટ,Calcareous brick
કેલ્કેરિયસ માટી,Calcareous clay
કેલ્કેરિયસ પોપડો,Calcareous crust
કેલ્સિફિકેશન,Calcification
કેલ્સિનેશન,Calcination
કેલ્સિન,Calcine 
કેલ્સાઇટ,Calcite
કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ,Calcium-aluminate cement
કેલ્શિયમ-સિલિકેટ ઈંટ,Calcium-silicate brick
કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ,Calcium-silicate hydrate
કેલિચે,Caliche
કેલિફોર્નિયા બેરિંગ રેશિયો,California bearing ratio
કેલિપર,Caliper
કેલરીમીટર,Calorimeter
કેમ્બર,Camber
કેનાલ,Canal
કેનોપી,Canopy
કેન્ટિલવર ફૂટિંગ,Cantilever footing
કેપ,Cap
ક્ષમતા,Capacity
એઇલ ટ્રેકની ક્ષમતા,Capacity of ail track
કેપ કેબલ,Cap cable
કેપિલેરિટી,Capillarity
કેશિલરી વિરામ,Capillary break
કેશિલરી પ્રવાહ,Capillary flow
કેશિલરી ભેજ અથવા કેશિલરી પાણી,Capillary moisture or capillary water
કેશિલરી છિદ્ર જગ્યા,Capillary pore space
કેશિલરી છિદ્રાળુતા,Capillary porosity
કેશિલરી જગ્યા,Capillary space
કેપ્ચર વેગ,Capture velocity
કાર્બોનેશન,Carbonation
કાર્બન બ્લેક,Carbon black
કાસ્ટબલ રીફ્રેક્ટરી,Castble refractory
કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ,Cast-in-place or cast-in-situ
કાસ્ટ-ઇન-પ્લેસ ખૂંટો,Cast-in-place pile
એરંડા,Castor
કાસ્ટ પથ્થર,Cast stone
ઉત્પ્રેરક,Catalyst
કેટેના,Catena
બિલાડીનો ચહેરો,Cat face
બિલાડીનું માથું,Cat head
કેશન,Cation
કેટ વોક,Cat walk
પોલાણ નુકસાન,Cavitation damage
સેલાઇટ,Celite
સેલ્યુલર કોંક્રિટ,Cellular concrete
સેલ્યુલર બાંધકામ,Cellular construction
સિમેન્ટ,Cement
"સિમેન્ટ, બિટ્યુમિનસ","Cement, bituminous"
"સિમેન્ટ, ઉચ્ચ તાકાત","Cement, high strength"
"સિમેન્ટ, હાઇડ્રોલિક","Cement, hydraulic"
"સિમેન્ટ, ઓછી ગરમી","Cement, low heat"
