Punjabi,Tamil
ਐਸਿਡੌਇਡ,அமிலத்தன்மை
ਏਓਲੀਅਨ ਮਿੱਟੀ,அயோலியன் மண்
ਕੁੱਲ,மதிப்பீட்டு
ਐਗਰੀਗੇਸ਼ਨ,திரட்டுதல்
ਖੇਤੀ ਵਿਗਿਆਨ,வேளாண்மை
ਖੇਤੀ ਵਿਗਿਆਨ,வேளாண்மை
ਏ-ਹੋਰੀਜ਼ਨ,A- அடிவானம்
ਆਉ-ਦਿਮਾਗ,Ao- அடிவானம்
ਆਉ—ਅੰਦਾਜ਼,Aoo- அடிவானம்
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,மண்ணின் காற்று திறன்
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,மண்ணின் காற்றின் உள்ளடக்கம்
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,காற்று பிக்னோமீட்டர்
ਐਲੀਟਿਕ ਮਿੱਟੀ,அல்லிடிக் மண்
ਐਲਵੀਅਲ ਮਿੱਟੀ,வண்டல் மண்
ਐਮਫੋਲੀਟੋਇਡ,ஆம்போலிடாய்டு
ਐਨੀਅਨ,அயன்
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
ਅਰਿਸ,அரிஸ்
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,Ashlar நன்றாக கொத்து
ਐਸ਼ਲਰ ਚਿਣਾਈ,ஆஷ்லர் கொத்து
ਅਜੋਨਲ ਮਿੱਟੀ,அசோனல் மண்
ਪਿਛਲਾ ਅਦਾਕਾਰ,பின் நடிகர்
ਪਿਛਲਾ arch,பின் வளைவு
ਬੈਕ ਬੈਂਡ,பின் இசைக்குழு
ਪਿੱਛੇ ਬੁਰਸ਼,பின் தூரிகை
ਵਾਪਸ ਜਾਂਚ,மீண்டும் சரிபார்க்கவும்
ਪਿੱਛੇ ਕਾਊਂਟਰ,பின் கவுண்டர்
ਵਾਪਸ ਕੱਟਣਾ,முதுகு வெட்டுதல்
