Bengali,Punjabi
এসি সমতুল্য সার্কিট,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
পরম শূন্য,ਪੂਰਨ ਜ਼ੀਰੋ
শোষণ গুণাঙ্ক,ਸਮਾਈ ਗੁਣਾਂਕ
শোষণ বর্ণালী,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
রিসেপ্টর পরমাণু,ਰੀਸੈਪਟਰ ਐਟਮ
বিকল্প বর্তমান যুগল,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
ইলেক্ট্রন সংগ্রহ,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
গর্ত স্টোরেজ,ਮੋਰੀ ਸਟੋਰੇਜ਼
অ্যাক্টিভেশন শক্তি,ਸਰਗਰਮੀ ਊਰਜਾ
সক্রিয় পরিবর্ধক,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
সক্রিয় ডায়োড সার্কিট,ਸਰਗਰਮ diode ਸਰਕਟ
সক্রিয় ফিল্টার,ਸਰਗਰਮ ਫਿਲਟਰ
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
সক্রিয় লোড,ਸਰਗਰਮ ਲੋਡ
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
সক্রিয় এলাকা,ਸਰਗਰਮ ਖੇਤਰ
অভিযোজিত ইলেকট্রনিক্স,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
যোগকারী,ਜੋੜਨ ਵਾਲਾ
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
অনুপ্রবেশ,ਪ੍ਰਵੇਸ਼
এরিয়েল,ਏਰੀਅਲ
পিপ ফ্রিকোয়েন্সি,pep ਬਾਰੰਬਾਰਤਾ
এয়ার কন্ডিশনার,ੲੇ. ਸੀ
প্রান্তিককরণ,ਅਲਾਈਨਮੈਂਟ
অ্যালগরিদম,ਐਲਗੋਰਿਦਮ
সমস্ত পাস ফিল্টার,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
খাদ জংশন,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
ক্ষয়,ਧਿਆਨ
বিবর্তিত বিদ্যুৎ,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
পরিবেষ্টিত তাপমাত্রা,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
বাইপোলার,ਬਾਈਪੋਲਰ
পরিবর্ধন,ਵਾਧਾ
পরিবর্ধক,ਐਂਪਲੀਫਾਇਰ
পরিবর্ধক দক্ষতা,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
মাত্রা,ਮਾਪ
প্রশস্ততা ক্ষয়,ਐਪਲੀਟਿਊਡ attenuation
প্রশস্ততা মডুলেটেড এএম অসিলেটর,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
প্রশস্ততা মড্যুলেশন,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ
প্রশস্ততা মডুলেটর,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ
অ্যাংস্ট্রম ইউনিট,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
এনালগ সার্কিট,ਐਨਾਲਾਗ ਸਰਕਟ
এনালগ কম্পিউটার,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
এনালগ ফিল্টার,ਐਨਾਲਾਗ ਫਿਲਟਰ
এনালগ মাল্টিমিটার,ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ
এনালগ সুইচ,ਐਨਾਲਾਗ ਸਵਿੱਚ
এবং গেট,ਅਤੇ ਗੇਟ
