Gujarati,Malayalam
"1.એબેકસ, 2. ગણતરી","1.അബാക്കസ്, 2. എണ്ണുന്നു"
અસામાન્ય અંત,അസാധാരണമായ അവസാനം
ઇન્ટરસેપ્ટ,തടസ്സപ്പെടുത്തുക
"1. સંપૂર્ણ, 2. સર્વોચ્ચ","1. കേവലം, 2. പരമോന്നത"
સંપૂર્ણ સરનામું,സമ്പൂർണ്ണ വിലാസം
સંપૂર્ણ સંબોધનક્ષમતા,സമ്പൂർണ്ണ വിലാസക്ഷമത
સંપૂર્ણ એસેમ્બલર,കേവല അസംബ്ലർ
"1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ","1. കേവല കോഡ്, 2. കേവല കോഡ്"
સંપૂર્ણ આદેશ,സമ്പൂർണ്ണ കമാൻഡ്
"1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા","1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ"
સંપૂર્ણ સૂચના,സമ്പൂർണ്ണ നിർദ്ദേശം
સંપૂર્ણ મોડ,കേവല മോഡ്
સંપૂર્ણ માર્ગ,കേവല പാത
"1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ","1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്"
અમૂર્ત વર્ગ,അമൂർത്ത ക്ലാസ്
અમૂર્ત ડેટા પ્રકાર,അമൂർത്ത ഡാറ്റ തരം
અમૂર્ત મશીન,അമൂർത്ത യന്ത്രം
અમૂર્ત પ્રતીક,അമൂർത്ത ചിഹ്നം
અમૂર્ત વાક્યરચના,അമൂർത്തമായ വാക്യഘടന
સ્વીકૃતિ કસોટી,സ്വീകാര്യത പരിശോധന
પ્રવેશ પ્રમાણપત્ર,പ്രവേശന സർട്ടിഫിക്കേഷൻ
"1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ","1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്"
વપરાશ નિયંત્રણ,പ്രവേശന നിയന്ത്രണം
ઍક્સેસ સ્કેનિંગ,ആക്സസ് സ്കാനിംഗ്
એસેસરીઝ,സാധനങ്ങൾ
નામું,അക്കൌണ്ടിംഗ്
"1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ","1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ"
સંચયક,ശേഖരണം
"1. ચોકસાઈ, 2. ચોકસાઈ","1. കൃത്യത, 2. കൃത്യത"
ઍક્સેસ,പ്രവേശനം
એક્સેસ કંટ્રોલ બાઇટ્સ,ആക്സസ് കൺട്രോൾ ബൈറ്റുകൾ
ઍક્સેસ સૂચક,പ്രവേശന സൂചകം
ઍક્સેસ કી,ആക്സസ് കീ
"1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ","1. ആക്സസ് മാട്രിക്സ്, 2. ആക്സസ് മാട്രിക്സ്"
ઍક્સેસ મોડ,ആക്സസ് മോഡ്
ઍક્સેસ વિશેષાધિકારો,പ്രവേശനാവകാശങ്ങൾ
ઍક્સેસ સુરક્ષા,ആക്സസ് സുരക്ഷ
"1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો","1. ആക്സസ് സെർവർ, 2. ആക്സസ് സെർവർ"
ઍક્સેસ સમય,പ്രവേശന സമയം
સ્વીકૃતિ,അംഗീകാരം
ધ્વનિશાસ્ત્ર,ശബ്ദശാസ്ത്രം
"1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું","1. ചുരുക്കെഴുത്ത്, 2. ചുരുക്കെഴുത്ത്, 3. മുതൽ ചുരുക്കി"
ક્રિયા સંદેશ,പ്രവർത്തന സന്ദേശം
સક્રિયકરણ,സജീവമാക്കൽ
સક્રિય સર્વર પૃષ્ઠ,സജീവ സെർവർ പേജ്
સક્રિય સંસ્કરણ,സജീവ പതിപ്പ്
એસાયક્લિક,അസൈക്ലിക്
"1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ","1. അസൈക്ലിക് ഗ്രാഫ്, 2. അസൈക്ലിക് ഗ്രാഫ്"
અદા કોમ્પ્યુટર ભાષા,അഡാ കമ്പ്യൂട്ടർ ഭാഷ
"1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર","1. ഒപ്റ്റിമൈസർ, 2. ഒപ്റ്റിമൈസർ"
સરવાળે),ആകെ)
સરવાળો ફાઇલ,തുക ഫയൽ
"1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી","1. കൂട്ടിച്ചേർക്കൽ പ്രവർത്തനം, 2. ആകെ പ്രവർത്തനം"
ઉમેરનાર,ചേർക്കുന്നയാൾ
જાણો,അറിയുക
સરનામું બસ,വിലാസം ബസ്
સરનામું ફાઇલ,വിലാസ ഫയൽ
સરનામું ફોર્મેટ,വിലാസ ഫോർമാറ്റ്
સરનામું જનરેટર,വിലാസ ജനറേറ്റർ
એડ્રેસ લાઇન,വിലാസ ലൈൻ
સરનામું મેપિંગ,വിലാസ മാപ്പിംഗ്
સરનામું સૂચક,വിലാസ സൂചകം
સરનામું રજીસ્ટર,വിലാസ രജിസ്റ്റർ
સરનામું ભંગાણ,വിലാസ തകർച്ച
સરનામા અનુવાદ,വിലാസ വിവർത്തനം
"1. એડ્રેસેબલ મેમરી, 2. એડ્રેસેબલ મેમરી","1. അഡ്രസ് ചെയ്യാവുന്ന മെമ്മറി, 2. അഭിസംബോധന ചെയ്യാവുന്ന മെമ്മറി"
સંબોધન,അഭിസംബോധന
"1. પર્યાપ્તતા માપદંડ, 2. પર્યાપ્તતા માપદંડ","1. പര്യാപ്തത മാനദണ്ഡം, 2. പര്യാപ്തത മാനദണ്ഡം"
જોડાણ,ബന്ധം
"1. મેનેજમેન્ટ, 2. નિયંત્રણ","1. മാനേജ്മെന്റ്, 2. നിയന്ത്രണം"
"1. મેનેજર, 2. નિયંત્રક","1. മാനേജർ, 2. കണ്ട്രോളർ"
એડોબ એક્રોબેટ,അഡോബ് അക്രോബാറ്റ്
એડોબ ફોટોશોપ,അഡോബ് ഫോട്ടോഷോപ്പ്
ABAP (એડવાન્સ્ડ બિઝનેસ પ્રોગ્રામિંગ),ABAP (അഡ്വാൻസ്ഡ് ബിസിനസ് പ്രോഗ്രാമിംഗ്)
