Hindi,Tamil
"1.एबेकस ,2. गिनतारा","1.அபாகஸ், 2. எண்ணும்"
असामान्य समापन,அசாதாரண முடிவு
अवरोधन,இடைமறிக்கவும்
"1. निरपेक्ष ,2. परम","1. முழுமையான, 2. உச்சம்"
निरपेक्ष पता,முழுமையான முகவரி
निरपेक्ष पताभिगमन,முழுமையான முகவரித்திறன்
निरपेक्ष कोडांतरक,முழுமையான அசெம்பிளர்
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
निरपेक्ष समादेश,முழுமையான கட்டளை
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
निरपेक्ष अनुदेश,முழுமையான அறிவுறுத்தல்
निरपेक्ष विधा,முழுமையான பயன்முறை
निरपेक्ष पथ,முழுமையான பாதை
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
अमूर्त वर्ग,சுருக்க வர்க்கம்
अमूर्त आंकड़ा प्रकार,சுருக்க தரவு வகை
अमूर्त मशीन,சுருக்க இயந்திரம்
अमूर्त प्रतीक,சுருக்க சின்னம்
अमूर्त वाक्य विन्यास,சுருக்க தொடரியல்
स्वीकृति परीक्षण,ஏற்பு சோதனை
अभिगम प्रमाणन,அணுகல் சான்றிதழ்
"1. अभिगम कूट ,2. अभिगम कोड","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
अभिगम नियंत्रण,நுழைவு கட்டுப்பாடு
अभिगम क्रमवीक्षण,அணுகல் ஸ்கேனிங்
सहयंत्र,பாகங்கள்
लेखा,கணக்கியல்
"1. एकाउंट आई डी ,2. लेखा पहचान","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
संचायक,திரட்டி
"1. विशुद्धता ,2. यर्थाथता","1. துல்லியம், 2. துல்லியம்"
अभिगम,அணுகல்
अभिगम नियंत्रण बाइट,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
अभिगम सूचक,அணுகல் காட்டி
अभिगम कुंजी,அணுகல் விசை
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. அணுகல் அணி, 2. அணுகல் அணி"
अभिगम विधा,அணுகல் முறை
अभिगम विशेषाधिकार,அணுகல் சலுகைகள்
अभिगम सुरक्षा,அணுகல் பாதுகாப்பு
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
अभिगम काल,அணுகல் நேரம்
अभिस्वीकृति,ஒப்புகை
ध्वनिकी,ஒலியியல்
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
क्रिया संदेश,செயல் செய்தி
सक्रियण,செயல்படுத்துதல்
सक्रिय सर्वर पृष्ठ,செயலில் உள்ள சர்வர் பக்கம்
सक्रिय वर्जन,செயலில் உள்ள பதிப்பு
अचक्रीय,அசைக்ளிக்
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
एडा कंप्यूटर भाषा,அட கணினி மொழி
"1. अनुकूलक ,2. अनुकूलित्र","1. ஆப்டிமைசர், 2. உகப்பாக்கி"
योग (करना),மொத்தத்தில்)
योग संचिका,தொகை கோப்பு
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. கூட்டல் செயல்பாடு, 2. மொத்த செயல்பாடு"
योजक,சேர்ப்பான்
पता,தெரியும்
पता बस,முகவரி பேருந்து
पता संचिका,முகவரி கோப்பு
पता आरूप,முகவரி வடிவம்
पता जनक,முகவரி ஜெனரேட்டர்
पता पंक्ति,முகவரி வரி
पता प्रतिचित्रण,முகவரி மேப்பிங்
पता संकेतक,முகவரி காட்டி
पता पंजी,முகவரி பதிவு
पता विघटन,முகவரி முறிவு
पता अनुवाद,முகவரி மொழிபெயர்ப்பு
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. முகவரி நினைவகம், 2. முகவரியிடக்கூடிய நினைவகம்"
पताभिगमन,உரையாற்றுதல்
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","1. போதுமான அளவுகோல்கள், 2. போதுமான அளவுகோல்"
