Marathi,Punjabi
abeli गट,ਅਬੇਲੀ ਸਮੂਹ
अबेली गट,ਅਬੇਲੀ ਸਮੂਹ
हात,ਹੱਥ
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
परिपूर्ण अभिसरण,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
परिपूर्ण त्रुटी,ਪੂਰਨ ਗਲਤੀ
सर्वोच्च सर्वोच्च,ਪਰਮ ਸਰਵਉੱਚ
परिपूर्ण सर्वात कमी,ਸਭ ਤੋਂ ਘੱਟ
परिपूर्ण मूल्य,ਸਹੀ ਮੁੱਲ
परिपूर्ण वेग,ਪੂਰਨ ਗਤੀ
अमूर्त बीजगणित,ਸਾਰ ਅਲਜਬਰਾ
अमूर्त गट सिद्धांत,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
प्रवेग,ਪ੍ਰਵੇਗ
गुरुत्वाकर्षण प्रवेग,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
स्वीकार्य निवडकर्ता,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
स्वीकार्य गुणवत्ता पातळी,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
स्वीकार्य परिसर,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
वैध विश्वसनीयता पातळी,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
स्वीकृती नमुना,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
संचित त्रुटी,ਸੰਚਿਤ ਗਲਤੀ
अचूकता,ਸ਼ੁੱਧਤਾ
शक्ती लागू,ਲਾਗੂ ਫੋਰਸ
"कृती, कृती","ਕਾਰਵਾਈ, ਕੰਮ"
क्रिया आणि प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
विमा विज्ञान,ਬੀਮਾ ਵਿਗਿਆਨ
तीव्र त्रिकोण,ਤੀਬਰ ਤਿਕੋਣ
अॅसायक्लिक,acyclic
बेरीज करणे,ਸੰਪੇਕਸ਼ਤ
जोडणारा,ਜੋੜਨ ਵਾਲਾ
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
योगाचे सूत्र,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
जटिल संख्यांची बेरीज,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
कार्यांची बेरीज,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
मॅट्रिक्सची बेरीज,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
बहुपदांची बेरीज,ਬਹੁਪਦ ਦਾ ਜੋੜ
संभाव्यतेची बेरीज,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
वेक्टरची बेरीज,ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ
"बेरीज प्रमेय, बेरी सिद्धांत,","ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ"
मिश्रित गट,additive ਗਰੁੱਪ
additive inverse,additive ਉਲਟ
जोडणी,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
जोडणी,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
संलग्नता मॅट्रिक्स,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
"समीप, समीप, समीप","ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ"
समीप कोन,ਨੇੜੇ ਦੇ ਕੋਣ
समीप शिरोबिंदू,ਨੇੜੇ ਦਾ ਸਿਰਾ
संबद्ध करणे,ਜੋੜਨ ਲਈ
"संलग्न संलग्न,",ਨੱਥੀ ਨੱਥੀ
सामान्य निर्धारक,ਆਮ ਨਿਰਣਾਇਕ
संलग्न विभेदक समीकरण,ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
संलग्न समीकरण,ਜੁੜੇ ਸਮੀਕਰਨ
एकसंध मॅट्रिक्स,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
मॅट्रिक्स सहप्रसरण,ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ
एकसंध मॅट्रिक्स,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
स्वीकार्य निर्णय कार्य,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
स्वीकार्य गृहीतक,ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ
वायुगतिकीय शक्ती,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
वायुगतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
एकसंध भूमिती,ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ
एकसंध मॅपिंग,ਸਮਰੂਪ ਮੈਪਿੰਗ
एकसंध परिवर्तन,ਸਮਰੂਪ ਤਬਦੀਲੀ
एकूण चल,ਕੁੱਲ ਵੇਰੀਏਬਲ
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","algebra, algebra, algebra, algebra"
"बियाणे बंद, बीजारोपण","ਬੀਜੀ ਬੰਦ, ਬੀਜੀ"
बीजगणितीय समीकरण,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
बीजगणितीय अभिव्यक्ती,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
बीजगणितीय एकरूपता,ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ
बीजगणितीय कार्य,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
बीजगणितीय भूमिती,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
बीजगणितीय बहुलता,ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ
बीजगणितीय प्रणाली,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
सर्व-पूर्णांक समस्या,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
"असाइनमेंट समस्या वॅट प्रश्न,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ
वर्णक्रमानुसार नोटेशन,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
वर्णमाला वर्ण,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
पर्यायी कोन,ਬਦਲਵੇਂ ਕੋਣ
"पर्यायी एकसंध पर्यायी फॉर्म,",ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ
पर्यायी गट,ਵਿਕਲਪਕ ਸਮੂਹ
पर्यायी मॅट्रिक्स,ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ
पर्यायी मालिका,ਵਿਕਲਪਿਕ ਲੜੀ
वैकल्पिक गृहीतक,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
पर्यायी इष्टतम,ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ
पर्यायी परिणाम,ਵਿਕਲਪਿਕ ਨਤੀਜਾ
अॅनालॉग-अंकी कनवर्टर,ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ
"अॅनालॉग संगणक,",ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
सहप्रसरण विश्लेषण,ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
गणन-डेटा विश्लेषण,ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ
भिन्नता विश्लेषण,ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ
विश्लेषणात्मक भूमिती,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
विश्लेषणात्मक कार्य,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ
कोन,ਕੋਣ
स्पर्शिका कोन,ਸਪਰਸ਼ ਕੋਣ
विक्षेपण कोन,ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ
उदासीनता कोन,ਡਿਪਰੈਸ਼ਨ ਕੋਣ
विचलन कोन,ਭਟਕਣ ਕੋਣ
विवर्तन कोन,ਵਿਭਿੰਨ ਕੋਣ
उंची कोन,ਉਚਾਈ ਕੋਣ
घटनेचा कोन,ਘਟਨਾ ਦਾ ਕੋਣ
प्रक्षेपण कोन,ਪ੍ਰੋਜੈਕਸ਼ਨ ਦਾ ਕੋਣ
प्रतिबिंब कोन,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਕੋਣ
अपवर्तन कोन,ਅਪਵਰਤਨ ਦਾ ਕੋਣ
रोटेशन कोन,ਰੋਟੇਸ਼ਨ ਕੋਣ
परावर्तनाचा परिपूर्ण कोन,ਪ੍ਰਤੀਬਿੰਬ ਦਾ ਪੂਰਨ ਕੋਣ
कोनीय प्रवेग,ਕੋਣੀ ਪ੍ਰਵੇਗ
कोनीय गती,ਕੋਣੀ ਵੇਗ
कोनीय गती,ਕੋਣੀ ਗਤੀ
कोनीय गती,ਕੋਣੀ ਵੇਗ
अनामिका,ਰਿੰਗ ਉਂਗਲ
उत्तर द्या,ਜਵਾਬ
काउंटर व्युत्पन्न,ਵਿਰੋਧੀ ਡੈਰੀਵੇਟਿਵ
आयसोमेट्रिक फंक्शन,isometric ਫੰਕਸ਼ਨ
"कव्हर करण्यायोग्य, लागू, लागू","ਕਵਰ ਕਰਨ ਯੋਗ, ਲਾਗੂ, ਲਾਗੂ"
"अर्ज अर्ज,",ਐਪਲੀਕੇਸ਼ਨ ਐਪਲੀਕੇਸ਼ਨ
लागू डायनॅमिक प्रोग्रामिंग,ਲਾਗੂ ਡਾਇਨਾਮਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
लागू भूमिती,ਲਾਗੂ ਕੀਤੀ ਜਿਓਮੈਟਰੀ
लागू गणित,ਲਾਗੂ ਗਣਿਤ
लागू आकडेवारी,ਲਾਗੂ ਅੰਕੜੇ
"अंदाजे, अंदाजे","ਲਗਭਗ, ਲਗਭਗ"
अंदाजे सतत कार्य,ਲਗਭਗ ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
