Punjabi,Malayalam
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,നിർത്തലാക്കിയ അവയവം
ਅਧੂਰਾ,നിർത്തലാക്കിയ വിത്ത്
ਗਰਭਪਾਤ,ഗര്ഭഛിദം
ਸੰਪੂਰਨ ਬੂਟੀ,കേവല കള
ਸਮਾਈ,ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം
ਸਮਾਈ,ആഗിരണം
ਅਬੀਸਨੀਅਨ ਰਾਈ,അബിസീനിയൻ കടുക്
ਅਚੰਭੇ,Ala എഴുതിയത്
ਰਾਜਕੁਮਾਰੀ,അക്വെൻട്രിക്
ਲਹਿਜ਼ਾ (ਸੈੱਲ),ആക്സന്റ്വേറ്റ് (സെൽ)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,അംഗീകരിച്ച സഹിഷ്ണുത
ਸਹਾਇਕ,ഉപസാധനം
ਅਨੁਕੂਲਤਾ,ACCLIMATIES
ਇਕੱਠਾ,കൂന്വാരം
ਸ਼ੁੱਧਤਾ,കൃതത
ਏਸਰਵੂਲਸ,Aiverulus
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,അസഹീകരണം
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,അസിഡിറ്റി
ਐਸਿਡਮੀਟਰ,ആദിമീറ്റര്
ਐਸਿਡਿਟੀ,അസിഡിറ്റി
ਐਸਿਡੋਫਿਲਿਕ,അഡോഫിലിക്
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്
ਐਸਿਡੁਰਿਕ,അയ്യോണിക്
ਐਕੁਇਫਰ,അക്വിഫർ
ਗ੍ਰਹਿਣ,കൈവശപ്പെടുത്തൽ
ਏਕੜ,ഏന്വുല്ല്
ਰਕਬੇ,പസ്താര
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,അക്രോസൻട്രിക് ക്രോമസോം
ਐਕਰੋਪੇਟਲ,അക്രോപോറ്റൽ
ਐਸ਼੍ਰੋਸੋਮ,അക്രോസോം
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ആക്റ്റിനോമൈസെറ്റുകൾ
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,സജീവ റൂട്ട് സോൺ
ਗੰਭੀਰ,തുളച്ചുകയറുന്ന
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടലി
ਅਨੁਕੂਲਤਾ,പൊരുത്തപ്പെടുത്തൽ
ਚਿਪਕਿਆ,അഷൈൻ
ADPIPOSE,അദിപ്പോസ്
ਵਿਵਸਥ ਸਮੀਕਰਨ,ക്രമീകരണ സമവാക്യം
ਅਡੋਬ ਮਿੱਟੀ,അഡോബ് മണ്ണ്
ਮਨਜ਼ੂਰ,പ്രത്യേകത
ਸਾਹਸੀ,സാഹസികത
ਏਸੀਡਿਓਸਪੋਰ,Aecidiossoror
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,ഓലിയൻ പ്രക്രിയ
ਏਓਲੀਅਨ,Aiolian
Aeate,ഓറേറ്റ്
ਏਰੀਅਲ,ഏരിയൽ
ਐਰੋਮੀਟਰ,ഏയ്റോമീറ്റർ
ਐਰੋਸੋਲ,എയറോസോൾ
ਖਰਾਸ਼,പകർച്ചവ്വാധം
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),Aetiiology (etiology)
ਕਥਾ,വനനം
ਅੰਦੋਲਨ,പ്രക്ഷോഭക്തി
ਆਕਮਾਰਕ,ന്വര്
ਅਗਰਾਰੀਅਨ,കാർഷികം
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,കാർഷിക ക്ലിനിക്
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,കാർഷിക തൊഴിലാളി
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,കാർഷിക മാർക്കറ്റിംഗ്
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,കാർഷിക സാങ്കേതികവിദ്യ
ਖੇਤੀ ਬਾੜੀ,കൃഷിപ്പണി
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,അഗ്രിസിൾവികൾച്ചർ
ਖੇਰਤ,കാർഷികൈവൻവിറ്റി
ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
ਅਗਾਹੀਵੋਲੋਜੀ,അഗ്രോബയോളജി
ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ,അഗ്രോകീല വൈവിധ്യമാർന്ന വൈവിധ്യമാർന്ന
ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ,അഗ്രോക്ലിമാറ്റിക് സോണിംഗ്
ਐਗਰੋਫੋਰੈਸਟਰੀ,അഗ്രോഫോറസ്ട്രി
ਖੇਤੀਬਾਜੀ,ങ്ങളോട്
ਖੇਤੀਬਾੜੀ,അഗ്രോണമി
ਐਗ੍ਰੋਪਾਸਟਰਲ,അഗ്രോപസ്റ്റോറൽ
ਸ਼ਿਕਾਰ,കാർഷികസംരക്ഷണം
