Tamil,English
கருக்கலைப்பு,Abort
டைமரை நிறுத்துங்கள்,Abort timer
முழுமையான முகவரி,Absolute address
முழுமையான முகவரி,Absolute addressing
முழுமையான அசெம்பிளர்,Absolute assembler
முழுமையான குறியீடு,Absolute code
முழுமையான குறியீட்டு முறை,Absolute coding
முழுமையான கட்டளை,Absolute command
முழுமையான ஒருங்கிணைப்பு,Absolute coordinate
முழுமையான தரவு,Absolute data
முழுமையான பிழை,Absolute error
முழுமையான வெளிப்பாடு,Absolute expression
முழுமையான அறிவுறுத்தல்,Absolute instruction
முழுமையான ஏற்றி,Absolute loader
முழுமையான வரிசை,Absolute order
முழுமையான நிரலாக்க,Absolute programming
முழுமையான சொல்,Absolute term
துல்லியமான மதிப்பு,Absolute value
முழுமையான திசையன்,Absolute vector
சுருக்கம்,Abstract
சுருக்கம்,Abstracting
சுருக்க சின்னம்,Abstract symbol
முடுக்கம் காலம்,Acceleration period
முடுக்கம் நேரம்,Acceleration time
உச்சரிப்பு,Accent
ஏற்பு சோதனை,Acceptance test
அணுகல்,Access
அணுகல் கை,Access arm
அணுகல் ஏற்பாடு,Access arrangement
அணுகல் அதிகாரம்,Access authority
அணுகல் கட்டணம்,Access charge
அணுகல் வகுப்பு,Access class
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,Access data base management
அணுகல் சூழல்,Access environment
அணுகல் இடைவெளி,Access gap
அணுகல் அட்டவணை,Access index
அணுகல் வரி,Access line
அணுகல் பொறிமுறை,Access mechanism
அணுகல் முறை,Access method
அணுகல் முறை வழக்கமான,Access method routine
அணுகல் பயன்முறை,Access mode
அணுகல் உரிமை,Access right
அணுகல் ஸ்கேன்,Access scan
அணுகல் நேரம்,Access time
கணக்கியல்,Accounting
கணக்கியல் நிதி அமைப்பு,Accounting finance system
கணக்கியல் இயந்திரம்,Accounting machine
கணக்கு எண்,Account number
திரட்டுதல் இனப்பெருக்கம்,Accumulating reproducer
குவிப்பான்,Accumulator
குவிப்பான் பதிவு,Accumulator register
திரட்டல் ஷிப்ட் வழிமுறை,Accumulator shift instruction
துல்லியம்,Accuracy
துல்லியம் கட்டுப்பாட்டு தன்மை,Accuracy control character
துல்லியம் கட்டுப்பாட்டு அமைப்பு,Accuracy control system
ஏஸ் பைலட்,Ace pilot
தன்மையை ஒப்புக் கொள்ளுங்கள்,Acknowledge character
ஒலி கப்ளர்,Acoustic coupler
ஒலி இணைப்பு,Acoustic coupling
ஒலி தாமத வரி,Acoustic delay line
ஒலி நினைவகம்,Acoustic memory
ஒலி மோடம்,Acoustic modem
ஒலி சமிக்ஞை,Acoustic signal
ஒலி சேமிப்பு,Acoustic storage
சுருக்கம்,Acronym
செயல்,Action
செயல் சுழற்சி,Action cycle
செயல் வரி,Action line
செயல் செய்தி,Action message
செயல் விவரக்குறிப்பு,Action specification
செயல்படுத்தல்,Activation
செயலில்,Active
செயலில் உள்ள கோப்பு,Active file
செயலில் வரி,Active line
செயலில் இணைப்பு,Active link
செயலில் உள்ள முதன்மை கோப்பு,Active master file
செயலில் உள்ள முதன்மை உருப்படி,Active master item
செயலில் உள்ள செயற்கைக்கோள்,Active satellite
செயலில் நிலையம்,Active station
செயலில் சேமிப்பு,Active storage
செயல்பாடு,Activity
செயல்பாட்டு நிலை,Activity level
செயல்பாடு ஏற்றுதல்,Activity loading
செயல்பாட்டு விகிதம்,Activity ratio
உண்மையான முகவரி (= முழுமையான முகவரி),Actual address (=absolute address)
உண்மையான குறியீடு (= முழுமையான குறியீடு),Actual code (=absolute code)
உண்மையான தரவு பரிமாற்ற வீதம்,Actual data transfer rate
உண்மையான தசம புள்ளி,Actual decimal point
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),Actual instruction (=effective instruction)
உண்மையான விசை,Actual key
உண்மையான நேரம்,Actual time
உண்மையான வேலை நேரம்,Actual work time
செயல்பாட்டு சமிக்ஞை,Actuating signal
தகவமைப்பு,Adaptability
பின்னல்,Adapter
தகவமைப்பு சேனல் ஒதுக்கீடு,Adaptive channel allocation
தகவமைப்பு ஒருங்கிணைப்பு,Adaptive integration
தகவமைப்பு குறுக்குவெட்டு சமநிலை,Adaptive transversal equalizer
நுழைவு சேர்க்கப்பட்டது,Added entry
கூடுதல்,Addend
அடி,Adder
சேர்க்கை துணைப்பிரிவு,Adder subtracter
கோப்பைச் சேர்க்கவும்,Add file
கூடுதல் எழுத்து (= சிறப்பு எழுத்து),Additional character (= special character)
கூடுதலாக ரெக்கார்டர்,Addition recorder
கூடுதலாக அட்டவணை,Addition table
சேர்க்கை பண்புக்கூறு,Additive attribute
பயன்முறையைச் சேர்க்கவும்,Add mode
செயல்பாட்டைச் சேர்க்கவும்,Add operation
முகவரி,Address
முகவரி அளவீடு,Addressability measure
முகவரியிடக்கூடிய கிடைமட்ட நிலை,Addressable horizontal position
முகவரிக்குரிய புள்ளி,Addressable point
முகவரி செய்யக்கூடிய நிலை,Addressable position
முகவரிக்குரிய பதிவு,Addressable register
முகவரியிடக்கூடிய சேமிப்பு,Addressable storage
முகவரியிடக்கூடிய செங்குத்து நிலை,Addressable vertical position
முகவரி பஸ்,Address bus
முகவரி குறியீடு,Address code
முகவரி ஒப்பீட்டாளர்,Address comparator
முகவரி கணக்கீடு,Address computation
முகவரி மாறிலி,Address constant
முகவரி மாற்றம்,Address conversion
முகவரி தரவு,Address data
உரையாற்றப்பட்ட நினைவகம்,Addressed memory
முகவரி பயனுள்ளதாக இருக்கும்,Address effective
முகவரி புலம்,Address field
முகவரி வடிவம்,Address format
முகவரி இலவச நிரல்,Address free program
முகவரி,Addressing
முகவரி  எழுத்து,Addressing  Character
குறுக்கீடு,Addressing interrupt
முகவரி லூப்,Addressing loop
மெய்நிகர் நினைவகத்தை உரையாற்றுதல்,Addressing virtual memory
முகவரி ஒன்றோடொன்று,Address interlacing
முகவரி இல்லாத அறிவுறுத்தல் வடிவம்,Addressless instruction format
முகவரி வரி,Address line
முகவரி மேப்பிங்,Address mapping
முகவரி குறி,Address mark
முகவரி மாற்றம்,Address modification
முகவரி பகுதி,Address part
முகவரி சுட்டிக்காட்டி,Address pointer
முகவரி பதிவு,Address register
முகவரி சமிக்ஞை,Address signal
முகவரி அளவு,Address size
முகவரி இடம்,Address space
முகவரி விண்வெளி அடையாளங்காட்டி,Address space identifier
முகவரி நிறுத்தம்,Address stop
முகவரி சுவடு,Address trace
முகவரி பாடல்,Address track
முகவரி மொழிபெயர்ப்பு,Address translation
முகவரி மொழிபெயர்ப்பாளர்,Address translator
கூடுதல் துணை நேரம்,Add-subtract time
நேரம் சேர்க்கவும்,Add time
அடுத்துள்ள,Adjacency
அருகிலுள்ள அமைப்பு,Adjacency structure
அருகிலுள்ள சேனல்,Adjacent channel
அருகிலுள்ள டொமைன்,Adjacent domain
அருகிலுள்ள மேட்ரிக்ஸ்,Adjacent matrix
அருகிலுள்ள முனை,Adjacent node
அருகிலுள்ள சப்ரியா,Adjacent subarea
தொடை (அமைப்பு),Adjoint (system)
சரிசெய்யவும்,Adjust
சரிசெய்யக்கூடிய அளவு,Adjustable extent
உரை பயன்முறையை சரிசெய்யவும்,Adjust text mode
நிர்வாக தரவு செயலாக்கம்,Administrative data processing
நிர்வாக செயல்பாடு,Administrative operation
நிர்வாக ஆபரேட்டர்,Administrative operator
நிர்வாக ஆபரேட்டர் நிலையம்,Administrative operator station
நிர்வாக ஆதரவு அமைப்பு,Administrative support system
மேம்பட்ட தொடர்பு சேவை,Advanced communication service
மேம்பட்ட தகவல் அமைப்பு,Advanced information system
மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்,Advanced optical character reader
மேம்பட்ட அறிவியல் கணினி,Advanced scientific computer
வான்வழி,Aerial
மதிப்பீட்டு,Aggregate
மொத்த வெளிப்பாடு,Aggregate expression
இலக்கு வட்டம்,Aiming circle
இலக்கு புலம் (= இலக்கு சின்னம்),Aiming field (= aiming symbol)
நோக்கம் சின்னம்,Aiming symbol
வான்வழி கணினி அமைப்பு,Airborne computer system
இயற்கணித ஈஜென்வெல்யூ சிக்கல்,Algebraic eigenvalue problem
இயற்கணித  ஒருங்கிணைப்பு,Algebraic  Integration
இயற்கணித மொழி,Algebraic language
இயற்கணித கையாளுதல்,Algebraic manipulation
இயற்கணித கையாளுதல் மொழி,Algebraic manipulation language
இயற்கணித சார்ந்த மொழி,Algebraic oriented language
இயற்கணித மாற்றம்,Algebraic shift
இயற்கணித அடையாளம் மாநாடு,Algebraic sign convention
அல்கோல்,Algol
அல்கோல் அம்சம்,Algol feature
அல்கோல் நிரலாக்க,Algol Programming
வழிமுறை,Algorithm
அல்காரிதம் துணை மொழி,Algorithm associative language
வழிமுறை வகைப்பாடு,Algorithm classification
வழிமுறை சிக்கலானது,Algorithm complexity
அல்காரிதம் கணக்கீடு,Algorithm computability
வழிமுறை பகுப்பாய்வு,Algorithmic analysis
வழிமுறை அணுகுமுறை,Algorithmic approach
வழிமுறை மொழி,Algorithmic language
வழிமுறை வழக்கம்,Algorithmic routine
வழிமுறை கோட்பாடு,Algorithmic theory
மாற்றுப்பெயர்,Alias
மாற்றுப்பெயர்ச்சி,Aliasing
மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்),Alias name (= alternative name)
சீரமைப்பு,Alignment
ஒதுக்கவும்,Allocate
ஒதுக்கீடு அமைப்பு,Allocation structure
