Hindi,Bengali
एसीडायड,অ্যাসিডয়েড
जलोढ़ मृदा,বায়বীয় মাটি
समुच्चय,সমষ্টি
समुच्चयन,সমষ্টি
सस्य मृदा विज्ञान,কৃষিবিদ্যা
सस्य विज्ञान,কৃষিবিদ্যা
"A-संस्तर, A-होराइजन",A- দিগন্ত
Ao-संस्तर/Ao-होराइजन,আও-দিগন্ত
Aoo-संस्तर/होराइजन,আও-দিগন্ত
मृदा की वायु धारिता,মাটির বায়ু ক্ষমতা
मृदा का वायु अंग,মাটির বায়ু উপাদান
वायु पिक्नोमीटर,এয়ার পিকনোমিটার
एलीटिक मृदा,অ্যালিটিক মাটি
जलोढ़ मृदा,পলিমাটি
एम्फोलीटायड,অ্যামফোলাইটয়েড
ऋणायन,অ্যানিয়ন
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;"
कोर,আরিস
बारीक वराश्म चिनाई,আশলার সূক্ষ্ম গাঁথনি
वराश्म चिनाई,আশলার রাজমিস্ত্রি
अस्तरीय मृदा/अक्षेत्रीय मृदा,অ্যাজোনাল মাটি
कर्ष खनित्र,পেছনের অভিনেতা
पश्च डाट,পিছনের খিলান
पश्च पट्ट,ব্যাক ব্যান্ড
उपटा प्रलेप,পিছনের ব্রাশ
पश्च रोधक,ফিরে চেক
पश्च पटल,পিছনে কাউন্টার
पश्च कर्तन,পিছনে কাটা
उपटा झोंका अवमंदक,ব্যাক ড্রাফ্ট ড্যাম্পার
पश्च नली,পিছনের ড্রেন
पश्च पट,ব্যাকড্রপ
पृष्ठ भरण,ব্যাক ফিল
पश्च पट्टिका,ব্যাক ফিললেট
पृष्ठ पल्ला कब्जा,পিছনে ফ্ল্যাপ কবজা
प्रतीप प्रवाह संयोजन,পিছনে প্রবাহ সংযোগ
प्रतीप प्रवाह निरोधक,পিছনে প্রবাহ প্রতিরোধক
पश्चांतर,ব্যাক গেজ
पश्च नली,পিছনে নর্দমা
अग्निस्थान पृष्ठ,পিছনের চুলা
पीठ/पृष्ठ भाग,ব্যাকিং
पिछला तख्ता,ব্যাকিং বোর্ড
पश्च दाब,ফিরতি চাপ
पश्च टेक,পিছনে প্রপ
पश्चावलोकन,পিছনের দৃষ্টি
पश्चजल,পিঠের জল
व्यारोध,বিভ্রান্ত
थैला पुशताबंदो,ব্যাগওয়ার্ক
गिट्टी,ব্যালাস্ট
बॉल मृत्तिका,বল কাদামাটি
बॉल शंकुआकार शिकंजा,বল শঙ্কু বাতা
काँटेदार तार,কাঁটাতার
छड़ कुत्ता,বার কুকুর
त्रयंकी पार्श्व फलक,বার্জ বোর্ড
बेरियम सल्फेट परीक्षण,বেরিয়াম সালফেট পরীক্ষা
बैराज,ব্যারেজ
बरेट,ব্যারেট
क्षार,বেস
बेस विनिमय,বেস বিনিময়
आधार रेखा,বেস লাইন
तहखाना/अधोभवन,বেসমেন্ট
अधोगृह भित्ति,বেসমেন্ট প্রাচীর
आधार पट्टिका,বেস প্লেট
समायोज्य आधार पट्टिका,"বেস প্লেট, নিয়মিত"
क्षार संतृप्ति,বেস স্যাচুরেশন
बेसाइड,বেসয়েড
रोड़ा,ব্যাট
स्नानागर व शौच कुण्ड,স্নান এবং WC
सलामी खूँटी,ব্যাটার পেগ
सलामी पाया,ব্যাটার পিয়ার
सलामी नियम,ব্যাটারের নিয়ম
बॉक,বাল্ক (বাল্ক)
खंडक,বে
धारक,বহনকারী
धारण क्षमता,ভারবহন ক্ষমতা
धारक पाइल,ভারবহন গাদা
धारक स्तर,ভারবহন স্তর
आधार तल,বিছানা
संस्तरण तल,বেডিং প্লেন
पड़ी दरज,বেড জয়েন্ট
अश्माधार,বিছানা শিলা
शयन कक्ष,শয়নকক্ষ
मधुमोम,মোম
बैल बॉक्स,বেল বক্স
बैलिंग बकेट,বেলিং বালতি
बैलोफ्राम,বেলোফ্রাম
पैड़ीदार नींव,বেঞ্চড ফাউন্ডেশন
पैड़ी बनाना,বেঞ্চিং
निदेश तलचिह्न,মাপকাঠি
हितलाभ लागत विश्लेषण,বেনিফিট খরচ বিশ্লেষণ
उपतट,বারম
ढालू डेली,বেভেলড ক্লোজার
संस्तर/B-होराइजन,"বি-দিগন্ত,&quot;বি-"
बीएट,বিয়াট
बंधक,বাইন্ডার
बंधक पदार्थ,বাঁধাই উপাদান
बायोट का सिद्धांत,বায়োটের তত্ত্ব
बीटूमन,বিটুমেন
काली मृदा,কালো তুলার মাটি
काली मिट्टी,কালো পৃথিবী
काली शाब्दल मृदा,কালো টার্ফ মাটি
फलक,ব্লেড
वात्या भट्टी धातुमल सीमेंट,ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট
खंडीय संरचना,অবরুদ্ধ কাঠামো
बोगी संचलन प्रतिरोध,বগি প্রতিরোধ
दलदल लोह खनित्र,বগ-লোহা আকরিক
चाल (चिनाई की),বন্ধন
बद्ध अवयव,বন্ডেড সদস্য
बद्ध प्रत्ययित तनन,বন্ধন পোস্ট উত্তেজনা
बंधक पत्थर,বন্ড পাথর
बद्ध जल,আবদ্ধ জল
पेटिकाकार नाली,বক্স নর্দমা
बंधनी,বন্ধনী
खड़ी ईंट,ইট-অন-এজ
ब्राइडल,লাগাম
द्युति,উজ্জ্বলতা
भूरी मृदा,বাদামী মাটি
भवन,বিল্ডিং
भवन सर्वेक्षक,বিল্ডিং সার্ভেয়ার
बफर (रोधक),বাফার
रोधनवक या अनुपामन वक,বাফার বক্ররেখা
रोधन,বাফারিং
रोधन क्षमता,বাফার ক্ষমতা
बन्दर,বান্দর
पुश्ता,বাট্রেস
c-संस्तर/c-होराइजन,সি-দিগন্ত
तार/केबल,তারের
तारगढ़ाई,তারের ছাঁচনির্মাণ
केबिल तंत्र,ক্যাবলিং
केबिन,কেবিন
केबिन अंकुश,কেবিন হুক
