Hindi,Marathi
ए बी वर्ग प्रवर्धक,A B वर्ग अॅम्प्लीफायर
"विपथन,अपेरण",विकृती
असामान्य संचरण,असामान्य प्रसार
"असंलग्न,सहसा ,खड़आ,विच्छिन्न,खंडित","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
लुप्त स्पेक्ट्रम,गहाळ स्पेक्ट्रम
"निरपेक्ष,परम,अचर,परिशुद्ध","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
निरपेक्ष आर्द्रता,परिपूर्ण आर्द्रता
निरपेक्ष गति,परिपूर्ण गती
निरपेक्ष प्रेक्षण,परिपूर्ण निरीक्षण
परम ताप,परिपूर्ण तापमान
परम शून्य,पूर्ण शून्य
अवशोषण करना,शोषून घेणे
"अवशोषक, अवशोषी","शोषक, शोषक"
अवशोषण सामर्थ्य,शोषण क्षमता
अवशोषणांश,शोषण
अवशोषी,शोषक
अवशोषकता,शोषकता
बाहुल्य अनुपात,गुणोत्तर गुणोत्तर
त्वरित करना,गती वाढवणे
त्वरित,घाई केली
त्वरण,प्रवेग
गुरुत्व त्वरण,गुरुत्वाकर्षणाचा प्रवेग
त्वरक,प्रवेगक
"त्वरित्र,त्वरक",प्रवेगक
त्वरणमापी,प्रवेगमापक
प्राक्प्रबलक,prestresser
स्वीकारी परीक्षण,स्वीकार्य चाचणी
"ग्राही,स्वीकारी",स्वीकारणारा
आदाता अणु,दाता रेणू
"अभिगम,प्रतीक्षा,अभिगम्यता","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
अभिगम्यता,प्रवेशयोग्यता
"अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
अभिगम काल,प्रवेश वेळ
आगन्तुक त्रुटि,अभ्यागत त्रुटी
समंजन,समायोजन
संचित,जमा
"संचय,संचयन","जमा करणे, जमा करणे"
संचायक,संचयक
यथार्थता,अचूकता
यथार्थ,वास्तव
अवर्णक लेन्स,अॅक्रोमॅटिक लेन्स
अवर्णक,अक्रोमॅटिक
अवर्णकता,अक्रोमॅटिकता
ध्वानिक,ध्वनिक
ध्वनिरुद्ध,ध्वनीरोधक
ध्वानिक फ़ओनॉन,ध्वनिक फोनन
ध्वनि-मात्रक,ध्वनी युनिट
ध्वानिक,ध्वनिक
ध्वनि जनित्र,ध्वनी जनरेटर
क्रिया और प्रतिक्रिया,क्रिया आणि प्रतिक्रिया
सक्रियण,सक्रियकरण
सक्रियण उर्जा,सक्रियता ऊर्जा
