Gujarati,Marathi
મહારમાન સપાટી,अ‍ॅबॅक्सियल पृष्ठभाग
પેટ,ओटीपोट
પેટનો એરોર્ટા,ओटीपोटात महाधमनी
આધાર ગેંગલિયા,ओटीपोटात गॅंग्लिया
Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ,एबेलमोशस एस्क्युल्टस
વિપુલતા,विकृती
નાજુક,अबीज
એબિંગ્ડન કાચબો,अबिंगडॉन कासव
સ્વત્વાર્પણ,अ‍ॅबिओजेनेसिस
અહંકારી,अ‍ॅबिओटिक
અભણ પરિબળ,अ‍ॅबिओटिक फॅक्टर
અસામાન્ય પેશાબ,असामान्य मूत्र
એબીઓ રક્ત જૂથ,अबो ब्लड ग्रुप
સદસ્યાટ,अ‍ॅबसिसिक acid सिड
વિકલાંગતા,फलंदाजी
શોષવું,शोषून घ्या
શોષણ ટોચ,शोषण शिखर
સમાવેશ,शोषण
બાવળ,बाभूळ कॅटेचू
એકરિયા અરબીકા,अकारिया अरबीका
એકર,अकाप्रिन
સ્વીકાર્ય જાતીય વર્તન,स्वीकार्य लैंगिक वर्तन
સહાયક ગ્રંથિ,Ory क्सेसरी ग्रंथी
સહાયક ગ્રંથિ,Ory क्सेसरी ग्रंथी
સહાયક અંગ,Ory क्सेसरीसाठी अवयव
સ્વાર્થીકરણ,सहनशीलता
મામૂલી કરવું,अनुकूलित करा
આવાસ (ધ્યાન કેન્દ્રિત),निवास (लक्ष केंद्रित करणे)
આંખનું સ્થાન,डोळ्याची निवासस्थान
પરિધિ,संवर्धन वाढ
સંચય,संचय
કાર્બનિક પદાર્થનું સંચય,सेंद्रिय पदार्थाचे संचय
જમીનનો સંચય,मातीचे संचय
મધ્યમ,सेल्युलर
મધ્ય જીવ,एसेल्युलर जीव
અકારો,एसीटाबुलम
Ecetaldehyde,एसीटाल्डिहाइड
એસીટીલ કોએન્ઝાઇમ,एसिटिल कोएन्झाइम
એકલતા,अकॅटिना
અચેન પ્રકાર,अचेने प्रकार
અહંકાર,अचेने
આચ્છાદન,अक्लमिडोस्पोरिया
એસિડ વરસાદ,आम्ल वर्षा
અમ્દિન,अम्लीय
અમ્બલિક ગેસ,अम्लीय वायू
અમલ્ય,आंबटपणा
કોતરણીનો કોષ,एसीनार सेल
Acાંકણ,एकोलोमेट
એક જાતની કળા,On कोनिटम
એકોખી,अ‍ॅकॉर्न वर्म
ધ્વનિ ક્ષેત્ર,ध्वनिक झोनिंग
પ્રાપ્ત કરેલું પાત્ર,अधिग्रहित वर्ण
હસ્તગત પ્રતિરક્ષા,वसूल केलेली प्रतिकारशक्ती
હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
ક્રોધાવેશ,एकरानिया
એસિડાઇન રંગ,Rid सिडिन डाई
અતિશય,अ‍ॅक्रोसेन्ट्रिक
કરચલી,अ‍ॅक्रोमियन
સર્કરો,अ‍ॅक्रोपेटल सीक्वेन्स
સરકરાનો હુકમ,अ‍ॅक्रोपेटल ऑर्डर
ગળાશ,अ‍ॅक्रोसिन
કાર્ય,अ‍ॅक्टिन
કૃત્ય,अ‍ॅक्टिन-सारखी प्रथिने
અભિપ્રાયનું,अ‍ॅक्टिनोमॉर्फिक
કૃત્ય,अ‍ॅक्टिनोमाइसेट्स
કાર્ય માટેની ક્ષમતા,कृती संभाव्यता
સક્રિય કાદવ,सक्रिय गाळ
સક્રિય કાદવ ફ્લોક,सक्रिय गाळ फ्लॉक
સક્રિય energyર્જા,सक्रियता ऊर्जा
સક્રિય શોષણ,सक्रिय शोषण
સક્રિય પ્રતિરક્ષા,सक्रिय प्रतिकारशक्ती
સક્રિય કિરણોત્સર્ગ,सक्रिय रेडिएशन
સક્રિય સ્થળ,सक्रिय साइट
સક્રિય,अ‍ॅक्टिव्हिन
અણીદાર,Umicate
એડ્મસિયા,अ‍ॅडम्सिया
અનુકૂલનક્ષમતા,अनुकूलता
અનુકૂલન,रुपांतर
પ્રકાશ શાસન માટે અનુકૂલન,हलकी व्यवस्थेशी जुळवून घेणे
પાણીની અછતને અનુકૂલન,पाण्याची कमतरता रुपांतर
અનુકૂલનશીલ લાક્ષણિકતાઓ,अनुकूली वैशिष्ट्ये
અનુકૂલનશીલ પ્રતિરક્ષા,अनुकूली प्रतिकारशक्ती
અનુકૂલનશીલ કિરણોત્સર્ગ,अनुकूली रेडिएशन
અનુકૂલન લક્ષણ,अनुकूली गुण
ઉપદેશક,अ‍ॅडॅक्सियल पृष्ठभाग
વ્યસનકારક વિકાર,व्यसनाधीन डिसऑर्डर
એક જાતની adાળ,En डेनिन
એડોનોકોર્ટિકોટ્રોપિન,En डेनोकोर्टिकोट्रोपिन
એનોહિપોફિસીસ,En डेनोहायपोफिसिस
એડેનોસિન ડિફોસ્ફેટ,En डेनोसिन डायफॉस्फेट
એમેનોસિન,En डेनोसिन डिमिनेस
એનોસિન મોનોફોસ્ફેટ,En डेनोसाइन मोनोफॉस्फेट
એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી),En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
સાયક્લેઝ,En डेनिलेट सायक्लेज
ચપળ બળ,चिकट शक्ती
શણગારવું,अ‍ॅडिपेट
એડિપોસાઇટ (ચરબી કોષ),अ‍ॅडिपोसाइट (चरबी सेल)
ચરબી પેશી,अ‍ॅडिपोज टिशू
Nતરતું,Nednate
સંલગ્ન સમુદાય,लगतचा समुदाय
વ્યવહાસી,Ren ड्रेनल
એડ્રીનલ ગ્રંથિ,Ren ड्रेनल ग्रंथी
એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ),एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ),Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
શોષક,Or सॉर्बेंट
શોષક,शोषण
અદ્યતન તાર,प्रगत Chordate
ફાયદાકારક પરિવર્તન,फायदेशीर उत्परिवर्तन
સાહસિક,अ‍ॅडव्हेंटिशियल
અગમ્ય મૂળ,साहसी मूळ
પ્રતિકૂળ અસર,प्रतिकूल परिणाम
એડીસ,एडीज
સંસ્કૃતિનો વાયુ,संस्कृतीचे वायुवीजन
વિમાન,एरेन्चायमा
હવાઈ,हवाई
હવાઈ ​​મૂળ,एरियल रूट
હવાઈ ​​ગોળી,एरियल शूट
વાયુગામી શ્વસન,एरोबिक श्वसन
વાયુગામી શ્વસન,एरोबिक श्वसन
સૌંદર્ય શાસ્ત્ર,सौंदर्यशास्त्र
નિલાસ્ય,एस्टिवेशन
નિલાસ્ય,एस्टिवेशन
સંલગ્ન,Efferent
લગાવ રંગ,आत्मीयता क्रोमॅटोग्राफी
પીડિત અંગ,पीडित अवयव
વનીકરણ,वनीकरण
અકસ્માત,अ‍ॅगामोस्पर्मी
પાટિયું,अगर
અણીદાર,आगरोस
એલોઝ જેલ એલેટ્રોફોરેસિસ,अगरोस जेल इलेट्रोफोरेसीस
પિલર જેલ,अ‍ॅगारोज पॉलिमर जेल
અવસ્થામાં,Agast
ખાડી,अ‍ॅगेव्ह
વય વહેંચણી,वय वितरण
વય પિરામિડ,वय पिरॅमिड
Agલટ,एकत्रित
સમૂહ,एकूण
એકંદર,कूपांचे एकूण
એકંદર,कूपांचे एकूण
એકંદર,एकत्रिकरण
આક્રમકતા,आक्रमकता
આંદોલનકારી પદ્ધતિ,आंदोलन प्रणाली
એકરાગ,अग्नथ
અણી,अगोती
અગ્રાણ ક્લોરોપ્લાસ્ટ,अ‍ॅग्रॅनल क्लोरोप्लास्ट
એકરારવાળું,अ‍ॅग्रॅन्युलर
એગ્રાન્યુલોસાઇટ,अ‍ॅग्रानुलोसाइट
કૃષિ,शेती
કૃષિ -પ્રવેશ,अ‍ॅग्रोफोरेस्ट्री
મધ્યસ્થી,अ‍ॅग्रोबॅक्टीरियम मध्यस्थी
એગ્રોબેક્ટેરિયમ ટ્યુમેફેસિઅન્સ,अ‍ॅग्रोबॅक्टीरियम ट्यूमेफेसियन्स
કૃષિ -તકનીકી,अ‍ॅग्रोकेमिकल
કૃષિ -તકનીકી,अ‍ॅग्रोकेमिकल
કૃષિ -ક્ષેત્ર,अ‍ॅग्रोक्लिमॅटिक झोन
કૃષિવિજ્ trાન,कृषी गुणधर्म
કૃષિવિજ્yાન,अ‍ॅग्रोनॉमी
સહાય,एड्स
હવાઈ ​​મૂત્રાશય,एअर मूत्राशय
હવાઈ ​​કન્ડિશનર,वातानुकूलन
હવાઈ ​​માર્ગ,हवाई रस्ता
હવા પ્રદૂષણ,वायू प्रदूषण
હવાઈ ​​કોથળી,एअर थैली
હવાઈપૂટી,एअर व्हॅक्यूओल
હવાઈ ​​શ્વાસ,हवाई श्वास
અણીદાર,अलेन
અણીદાર સ્નાયુ,अ‍ॅलरी स्नायू
અલાસ્કા બ્રાઉન રીંછ,अलास्कन तपकिरी अस्वल
કોયડો,अल्बिनो
કાંચક,अल्बुगो
આલ્બ્યુબિન,अल्बमिन
શામક બીજ,अल्ब्युमिनस बियाणे
આલ્બમિન્યુરિયા,अल्बमिनुरिया
આવરણ,अल्बर्नम
અણી,Lescedae
શણગાર,Ld ल्डिहेडे
મિથોસ્ટેરોન,Ld ल्डोस्टेरॉन सिस्टम
અલડોસ્ટેરા,अ‍ॅल्डोस्टेरॉन
Alલ્યુરોન સ્તર,अलेरोन लेयर
એક જાતનો અવાજ,अलेरोप्लास्ट
એક જાતની કળા,अल्फल्फा
એલ્ગલ મોર,अल्गल ब्लूम
જાસૂસ,अल्गिन
પરાયું ડીએનએ,एलियन डीएनए
પરિયન જાતિઓ,एलियन प्रजाती
ગોઠવણી,संरेखन
ગોઠવણી,संरेखन
ઉદાર નહેર,एलिमेंटरी कालवा
અંતરીલ પદ્ધતિ,एलिमेंटरी सिस्टम
અણી,अलिसमासेस
ક્ષુદ્ર,अल्कलॉइड
ક્ષુદ્ર,अल्कधर्मी
આલ્કીપ્ટોન્યુરિયા,अल्काप्टोनुरिया
અણી,अलांटोइस
એલીલ આવર્તન,अ‍ॅलेल वारंवारता
એલીલ,अ‍ॅलेल
એલેલોમોર્ફિક જોડી,Lel लोमॉर्फिक जोडी
એલર્જન,L लर्जीन
મગર,अ‍ॅलिगेटर
એલીયમ સી.પી.ઇ.પી.એ.,अ‍ॅलियम सेपा
સહ -સંબંધ,अ‍ॅलोगॅमी
અલગ,अ‍ॅलोग्राफ्ट
એલોપેટ્રિક સ્પષ્ટીકરણ,अ‍ॅलोपॅट्रिक स्पेशिएशन
ફિલોપ્લોઇડ,Ol लोपोलिपॉइड
એલોસ્ટીક અસર,अ‍ॅलोस्टेरिक प्रभाव
એલોસ્ટીક ઉત્સુક,अ‍ॅलोस्टेरिक एंझाइम
એલોસ્ટીક અવરોધક,अ‍ॅलोस्टेरिक इनहिबिटर
ખેલ -મોડ્યુલેશન,अ‍ॅलोस्टेरिक मॉड्यूलेशन
એલોસ્ટીક સ્થળ,अ‍ॅलोस्टेरिक साइट
એલોસ્ટીક અવરોધ,अ‍ॅलोस्टेरिक इनहिबिशन
