Assamese,Kannada
abeli গ্ৰুপ,ಅಬೆಲಿ ಗುಂಪು
abeli গ্ৰুপ,ಅಬೆಲಿ ಗುಂಪು
হাত,ಕೈ
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
নিৰপেক্ষ অভিসৰণ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
নিৰপেক্ষ ভুল,ಸಂಪೂರ್ಣ ದೋಷ
পৰম পৰম,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
নিৰপেক্ষ সৰ্বনিম্ন,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
নিৰপেক্ষ মূল্য,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
নিৰপেক্ষ বেগ,ಸಂಪೂರ್ಣ ವೇಗ
বিমূৰ্ত বীজগণিত,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
বিমূৰ্ত গোট তত্ত্ব,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
বেগ বৃদ্ধি,ವೇಗವರ್ಧನೆ
মহাকৰ্ষণীয় ত্বৰণ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
গ্ৰহণযোগ্য নিৰ্বাচক,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
গ্ৰহণযোগ্য চৌহদ,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
বৈধ নিৰ্ভৰযোগ্যতা স্তৰ,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা,ಸ್ವೀಕಾರ ಮಾದರಿ
সঞ্চিত ভুল,ಸಂಚಿತ ದೋಷ
শুদ্ধতা,ನಿಖರತೆ
প্ৰয়োগ কৰা বল,ಅನ್ವಯಿಸಿದ ಬಲ
"কাৰ্য্য, কাৰ্য্য","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
বীমা বিজ্ঞান,ವಿಮಾ ವಿಜ್ಞಾನ
তীব্ৰ ত্ৰিভুজ,ತೀವ್ರ ತ್ರಿಕೋನ
অচক্ৰীয়,ಅಸೈಕ್ಲಿಕ್
সামৰণিত,ಒಟ್ಟುಗೂಡಿಸಲು
adder,ಸೇರಿಸುವವನು
"যোগফল, যোগ, যোগফল (c.), যোগ (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
যোগৰ সূত্ৰ,ಯೋಗದ ಸೂತ್ರ
জটিল সংখ্যাৰ যোগফল,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
ফলনৰ যোগফল,ಕಾರ್ಯಗಳ ಮೊತ್ತ
মেট্ৰিক্সৰ যোগফল,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
বহুপদৰ যোগফল,ಬಹುಪದಗಳ ಮೊತ್ತ
সম্ভাৱনাৰ যোগফল,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
ভেক্টৰৰ যোগফল,ವಾಹಕಗಳ ಮೊತ್ತ
"যোগ উপপাদ্য, বেৰী তত্ত্ব,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
যোগকৰণ গোট,ಸಂಯೋಜಕ ಗುಂಪು
যোগকৰণৰ বিপৰীত,ಸಂಯೋಜಕ ವಿಲೋಮ
যোগযোগ্যতা,ಸೇರಿಸುವಿಕೆ
যোগযোগ্যতা,ಸೇರಿಸುವಿಕೆ
সংলগ্নতা মেট্ৰিক্স,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"কাষৰীয়া, কাষৰীয়া, কাষৰীয়া","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
কাষৰীয়া কোণ,ಪಕ್ಕದ ಕೋನ
কাষৰীয়া শিখৰ,ಪಕ್ಕದ ಶೃಂಗ
to associate,ಸಂಯೋಜಿಸಲು
"সংযুক্ত আবৃত,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
সাধাৰণ নিৰ্ণায়ক,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
সংযুক্ত অৱভেদ্য সমীকৰণ,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
সংলগ্ন সমীকৰণ,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
মেট্ৰিক্স সহাৱস্থান,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
সহসমঞ্জস্যপূৰ্ণ মেট্ৰিক্স,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
গ্ৰহণযোগ্য অনুমান,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
বায়ুগতিবিদ্যা বল,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವಿಜ್ಞಾನ
সমজাতীয় জ্যামিতি,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
সমজাতীয় মেপিং,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
সমজাতীয় ৰূপান্তৰ,ಏಕರೂಪದ ರೂಪಾಂತರ
এগ্ৰিগেট ভেৰিয়েবল,ಒಟ್ಟು ವೇರಿಯಬಲ್
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"বীজযুক্ত বন্ধ, বীজযুক্ত","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
বীজগণিতীয় সমীকৰণ,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
বীজগণিতীয় প্ৰকাশ,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
বীজগণিতীয় একাকাৰীতা,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
বীজগণিতীয় ফলন,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
বীজগণিতীয় জ্যামিতি,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
বীজগণিতীয় বহুত্ব,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
বীজগণিতীয় ব্যৱস্থা,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
সকলো-পূৰ্ণসংখ্যা সমস্যা,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"নিযুক্তিৰ সমস্যা watt প্ৰশ্ন,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
বৰ্ণানুক্ৰমিক সংকেত,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
বৰ্ণানুক্ৰমিক আখৰ,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
বিকল্প কোণ,ಪರ್ಯಾಯ ಕೋನಗಳು
"বিকল্প সমজাতীয় বিকল্প ৰূপ,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
বিকল্প গোট,ಪರ್ಯಾಯ ಗುಂಪು
বিকল্প মেট্ৰিক্স,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
বিকল্প শৃংখলা,ಪರ್ಯಾಯ ಸರಣಿ
বিকল্প অনুমান,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
বিকল্প অনুকূল,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಮ್
বিকল্প ফলাফল,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
এনালগ-ডিজিট ৰূপান্তৰক,ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ
"এনালগ কম্পিউটাৰ,",ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
সহাৱস্থান বিশ্লেষণ,ಸಹವರ್ತಿ ವಿಶ್ಲೇಷಣೆ
গণনা-তথ্য বিশ্লেষণ,ಎಣಿಕೆ-ಡೇಟಾ ವಿಶ್ಲೇಷಣೆ
ভ্যাৰিয়েন্স বিশ্লেষণ,ವ್ಯತ್ಯಾಸ ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক জ্যামিতি,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
বিশ্লেষণাত্মক কাৰ্য্য,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
কোণ,ಕೋನ
স্পৰ্শক কোণ,ಸ್ಪರ್ಶ ಕೋನ
বিক্ষেপণ কোণ,ವಿಚಲನ ಕೋನ
ডিপ্ৰেছন এংগেল,ಖಿನ್ನತೆಯ ಕೋನ
বিচ্যুতি কোণ,ವಿಚಲನ ಕೋನ
বিবৰ্তন কোণ,ವಿವರ್ತನೆಯ ಕೋನ
উচ্চতা কোণ,ಎತ್ತರದ ಕೋನ
প্ৰাদুৰ্ভাৱৰ কোণ,ಘಟನೆಯ ಕೋನ
প্ৰক্ষেপণৰ কোণ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
প্ৰতিফলনৰ কোণ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
বিবৰ্তনৰ কোণ,ವಕ್ರೀಭವನದ ಕೋನ
ঘূৰ্ণন কোণ,ತಿರುಗುವ ಕೋನ
প্ৰতিফলনৰ নিৰপেক্ষ কোণ,ಪ್ರತಿಫಲನದ ಸಂಪೂರ್ಣ ಕೋನ
কৌণিক ত্বৰণ,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
কৌণিক বেগ,ಕೋನೀಯ ವೇಗ
কৌণিক গতি,ಕೋನೀಯ ವೇಗ
কৌণিক বেগ,ಕೋನೀಯ ವೇಗ
ৰিং ফিংগাৰ,ಉಂಗುರದ ಬೆರಳು
উত্তৰদিশ,ಉತ್ತರ
কাউণ্টাৰ ডেৰাইভেটিভ,ಕೌಂಟರ್ ಉತ್ಪನ್ನ
সমমিতি ফলন,ಸಮಮಾಪನ ಕಾರ್ಯ
"আবৃত, প্ৰযোজ্য, প্ৰযোজ্য","ಆವರಿಸಬಹುದಾದ, ಅನ್ವಯಿಸುವ, ಅನ್ವಯಿಸುವ"
"আবেদন আবেদন,",ಅರ್ಜಿ ಅರ್ಜಿ
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
প্ৰয়োগ কৰা জ্যামিতি,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
প্ৰয়োগ কৰা গণিত,ಅನ್ವಯಿಕ ಗಣಿತ
