Punjabi,Odiya
ਅਬੇਲੀ ਸਮੂਹ,ଆବେଲି ଗୋଷ୍ଠୀ |
ਅਬੇਲੀ ਸਮੂਹ,ଆବେଲି ଗୋଷ୍ଠୀ |
ਹੱਥ,ହାତ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
ਪੂਰਨ ਗਲਤੀ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
ਪਰਮ ਸਰਵਉੱਚ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
ਸਭ ਤੋਂ ਘੱਟ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
ਸਹੀ ਮੁੱਲ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ਪੂਰਨ ਗਤੀ,ସଂପୂର୍ଣ୍ଣ ବେଗ
ਸਾਰ ਅਲਜਬਰਾ,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ਪ੍ਰਵੇਗ,ତ୍ୱରଣ
ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ,ଗ୍ରହଣୀୟ ପରିସର
ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ,ଗ୍ରହଣ ନମୁନା
ਸੰਚਿਤ ਗਲਤੀ,ସଂଗୃହିତ ତ୍ରୁଟି |
ਸ਼ੁੱਧਤਾ,ସଠିକତା
ਲਾਗੂ ਫੋਰਸ,ପ୍ରୟୋଗ ଶକ୍ତି
"ਕਾਰਵਾਈ, ਕੰਮ","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
ਬੀਮਾ ਵਿਗਿਆਨ,ବୀମା ବିଜ୍ଞାନ |
ਤੀਬਰ ਤਿਕੋਣ,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
acyclic,acyclic
ਸੰਪੇਕਸ਼ਤ,ସଂକ୍ଷେପରେ
ਜੋੜਨ ਵਾਲਾ,ଆଡର୍
"ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ,ଯୋଗର ସୂତ୍ର
ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,ମାଟ୍ରିକ୍ସର ରାଶି
ਬਹੁਪਦ ਦਾ ਜੋੜ,ବହୁଜନର ସମଷ୍ଟି |
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ,ଭେକ୍ଟରର ରାଶି
"ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
additive ਗਰੁੱਪ,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive ਉਲਟ,ଯୋଗୀ ଓଲଟା |
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,ଯୋଗନୀୟତା |
ਜੋੜਨ ਦੀ ਯੋਗਤਾ,ଯୋଗନୀୟତା |
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
ਨੇੜੇ ਦੇ ਕੋਣ,ସଂଲଗ୍ନ କୋଣ
ਨੇੜੇ ਦਾ ਸਿਰਾ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
ਜੋੜਨ ਲਈ,ସହଯୋଗ କରିବାକୁ
"ਨੱਥੀ ਨੱਥੀ,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
ਆਮ ਨਿਰਣਾਇਕ,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
ਜੁੜੇ ਸਮੀਕਰਨ,ସଂଲଗ୍ନ ସମୀକରଣ
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ,ଗ୍ରହଣୀୟ ଅନୁମାନ
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
ਐਰੋਡਾਇਨਾਮਿਕਸ,ଏରୋଡାଇନାମିକ୍ସ |
