Assamese,Tamil
"১.এবাকাছ, ২. গণনা কৰি আছে","1.அபாகஸ், 2. எண்ணும்"
অস্বাভাৱিক অন্ত,அசாதாரண முடிவு
ইন্টাৰচেপ্ট,இடைமறிக்கவும்
"১.নিৰপেক্ষ, ২. পৰম","1. முழுமையான, 2. உச்சம்"
নিৰপেক্ষ ঠিকনা,முழுமையான முகவரி
নিৰপেক্ষ ঠিকনাযোগ্যতা,முழுமையான முகவரித்திறன்
নিৰপেক্ষ এছেম্বলাৰ,முழுமையான அசெம்பிளர்
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. முழுமையான குறியீடு, 2. முழுமையான குறியீடு"
নিৰপেক্ষ আদেশ,முழுமையான கட்டளை
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. முழுமையான புள்ளிவிவரங்கள், 2. முழுமையான தரவு"
নিৰপেক্ষ নিৰ্দেশনা,முழுமையான அறிவுறுத்தல்
নিৰপেক্ষ ধৰণ,முழுமையான பயன்முறை
নিৰপেক্ষ পথ,முழுமையான பாதை
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. முழுமையான நிரலாக்கம், 2. முழுமையான நிரலாக்கம்"
বিমূৰ্ত শ্ৰেণী,சுருக்க வர்க்கம்
বিমূৰ্ত তথ্যৰ ধৰণ,சுருக்க தரவு வகை
বিমূৰ্ত মেচিন,சுருக்க இயந்திரம்
বিমূৰ্ত চিহ্ন,சுருக்க சின்னம்
বিমূৰ্ত বাক্যবিন্যাস,சுருக்க தொடரியல்
গ্ৰহণযোগ্যতা পৰীক্ষা,ஏற்பு சோதனை
প্ৰৱেশ প্ৰমাণীকৰণ,அணுகல் சான்றிதழ்
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. அணுகல் குறியீடு, 2. அணுகல் குறியீடு"
প্ৰৱেশ নিয়ন্ত্ৰণ,நுழைவு கட்டுப்பாடு
অভিগম স্কেনিং,அணுகல் ஸ்கேனிங்
আনুষংগিক বস্তু,பாகங்கள்
হিচাপ-নিকাচ,கணக்கியல்
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. கணக்கு ஐடி, 2. கணக்கியல் அடையாளம்"
এক্যুলেটৰ,திரட்டி
"১/ সঠিকতা, ২. শুদ্ধতা","1. துல்லியம், 2. துல்லியம்"
প্ৰৱেশাধিকাৰ,அணுகல்
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,அணுகல் கட்டுப்பாட்டு பைட்டுகள்
প্ৰৱেশ সূচক,அணுகல் காட்டி
অভিগম কি&#39;,அணுகல் விசை
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. அணுகல் அணி, 2. அணுகல் அணி"
অভিগম ধৰণ,அணுகல் முறை
অভিগম বিশেষাধিকাৰসমূহ,அணுகல் சலுகைகள்
অভিগম সুৰক্ষা,அணுகல் பாதுகாப்பு
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. அணுகல் சேவையகம், 2. அணுகல் சர்வர்"
প্ৰৱেশ সময়,அணுகல் நேரம்
স্বীকৃতি,ஒப்புகை
শব্দবিজ্ঞান,ஒலியியல்
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. சுருக்கம், 2. சுருக்கம், 3. இருந்து குறுகிய"
কাৰ্য্য বাৰ্তা,செயல் செய்தி
সক্ৰিয়কৰণ,செயல்படுத்துதல்
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,செயலில் உள்ள சர்வர் பக்கம்
সক্ৰিয় সংস্কৰণ,செயலில் உள்ள பதிப்பு
অচক্ৰীয়,அசைக்ளிக்
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. அசைக்ளிக் வரைபடம், 2. அசைக்ளிக் வரைபடம்"
আদা কম্পিউটাৰ ভাষা,அட கணினி மொழி
