Kannada,Hindi
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.एबेकस, 2. गिनतारा"
ಅಸಹಜ ಅಂತ್ಯ,असामान्य समापन
ತಡೆಹಿಡಿಯಿರಿ,अवरोधन
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. निरपेक्ष, 2. परम"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पता
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,निरपेक्ष पताभिगमन
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,निरपेक्ष कोडांतरक
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,निरपेक्ष समादेश
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,निरपेक्ष अनुदेश
ಸಂಪೂರ್ಣ ಮೋಡ್,निरपेक्ष विधा
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,निरपेक्ष पथ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
ಅಮೂರ್ತ ವರ್ಗ,अमूर्त वर्ग
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,अमूर्त आंकड़ा प्रकार
ಅಮೂರ್ತ ಯಂತ್ರ,अमूर्त मशीन
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त प्रतीक
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,अमूर्त वाक्य विन्यास
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृति परीक्षण
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,अभिगम प्रमाणन
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. अभिगम कूट, 2. अभिगम कोड"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,अभिगम नियंत्रण
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,अभिगम क्रमवीक्षण
ಬಿಡಿಭಾಗಗಳು,सहयंत्र
ಲೆಕ್ಕಪತ್ರ,लेखा
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. एकाउंट आई डी, 2. लेखा पहचान"
ಸಂಚಯಕ,संचायक
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. विशुद्धता, 2. यर्थाथता"
ಪ್ರವೇಶ,अभिगम
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,अभिगम नियंत्रण बाइट
ಪ್ರವೇಶ ಸೂಚಕ,अभिगम सूचक
ಪ್ರವೇಶ ಕೀ,अभिगम कुंजी
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
ಪ್ರವೇಶ ಮೋಡ್,अभिगम विधा
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,अभिगम विशेषाधिकार
ಪ್ರವೇಶ ಭದ್ರತೆ,अभिगम सुरक्षा
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
ಪ್ರವೇಶ ಸಮಯ,अभिगम काल
ಸ್ವೀಕೃತಿ,अभिस्वीकृति
ಅಕೌಸ್ಟಿಕ್ಸ್,ध्वनिकी
