Marathi,Malayalam
abeli गट,അബെലി ഗ്രൂപ്പ്
अबेली गट,അബെലി ഗ്രൂപ്പ്
हात,കൈ
"निरपेक्ष, निरपेक्ष, स्थिर, अचूक","കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ"
परिपूर्ण अभिसरण,കേവലമായ ഒത്തുചേരൽ
परिपूर्ण त्रुटी,സമ്പൂർണ്ണ പിശക്
सर्वोच्च सर्वोच्च,പരമോന്നത പരമോന്നത
परिपूर्ण सर्वात कमी,ഏറ്റവും താഴ്ന്നത്
परिपूर्ण मूल्य,യഥാർത്ഥ മൂല്യം
परिपूर्ण वेग,കേവല വേഗത
अमूर्त बीजगणित,അമൂർത്ത ബീജഗണിതം
अमूर्त गट सिद्धांत,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
प्रवेग,ത്വരണം
गुरुत्वाकर्षण प्रवेग,ഗുരുത്വാകർഷണ ത്വരണം
स्वीकार्य निवडकर्ता,സ്വീകാര്യമായ സെലക്ടർ
स्वीकार्य गुणवत्ता पातळी,സ്വീകാര്യമായ നിലവാരം
स्वीकार्य परिसर,സ്വീകാര്യമായ പരിസരം
वैध विश्वसनीयता पातळी,സാധുവായ വിശ്വാസ്യത നില
स्वीकृती नमुना,സ്വീകാര്യത സാമ്പിൾ
संचित त्रुटी,സഞ്ചിത പിശക്
अचूकता,കൃത്യത
शक्ती लागू,പ്രയോഗിച്ച ബലം
"कृती, कृती","പ്രവൃത്തി, പ്രവൃത്തി"
क्रिया आणि प्रतिक्रिया,പ്രവർത്തനവും പ്രതികരണവും
विमा विज्ञान,ഇൻഷുറൻസ് ശാസ്ത്രം
तीव्र त्रिकोण,നിശിത ത്രികോണം
अॅसायक्लिक,അസൈക്ലിക്
बेरीज करणे,സംഗ്രഹിക്കാനായി
जोडणारा,ചേർക്കുന്നയാൾ
"बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, സംഗ്രഹം (സി.), സങ്കലനം (വി.)"
योगाचे सूत्र,യോഗയുടെ ഫോർമുല
जटिल संख्यांची बेरीज,സങ്കീർണ്ണ സംഖ്യകളുടെ ആകെത്തുക
कार्यांची बेरीज,പ്രവർത്തനങ്ങളുടെ ആകെത്തുക
मॅट्रिक्सची बेरीज,മെട്രിക്സുകളുടെ ആകെത്തുക
बहुपदांची बेरीज,ബഹുപദങ്ങളുടെ ആകെത്തുക
संभाव्यतेची बेरीज,സാധ്യതകളുടെ ആകെത്തുക
वेक्टरची बेरीज,വെക്റ്ററുകളുടെ ആകെത്തുക
"बेरीज प्रमेय, बेरी सिद्धांत,","സം സിദ്ധാന്തം, സരസഫല സിദ്ധാന്തം"
मिश्रित गट,സങ്കലന ഗ്രൂപ്പ്
additive inverse,വിപരീത വിപരീതം
जोडणी,കൂട്ടിച്ചേർക്കൽ
जोडणी,കൂട്ടിച്ചേർക്കൽ
संलग्नता मॅट्रिक्स,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
"समीप, समीप, समीप","തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള, തൊട്ടടുത്തുള്ള"
समीप कोन,അടുത്തുള്ള കോൺ
समीप शिरोबिंदू,തൊട്ടടുത്തുള്ള ശീർഷകം
संबद्ध करणे,സഹകരിക്കാൻ
"संलग्न संलग्न,",ഘടിപ്പിച്ച വലയം
सामान्य निर्धारक,പൊതുവായ ഡിറ്റർമിനന്റ്
संलग्न विभेदक समीकरण,ഡിഫറൻഷ്യൽ സമവാക്യം ചേർത്തു
संलग्न समीकरण,ഘടിപ്പിച്ച സമവാക്യം
एकसंध मॅट्रिक्स,ഏകീകൃത മാട്രിക്സ്
मॅट्रिक्स सहप्रसरण,മാട്രിക്സ് കോവേരിയൻസ്
एकसंध मॅट्रिक्स,ഏകീകൃത മാട്രിക്സ്
स्वीकार्य निर्णय कार्य,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
स्वीकार्य गृहीतक,സ്വീകാര്യമായ സിദ്ധാന്തം
वायुगतिकीय शक्ती,എയറോഡൈനാമിക് ശക്തി
वायुगतिकी,എയറോഡൈനാമിക്സ്
एकसंध भूमिती,ഏകതാനമായ ജ്യാമിതി
एकसंध मॅपिंग,ഏകതാനമായ മാപ്പിംഗ്
एकसंध परिवर्तन,ഏകതാനമായ പരിവർത്തനം
एकूण चल,മൊത്തം വേരിയബിൾ
"बीजगणित, बीजगणित, बीजगणित, बीजगणित","ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം, ബീജഗണിതം"
"बियाणे बंद, बीजारोपण","സീഡി അടഞ്ഞ, വിത്ത്"
बीजगणितीय समीकरण,ബീജഗണിത സമവാക്യം
