Bengali,Punjabi
"1.অ্যাবাকাস, 2. গণনা","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
অস্বাভাবিক সমাপ্তি,ਅਸਧਾਰਨ ਅੰਤ
পথিমধ্যে রোধ করা,ਰੁਕਾਵਟ
"1. পরম, 2. সর্বোচ্চ","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
পরম ঠিকানা,ਪੂਰਾ ਪਤਾ
পরম ঠিকানাযোগ্যতা,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
পরম সংযোজনকারী,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. পরম কোড, 2. পরম কোড","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
পরম আদেশ,ਪੂਰਨ ਹੁਕਮ
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
পরম নির্দেশ,ਪੂਰਨ ਹਦਾਇਤ
পরম মোড,ਪੂਰਨ ਮੋਡ
পরম পথ,ਪੂਰਨ ਮਾਰਗ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
বিমূর্ত ক্লাস,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
বিমূর্ত তথ্য প্রকার,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
বিমূর্ত মেশিন,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
বিমূর্ত প্রতীক,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
বিমূর্ত বাক্য গঠন,ਸੰਖੇਪ ਸੰਟੈਕਸ
স্বীকৃতি পরীক্ষা,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
অ্যাক্সেস সার্টিফিকেশন,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
প্রবেশাধিকার নিয়ন্ত্রণ,ਪਹੁੰਚ ਕੰਟਰੋਲ
অ্যাক্সেস স্ক্যানিং,ਐਕਸੈਸ ਸਕੈਨਿੰਗ
আনুষাঙ্গিক,ਸਹਾਇਕ ਉਪਕਰਣ
অ্যাকাউন্টিং,ਲੇਖਾਕਾਰੀ
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ"
সঞ্চয়কারী,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
"1. নির্ভুলতা, 2. সঠিকতা","1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ"
অ্যাক্সেস,ਪਹੁੰਚ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ
অ্যাক্সেস সূচক,ਪਹੁੰਚ ਸੂਚਕ
অ্যাক্সেস কী,ਪਹੁੰਚ ਕੁੰਜੀ
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ"
অ্যাক্সেস মোড,ਪਹੁੰਚ ਮੋਡ
সুযোগ সুবিধা,ਪਹੁੰਚ ਅਧਿਕਾਰ
অ্যাক্সেস নিরাপত্তা,ਪਹੁੰਚ ਸੁਰੱਖਿਆ
"1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার","1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ"
প্রবেশাধিকার সময়,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
স্বীকৃতি,ਮਾਨਤਾ
ধ্বনিবিদ্যা,ਧੁਨੀ ਵਿਗਿਆਨ
"1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত","1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ"
কর্ম বার্তা,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
সক্রিয়করণ,ਸਰਗਰਮੀ
সক্রিয় সার্ভার পৃষ্ঠা,ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ
সক্রিয় সংস্করণ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
অ্যাসাইক্লিক,acyclic
"1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ","1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼"
অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ,ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ
"1. অপ্টিমাইজার, 2. অপ্টিমাইজার","1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ"
যোগ করা),ਜੋੜ)
সমষ্টি ফাইল,sum ਫਾਈਲ
