Bengali,Tamil
অস্বাভাবিক,அசாதாரணமானது
গর্ভপাত,கருக்கலைப்பு
ঘর্ষণ,சிராய்ப்பு
আকস্মিক,திடீரென்று
পরম ক্ষেত্র শক্তি,முழுமையான புல வலிமை
পরম তাপমাত্রা,முழுமையான வெப்பநிலை
পরম মান,துல்லியமான மதிப்பு
শোষণ,உறிஞ்சும்
শোষণ গুণাঙ্ক,உறிஞ்சுதல் சக செயல்திறன்
শোষণ ক্ষতি,உறிஞ்சுதல் இழப்பு
বিমূর্ত,சுருக்கம்
অ্যাক্সিলোমিটার,முடுக்கமானி
স্বীকৃতি পরীক্ষা,ஏற்பு சோதனை
অ্যাক্সেস,அணுகல்
প্রবেশাধিকার নিয়ন্ত্রণ,நுழைவு கட்டுப்பாடு
এক্সেস পয়েন্ট,அணுகல் புள்ளி
প্রবেশাধিকার সময়,அணுகல் நேரம்
অ্যাক্সেসযোগ্যতা,அணுகல்
একুমুলেটর সেল,குவிப்பான் செல்
সঠিকতা,துல்லியம்
নির্ভুল,துல்லியமானது
অ্যাক্রোমেটিক লেন্স,முடிச்சு லென்ஸ்
অ্যাসিড,அமிலம்
অ্যাসিড প্রুফ,அமில ஆதாரம்
অম্লতা,அமிலத்தன்மை
স্বীকৃতি বিট,ஒப்புதல் பிட்
অ্যাকোস্টিক,ஒலி
অ্যাকোস্টিক যোগাযোগ,ஒலி தொடர்பு
অ্যাকোস্টিক প্রসারণ,ஒலி பரவல்
অ্যাকোস্টিক ইকুয়ালাইজার,ஒலி சமநிலைப்படுத்தி
অ্যাকোস্টিক প্রতিক্রিয়া,ஒலி கருத்து
অ্যাকোস্টিক ফিল্টার,ஒலி வடிகட்டி
শব্দের সংরোধ,ஒலி மின்மறுப்பு
অ্যাকোস্টিক মাস্কিং,ஒலி முகமூடி
অ্যাকোস্টিক শক্তি,ஒலி சக்தி
অ্যাকোস্টিক সম্পত্তি,சட்டவிரோத சொத்து
অ্যাকোস্টিক রিঅ্যাক্ট্যান্স,ஒலி எதிர்வினை
অ্যাকোস্টিক রিফ্লেক্স,ஒலி ரிஃப்ளெக்ஸ்
অ্যাকোস্টিক টাইল,ஒலி ஓடு
অ্যাকোস্টিক তরঙ্গ,ஒலி அலை
শাব্দিক শোষণ,ஒலியியல் உறிஞ்சுதல்
শাব্দিক মনোযোগ ধ্রুবক,ஒலியியல் விழிப்புணர்வு மாறிலி
শাব্দিক স্যাঁতসেঁতে,ஒலியியல் ஈரமாக்குதல்
শাব্দিক বিলম্ব লাইন,ஒலியியல் தாமத வரி
শাব্দিক বিকৃতি,ஒலியியல் விலகல்
শাব্দিক নালী,ஒலியியல் குழாய்
শাব্দিক শক্তি,ஒலியியல் ஆற்றல்
শাব্দিক প্রতিক্রিয়া,ஒலியியல் கருத்து
শাব্দিক ফিল্টার,ஒலியியல் வடிகட்டி
শাব্দিক প্রতিবন্ধকতা,ஒலியியல் மின்மறுப்பு
শাব্দিক প্রচার ধ্রুবক,ஒலியியல் பரப்புதல் மாறிலி
শাব্দিক প্রতিরোধের,ஒலியியல் எதிர்ப்பு
শাব্দিকভাবে অন্তরক,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
অ্যাকোস্টিকস,ஒலியியல்
অধিগ্রহণ,கையகப்படுத்தல்
সংক্ষিপ্ত বিবরণ,சுருக்கம்
অ্যাকশন এরিয়া,செயல் பகுதி
সক্রিয় ফিলামেন্ট,செயல்படுத்தப்பட்ட இழை
সক্রিয়,செயலில்
সক্রিয় এলাকা,செயலில் உள்ள பகுதி
সক্রিয় উইন্ডো,செயலில் சாளரம்
অভিযোজনযোগ্যতা,தகவமைப்பு
অ্যাডাপ্টার (অ্যাডাপ্টার),அடாப்டர் (அடாப்டர்)
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
ঠিকানা বই,முகவரி புத்தகம்
ঠিকানা বাস,முகவரி பஸ்
ঠিকানা রেজোলিউশন,முகவரி தீர்மானம்
সংলগ্ন চ্যানেল হস্তক্ষেপ,அருகிலுள்ள சேனல் குறுக்கீடு
সংলগ্ন চ্যানেল নির্বাচন,அருகிலுள்ள சேனல் தேர்வு
সংলগ্ন ফ্রিকোয়েন্সি,அருகிலுள்ள அதிர்வெண்
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,அருகிலுள்ள அதிர்வெண் சேனல்
সংলগ্ন ছবি ক্যারিয়ার,அருகிலுள்ள படம் கேரியர்
সংলগ্ন সাউন্ড ক্যারিয়ার,அருகிலுள்ள ஒலி கேரியர்
সংলগ্ন স্টেশন,அருகிலுள்ள நிலையம்
সামঞ্জস্যযোগ্য,சரிசெய்யக்கூடியது
সামঞ্জস্যযোগ্য কনডেন্সার,சரிசெய்யக்கூடிய மின்தேக்கி
সামঞ্জস্য চাপ,அழுத்தம் சரிசெய்தல்
সামঞ্জস্য করা রেঞ্চ,குறடு சரிசெய்தல்
সামঞ্জস্য,சரிசெய்தல்
প্রশাসক,நிர்வாகி
উন্নত প্রযুক্তি,மேம்பட்ட தொழில்நுட்பம்
এরিয়াল,வான்வழி
এরিয়াল অ্যারে,வான்வழி வரிசை
এরিয়াল বুস্টার,வான்வழி பூஸ்டர்
এরিয়াল কারেন্ট,வான்வழி மின்னோட்டம்
এরিয়াল আর্থিং সুইচ,வான்வழி பூமி சுவிட்ச்
বায়বীয় দক্ষতা,வான்வழி செயல்திறன்
বায়বীয় প্রতিবন্ধকতা,வான்வழி மின்மறுப்பு
এরিয়াল ইন্ডাক্ট্যান্স,வான்வழி தூண்டல்
এরিয়াল ইনসুলেটর,வான்வழி இன்சுலேட்டர்
এরিয়াল লোডিং কয়েল,வான்வழி ஏற்றுதல் சுருள்
আকাশ থেকে ছবি তোলা,வான்வழி புகைப்படம்
বায়বীয় শক্তি,வான்வழி சக்தி
বায়বীয় বিকিরণ পুনর্নির্মাণ,வான்வழி கதிர்வீச்சு
বায়বীয় বিক্রিয়া,வான்வழி எதிர்வினை
এয়ারোডাইনামিক্স,ஏரோடைனமிக்ஸ்
এজেন্সি,ஏஜென்சி
বায়ু সংকোচকারী,காற்று அழுத்தி
এয়ার কনডেন্সার,ஏர் மின்தேக்கி
ঠান্ডা বাতাস,குளிா்ந்த காற்று
বায়ু কর্ড কয়েল,காற்று கோர்ட் சுருள்
এয়ারকন্ডিশনিং,ஏர் கண்டிஷனிங்
আলবেডো,ஆல்பெடோ
অ্যালগরিদম,வழிமுறை
এলিয়াসিং,மாற்றுப்பெயர்ச்சி
সারিবদ্ধ,சீரமைத்தல்
প্রান্তিককরণ,சீரமைப்பு
সমস্ত তরঙ্গ বিমান,அனைத்து அலை வான்வழி
বরাদ্দ,ஒதுக்கீடு
বর্ণমালা,அகரவரிசை
বর্ণমালা,எண்ணெழுத்து
আলফানিউমেরিক চরিত্র,எண்ணெழுத்து எழுத்து
আলফানিউমেরিক তথ্য,எண்ணெழுத்து தகவல்
বিকল্প বর্তমান (এ.সি.),மாற்று மின்னோட்டம் (ஏ.சி.)
বিকল্প,மாற்று
বিকল্প,மின்மாற்றி
উচ্চতা,உயரம்
অপোজির উচ্চতা,அப்போஜியின் உயரம்
পেরিগির উচ্চতা,பெரிஜியின் உயரம்
অপেশাদার রেডিও যোগাযোগ,அமெச்சூர் வானொலி தொடர்பு
পরিবেশ,சூழ்நிலை
পরিবেশ মাইক্রোফোন,சுற்றுப்புற மைக்ரோஃபோன்
পরিবেষ্টিত অবস্থা,சுற்றுப்புற நிலை
পরিবেষ্টনকারী আলো,சுற்றுப்புற விளக்குகள்
পরিবেষ্টিত শব্দ,சுற்றுப்புற சத்தம்
পরিবেষ্টিত তাপমাত্রা,சுற்றுப்புற வெப்பநிலை
আমেরিকান স্ট্যান্ডার্ড কোড,அமெரிக்கன் ஸ்டாண்டர்ட் கோட்
অ্যাম্পিয়ার,ஆம்பியர்
অ্যাম্পের মিটার,ஆம்பியர் மீட்டர்
পরিবর্ধন,பெருக்கம்
প্রশস্তকরণ ফ্যাক্টর,பெருக்க காரணி
পরিবর্ধক,பெருக்கி
পরিবর্ধক লাভ,பெருக்கி ஆதாயம்
পরিবর্ধক শব্দ,பெருக்கி சத்தம்
পরিবর্ধক সরঞ্জাম,உபகரணங்கள் பெருக்குதல்
ক্লাইস্ট্রনকে প্রশস্তকরণ,கிளிஸ்ட்ரான் பெருக்குதல்
পরিবর্ধক ইউনিট,பெருக்குதல் அலகு
প্রশস্ততা,வீச்சு
প্রশস্ততা বিকৃতি,வீச்சு விலகல்
প্রশস্ততা ভ্রমণ,வீச்சு உல்லாசப் பயணம்
প্রশস্ততা ফ্যাক্টর,வீச்சு காரணி
প্রশস্ততা সীমাবদ্ধ,அலைவீச்சு வரம்பு
প্রশস্ততা মোডুলেটেড,வீச்சு பண்பேற்றப்பட்டது
প্রশস্ততা মড্যুলেশন,வீச்சு பண்பேற்றம்
অ্যানালগ (অ্যানালগ),ஒப்புமை (அனலாக்)
অ্যানালগ সার্কিট,அனலாக் சுற்று
অ্যানালগ কম্পিউটার,அனலாக் கணினி
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,அனலாக் ரேடியோ அதிர்வெண் சேனல்
অ্যানালগ উপস্থাপনা,அனலாக் பிரதிநிதித்துவம்
এনালগ সংকেত,அனலாக் சிக்னல்
ডিজিটাল অ্যানালগ,டிஜிட்டலுக்கு அனலாக்
ডিজিটাল কনভার্টারে অ্যানালগ,டிஜிட்டல் மாற்றிக்கு அனலாக்
অ্যানালগ ভিডিও,அனலாக் வீடியோ
সাদৃশ্য,ஒப்பீட்டு
উপমা,ஒப்புமை
বিশ্লেষণ,பகுப்பாய்வு
ডেটা বিশ্লেষণ,தரவின் பகுப்பாய்வு
বিশ্লেষণাত্মক ঘনত্ব,பகுப்பாய்வு அடர்த்தி
বিশ্লেষণ করুন,பகுப்பாய்வு செய்யுங்கள்
বিশ্লেষক,பகுப்பாய்வி
আনুষঙ্গিক সরঞ্জাম,துணை உபகரணங்கள்
এবং গেট,மற்றும் வாயில்
কলিমেশন কোণ,மோதலின் கோணம்
মেরুকরণের কোণ,துருவமுனைப்பு கோணம்
ঘূর্ণনের কোণ,சுழற்சியின் கோணம்
অ্যাংস্ট্রোম (Å),ஆங்ஸ்ட்ரோம் (Å)
কৌণিক,கோண
কৌণিক ত্বরণ,கோண முடுக்கம்
কৌণিক সমন্বয়,கோண ஒருங்கிணைப்புகள்
