Kannada,Hindi
ಆಸಿಡಾಯ್ಡ್,एसीडायड
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,जलोढ़ मृदा
ಒಟ್ಟು,समुच्चय
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,समुच्चयन
ಕೃಷಿಶಾಸ್ತ್ರ,सस्य मृदा विज्ञान
ಕೃಷಿಶಾಸ್ತ್ರ,सस्य विज्ञान
ಎ-ಹಾರಿಜಾನ್,"A-संस्तर, A-होराइजन"
Ao-ಹಾರಿಜಾನ್,Ao-संस्तर/Ao-होराइजन
Aoo-ಹಾರಿಜಾನ್,Aoo-संस्तर/होराइजन
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,मृदा की वायु धारिता
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,मृदा का वायु अंग
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,वायु पिक्नोमीटर
ಆಲಿಟಿಕ್ ಮಣ್ಣು,एलीटिक मृदा
ಮೆಕ್ಕಲು ಮಣ್ಣು,जलोढ़ मृदा
ಆಂಫೋಲಿಟಾಯ್ಡ್,एम्फोलीटायड
ಅಯಾನ್,ऋणायन
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;",आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व
ಅರ್ರಿಸ್,कोर
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,बारीक वराश्म चिनाई
ಆಶ್ಲರ್ ಕಲ್ಲು,वराश्म चिनाई
ಅಜೋನಲ್ ಮಣ್ಣು,अस्तरीय मृदा/अक्षेत्रीय मृदा
ಹಿಂದೆ ನಟ,कर्ष खनित्र
ಹಿಂದಿನ ಕಮಾನು,पश्च डाट
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,पश्च पट्ट
ಬ್ಯಾಕ್ ಬ್ರಷ್,उपटा प्रलेप
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,पश्च रोधक
ಹಿಂದಿನ ಕೌಂಟರ್,पश्च पटल
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,पश्च कर्तन
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,उपटा झोंका अवमंदक
ಬ್ಯಾಕ್ ಡ್ರೈನ್,पश्च नली
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,पश्च पट
ಹಿಂದೆ ಭರ್ತಿ,पृष्ठ भरण
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,पश्च पट्टिका
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,पृष्ठ पल्ला कब्जा
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,प्रतीप प्रवाह संयोजन
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,प्रतीप प्रवाह निरोधक
