Hindi,English
" उपशमन ,कमी",Abatement
संक्षिप्‍ति,Abbreviation
अपहरण,Abduction
प्रास्थगन,Abeyance
योग्यता,Ability
"आदित:,आरंभ से",Ab initio
योग्य,Able
अपसामान्य,Abnormal
" उन्मूलन , समाप्‍ति",Abolition
पद समाप्‍ति,Abolitionof post
"ऊपर उल्लिखित, उपर्युक्‍त",Above mentioned
ऊपर उद्‍धृत,Above quoted
उपर्युक्‍त,Above said
" अनुपस्थिति, गैरहाजि़री , अभाव",Absence
"अनुपस्थित, ग़ैरहाजि़र",Absentee
" अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता",Absenteeism
अनुपस्थिति-विवरण,Absentee statement
" पूर्ण , निरपेक्ष",Absolute
पूर्ण एकाधिकार,Absolute monopoly
पूर्ण स्वामित्व,Absolute ownership
" आमेलन , अवशोषण",Absorption
सार,Abstract
सार-विवरण,Abstractstatement
"अर्थहीन, बेतुका",Absurd
प्रचुरता,Abundance
शक्‍ति का दुरुपयोग,Abuse of power
गाली-गलौज,Abusive language
"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय",Academic
शास्त्रीय चर्चा,Academic discussion
अकादमिक छुट्टी,Academic leave
शैक्षिणिक अर्हता,Academic qualification
"शैक्षिक रिकार्ड,शैक्षिक अभिलेख",Academic record
"मान लेना, अधिमिलन होना",Accede
"स्वीकार करना,मानना",Accept
" स्वीकृति , प्रतिग्रहण ",Acceptance
पद-स्वीकृति,Acceptance of office
निविदा की स्वीकृति,Acceptance of tender
पहुंच,Access
"राज्यारोहण , पदारोहण , परिग्रहण",Accession
" अनुषंगी, उपसाधन",Accessory
" दुर्घटना, संयोग",Accident
पर्यनुकूलन,Acclimatization
" आवास, निर्वाह , समंजन",Accommodation
संगकार,Accompanist
" समझौता, प्रदान करना, देना",Accord
"अनुरूपता, संगति",Accordance
तदनुसार,Accordingly
" लेखा,खाता ,हिसाब",Account
जवाबदेही,Accountability
" जवाबदेह, देनदार",Accountable
" लेखा विधि , लेखा कार्य",Accountancy
लेखाकार,Accountant
" कारण बताना , लेखा-जोखा देना",Account for
लेखा-शीर्ष,Account head
प्रोद्‌भूत हितलाभ,Accrued benefit
प्रोद्‌भूत पेन्शन,Accrued pension
"संचय,संचयन",Accumulation
" यथार्थता , परिशुद्‌धता",Accuracy
" यथार्थ, सही , परिशुद्‌ध",Accurate
अभियोग लगाना,Accuse
अभियुक्‍त,Accused
उपलब्‍धि,Achievement
" पावती,प्राप्‍ति सूचना ,अभिस्वीकृति ",Acknowledgement
"पावती पत्र, रसीदी",Acknowledgement due
" (व्यक्‍ति) परिचित , परिचय",Acquaintance
"अधिग्रहण, अर्जन",Acquisition
"भुगतान , भरपाई,निस्तारण ",Acquittance
"कार्य, कृत्य,अधिनियम",Act
कार्यकारी भत्‍ता,Acting allowance
"कार्रवाई,क्रिया, कार्य , संघर्ष",Action
कार्य योजना,Action plan
सक्रिय,Active
"सक्रियता से, सक्रियतापूर्वक",Actively
" कर्मठ कार्यकता , सक्रियतावादी",Activist
दैव कृत्य,Act of God
कदाचार,Act of misconduct
भूल-चूक,Act of commission and omission
वास्तविक,Actual
वास्तविक आंकडे,Actuals
" अनुकूलन, रूपांतर",Adaptation
" योग, जोड़, परिवर्धन",Addition
अतिरिक्‍त प्रभार,Additional charge
अतिरिक्‍त निधि,Additional fund
अतिरिक्‍त अनुदान,Additional grant
"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी",Additional information
अतिरिक्‍त वेतन,Additional pay
परिवर्तन-परिवर्धन,Addition and alteration
" पता, अभिभाषण, संबोधन,संबोधित करना, मानपत्र , विचार करना",Address
"पाने वाला, प्रेषिती",Addressee
अभिनंदन पत्र,Address of welcome
पर्याप्‍त,Adequate
"पर दृढ़ रहना, पर जमे रहना",Adhere to
तदर्थ,Ad hoc
तदर्थ दावा,Ad hoc claim
तदर्थ समिति,Ad hoc committee
तदर्थ वृद्‌धि,Ad hoc increase
तदर्थ भुगतान,Ad hoc payment
‍पार्श्‍वस्थ,Adjacent
"लगा होना, सटा होना",Adjoining (=contiguous)
स्थगन,Adjournment
"स्थगन प्रस्ताव, काम रोको प्रस्ताव",Adjournment motion
न्यायनिर्णीत करना,Adjudge
न्यायनिर्णय करना,Adjudicate
न्यायनिर्णयन,Adjudication
न्यायनिर्णायक,Adjudicator
समायोजन,Adjustment
" प्रशासन करना, देना,दिलाना , व्यवस्था करना",Administer
शपथ दिलाना,Administer oath
प्रशासन,Administration
न्याय-प्रशासन,Administration of justice
प्रशासनिक,Administrative
प्रशासनिक कार्रवाई,Administrative action
प्रशासनिक मूल्यांकन,Administrative appraisal
प्रशासनिक अनुमोदन,Administrative approval
प्रशासनिक प्राधिकारी,Administrative authority
प्रशासनिक नियंत्रण,Administrative control
प्रशासनिक निर्णय,Administrative decision
प्रशासकीय विभाग,Administrative department
प्रशासनिक प्रधान,Administrative head
प्रशासनिक मुख्यालय,Administrative headquarters
प्रशासनिक उपाय,Administrative measures
"प्रशासी शक्‍ति, प्रशासनिक शक्ति",Administrative power
प्रशासनिक मंजूरी,Administrative sanction
"प्रशासन तकनीक, प्रशासनिक प्रविधि",Administrative technique
प्रशासनिक अधिकरण,Administrative tribunal
ग्राह्‌यता: स्वीकार्यता,Admissibility
ग्राह्‌य व्यय,Admissible expenditure
" प्रवेश करने देना, अंदर आने देना , स्वीकार करना, प्रविष्‍ट करना, दाखिल करना, दाखिला देना",Admit
"प्रवेश पत्र, प्रवेश पत्रक",Admit card
" प्रविष्‍ट दाखिल ,स्वीकृत",Admitted
भर्त्‍सना करना,Admonish
दत्‍तक,Adoptee
दत्‍तकगृहीता,Adoptor
" अंगीकरण , दत्‍तक-ग्रहण",Adoption
"प्रौढ, वयस्क",Adult
"अपमिश्रण, मिलावट",Adulteration
जारकर्म,Adultery
वयस्क मताधिकार,Adult franchise
यथामूल्य शुल्क,Ad valorem duty
"अग्रिम, पेशगी",Advance
अग्रिम बुकिंग,Advance booking
अग्रिम प्रति,Advance copy
अग्रिम  वृद्‌धि,Advance increment
"अग्रिम अदायगी, अग्रिम भुगतान",Advance payment
"प्रतिकूल इंदराज, प्रतिकूल प्रविष्‍टि",Adverse entry
प्रतिकूल अभ्युक्‍ति,Adverse remarks
प्रतिकूल रिपोर्ट,Adverse report
विज्ञापन,Advertisement
" सलाह , सूचना, संज्ञापन",Advice
"भुगतान सूचना, भुगतान-संज्ञापन",Advice of payment
सलाहकार समिति,Advisory committee
सलाहकार परिषद्,Advisory council
" अधिवक्‍ता, एडवोकेट , पक्ष-समर्थक",Advocate
"कार्य, मामले",Affairs
"शपथपत्र, हलफ़नामा",Affidavit
संबंधन,Affiliation
" अभिपुष्‍टि ,प्रतिज्ञान ",Affirmation
सकारात्मक,Affirmative
" समर्थ होना ,  प्रदान करना, दे सकना",Afford
पूर्वोक्‍त,Aforesaid
नए सिरे से,Afresh
" विरुद्‌ध, के प्रति, के सामने, के सम्मुख , की तुलना में",Against
" आयु,उम्र , युग",Age
आयु प्रमाणपत्र,Age certificate
मताधिकार आयु,Age for suffrage
आयु सीमा,Age limit
"अभिकरण, एजेंसी",Agency
कार्यसूची,Agenda
सेवानिवृत्‍ति आयु,Age of retirement
अधिवर्षिता आयु,Age of superannuation
"समुच्चय, समूह",Aggregation
व्यथित,Aggrieved
आंदोलन,Agitation
" वार्षिक महासभा , वार्षिक आमसभा",AGM
" क़रार, अनुबंध ,सहमति, रजामंदी",Agreement
"क़रारनामा, अनुबंध पत्र",Agreement form
कृषि,Agriculture
कृषि-उद्‌योग,Agro-industry
"सहायता, मदद",Aid
" आपद संकेत, खतरे का संकेत, अलार्म",Alarm
सजगता,Alertness
" उपनाम , उर्फ़ (क्रि.वि.)",Alias
अभिकथन,Allegation
निष्ठा,Allegiance
मैत्री,Alliance
सम्बद्‌ध सेवाएं,Allied services
सर्वसमावेशी लागत,All inclusive cost
