Malayalam,Tamil
ആസിഡോയിഡ്,அமிலத்தன்மை
അയോലിയൻ മണ്ണ്,அயோலியன் மண்
ആകെത്തുകയായുള്ള,மதிப்பீட்டு
സമാഹരണം,திரட்டுதல்
അഗ്രോളജി,வேளாண்மை
അഗ്രോണമി,வேளாண்மை
എ-ചക്രവാളം,A- அடிவானம்
Ao-ചക്രവാളം,Ao- அடிவானம்
Aoo-ചക്രവാളം,Aoo- அடிவானம்
മണ്ണിന്റെ വായു ശേഷി,மண்ணின் காற்று திறன்
മണ്ണിന്റെ വായു ഉള്ളടക്കം,மண்ணின் காற்றின் உள்ளடக்கம்
എയർ പിക്നോമീറ്റർ,காற்று பிக்னோமீட்டர்
അല്ലിറ്റിക് മണ്ണ്,அல்லிடிக் மண்
എക്കൽ മണ്ണ്,வண்டல் மண்
ആംഫോളിറ്റോയ്ഡ്,ஆம்போலிடாய்டு
അനിയോൺ,அயன்
"പ്രത്യക്ഷമായ നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണ വോളിയം ഭാരം അല്ലെങ്കിൽ ബൾക്ക് നിർദ്ദിഷ്ട ഗുരുത്വാകർഷണം,&quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
ആരിസ്,அரிஸ்
അഷ്ലാർ നല്ല കൊത്തുപണി,Ashlar நன்றாக கொத்து
ആഷ്ലാർ കൊത്തുപണി,ஆஷ்லர் கொத்து
അസോണൽ മണ്ണ്,அசோனல் மண்
പിന്നണി നടൻ,பின் நடிகர்
പിന്നിലെ കമാനം,பின் வளைவு
ബാക്ക് ബാൻഡ്,பின் இசைக்குழு
ബാക്ക് ബ്രഷ്,பின் தூரிகை
തിരികെ പരിശോധിക്കുക,மீண்டும் சரிபார்க்கவும்
ബാക്ക് കൗണ്ടർ,பின் கவுண்டர்
ബാക്ക് കട്ടിംഗ്,முதுகு வெட்டுதல்
ബാക്ക് ഡ്രാഫ്റ്റ് ഡാംപർ,பின் வரைவு damper
ബാക്ക് ഡ്രെയിനേജ്,பின் வடிகால்
ബാക്ക് ഡ്രോപ്പ്,பின் துளி
തിരികെ പൂരിപ്പിക്കുക,பின் நிரப்பவும்
ബാക്ക് ഫില്ലറ്റ്,பின் ஃபில்லட்
ബാക്ക് ഫ്ലാപ്പ് ഹിഞ്ച്,பின் மடல் கீல்
ബാക്ക് ഫ്ലോ കണക്ഷൻ,பின் ஓட்ட இணைப்பு
ബാക്ക് ഫ്ലോ പ്രിവന്റർ,பின் ஓட்டம் தடுப்பான்
ബാക്ക് ഗേജ്,பின் அளவுகோல்
പിന്നിലെ ഗട്ടർ,பின்புற சாக்கடை
പിന്നിലെ അടുപ്പ്,பின் அடுப்பு
പിന്തുണ,ஆதரவு
ബാക്കിംഗ് ബോർഡ്,பேக்கிங் போர்டு
പിന്നിലെ മർദ്ദം,பின் அழுத்தம்
ബാക്ക് പ്രോപ്പ്,பின் முட்டு
പിന്നാമ്പുറ കാഴ്ച,பின் பார்வை
പിൻ വെള്ളം,பின் நீர்
തടസ്സപ്പെടുത്തുക,குழப்பம்
ബാഗ് വർക്ക്,பை வேலை
ബാലസ്റ്റ്,பேலாஸ்ட்
പന്ത് കളിമണ്ണ്,பந்து களிமண்
ബോൾ കോൺ ക്ലാമ്പ്,பந்து கூம்பு கவ்வி
മുള്ളുകമ്പി,முள்வேலி
ബാർ നായ,பார் நாய்
ബാർജ് ബോർഡ്,விசைப்படகு பலகை
ബേരിയം സൾഫേറ്റ് പരിശോധന,பேரியம் சல்பேட் சோதனை
തടയണ,சரமாரி
ബാരറ്റ്,பாரெட்
അടിസ്ഥാനം,அடித்தளம்
അടിസ്ഥാന കൈമാറ്റം,அடிப்படை பரிமாற்றம்
അടിസ്ഥാന ലൈൻ,அடிப்படை வரி
നിലവറ,அடித்தளம்
ബേസ്മെൻറ് മതിൽ,அடித்தள சுவர்
അടിസ്ഥാന പ്ലേറ്റ്,அடித்தட்டு
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
അടിസ്ഥാന സാച്ചുറേഷൻ,அடிப்படை செறிவு
ബസോയ്ഡ്,பாசாய்டு
ബാറ്റ്,வௌவால்
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,பாத் மற்றும் WC
ബാറ്റർ കുറ്റി,இடி ஆப்பு
ബാറ്റർ പിയർ,பேட்டர் பையர்
ബാറ്റർ ഭരണം,பேட்டர் விதி
ബോൾക്ക് (ബാക്ക്),பால்க் (பால்க்)
ബേ,விரிகுடா
ചുമക്കുന്നയാൾ,தாங்குபவர்
വഹിക്കാനുള്ള ശേഷി,தாங்கும் திறன்
ബെയറിംഗ് പൈൽ,தாங்கும் பைல்
