Punjabi,Hindi
ਐਂਪੀਅਰ (ਯੂਨਿਟ),ऐम्पियर (मात्रक)
angstrum,ऐंगस्ट्रम
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ए-वर्ग प्रवर्धक
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,ए.एन रेडियो सहाय
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,ए-क्रमवीक्षण प्रस्तुति
a-ਦਰਸ਼,ए-दर्श
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,ए-स्कोप प्रदर्शन
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,ए-टी कर्तित क्रिस्टल
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
am,पूर्वाह्न
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),ए.एम.यू. (परमाणु संहति मात्रक)
ਆਰਡ-ਵਰਕ*,आर्ड-वार्क*
ਐਬ-ਐਂਪੀਅਰ,ऐब-ऐम्पियर
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ए-बी वर्ग प्रवर्धक
adah,आदितः
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,ए-बी शक्ति पिटक
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),ऐबे संख्या (ऐबे नियतांक)
abe refractometer,ऐबे अपवर्तनमापी
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,ऐबे ज्या अवस्था
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,स्वचालित बायस प्रतिकार
