Odiya,Assamese
AC ସମାନ ସର୍କିଟ |,এ চি সমতুল্য বৰ্তনী
ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |,এনালগ টু সংখ্যাগত ৰূপান্তৰক
ସଂପୂର୍ଣ୍ଣ ଶୂନ,নিৰপেক্ষ শূন্য
ଶୋଷଣ ଗୁଣବତ୍ତା,শোষণ সহগ
ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |,শোষণ বৰ্ণালী
ରିସେପ୍ଟର ପରମାଣୁ |,ৰিচেপ্টৰ পৰমাণু
ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ,ইলেক্ট্ৰন সংগ্ৰহ কৰা
ଗର୍ତ୍ତ ସଂରକ୍ଷଣ,ফুটা সংৰক্ষণ
ସକ୍ରିୟ ଶକ୍ତି,সক্ৰিয়কৰণ শক্তি
ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |,সক্ৰিয় পৰিবৰ্ধক
ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
ସକ୍ରିୟ ଫିଲ୍ଟର୍ |,সক্ৰিয় ফিল্টাৰ
ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
ସକ୍ରିୟ ଭାର,সক্ৰিয় লোড
ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
ସକ୍ରିୟ କ୍ଷେତ୍ର |,সক্ৰিয় অঞ্চল
ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |,অভিযোজিত ইলেক্ট্ৰনিক্স
ଆଡର୍,adder
ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |,এডজাষ্টেবল বেণ্ড এক্সটেনচন
ଅନୁପ୍ରବେଶ,ভেদ
ଆରିଏଲ,এৰিয়েল
ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |,pep কম্পাঙ্ক
ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି,এয়াৰ কণ্ডিচনাৰ
ଶ୍ରେଣୀବଦ୍ଧତା |,প্ৰান্তিককৰণ
ଆଲଗୋରିଦମ |,এলগৰিদম
ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |,সকলো পাছ ফিল্টাৰ
ମିଶ୍ରିତ ଜଙ୍କସନ |,মিশ্ৰণ সংযোগ
ଆଘାତ,ক্ষীণকৰণ
ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |,বিকল্প বিদ্যুৎ প্ৰবাহ
ପରିବେଶର ତାପମାତ୍ରା |,পৰিৱেশৰ উষ্ণতা
ଦ୍ୱିପାକ୍ଷିକ,বাইপোলাৰ
ବୃଦ୍ଧି,এম্প্লিফিকেশন
ଏମ୍ପ୍ଲିଫାୟର୍,এম্প্লিফায়াৰ
ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
ପରିମାପ,মাত্ৰাসমূহ
ପ୍ରଶସ୍ତତା ଆଘାତ,প্ৰসাৰণ ক্ষীণকৰণ
ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର,প্ৰসাৰণ মডুলেটেড AM দোলক
ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ,প্ৰসাৰণ মডুলেচন
ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର,প্ৰসাৰণ মডুলেটৰ
ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |,angstrom একক
ଆନାଗଲ୍ ସର୍କିଟ୍ |,এনালগ বৰ্তনী
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,এনালগ কম্পিউটাৰ
ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |,এনালগ ফিল্টাৰ
ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |,এনালগ মাল্টিমিটাৰ
ଆନାଗଲ୍ ସୁଇଚ୍ |,এনালগ চুইচ
ଏବଂ ଫାଟକ |,AND গেট
କୋଣ ଅନୁକୋଣ,কৌণিক কম্পাঙ্ক
"ଆୟନ, ଆୟନ","এনিয়ন, এনিয়ন"
ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |,এনিয়েলিং উষ্ণতা
anode,এনোড
ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |,এনোড এম্প্লিফায়াৰ
anodyne,এনোডাইন
ଆଣ୍ଟେନା |,এন্টেনা
ଆଣ୍ଟେନା ଉପାଦାନ |,এন্টেনা উপাদান
ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |,এন্টিলগিন এম্প্লিফায়াৰ
ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |,এন্টিৰেজোনেণ্ট চাৰ্কিট
ଦ୍ୱାରକ ଅବଧି |,দ্বাৰক যুগ
ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |,ভাৰ্চুৱেল শক্তি
ତାର ସଂଯୋଗ,তাঁৰৰ সংযোগ
ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |,আনুমানিক ভোল্টেজ লাভ
ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର,আৰ্মষ্ট্ৰং মডুলেটৰ
ଆଣ୍ଟେନା ଆରେ |,এন্টেনা এৰে
