Kannada,English
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ",abacus
ಅಸಹಜ ಅಂತ್ಯ,abnormal termination
ತಡೆಹಿಡಿಯಿರಿ,abort
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ",absolute
ಸಂಪೂರ್ಣ ವಿಳಾಸ,absolute address
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,absolute addressing
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,absolute assembler
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್",absolute code
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,absolute command
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ",absolute data
ಸಂಪೂರ್ಣ ಸೂಚನೆ,absolute instruction
ಸಂಪೂರ್ಣ ಮೋಡ್,absolute mode
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,absolute path
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್",absolute programming
ಅಮೂರ್ತ ವರ್ಗ,abstract class
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,abstract data type
ಅಮೂರ್ತ ಯಂತ್ರ,abstract machine
ಅಮೂರ್ತ ಚಿಹ್ನೆ,abstract symbol
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,abstract syntax
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,acceptance testing
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,access authentication
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್",access code
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,access control
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,access scan
ಬಿಡಿಭಾಗಗಳು,accessory
ಲೆಕ್ಕಪತ್ರ,account
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ",account ID
ಸಂಚಯಕ,accumulator
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ",accuracy
ಪ್ರವೇಶ,acess
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,acess control byte
ಪ್ರವೇಶ ಸೂಚಕ,acess index
ಪ್ರವೇಶ ಕೀ,acess key
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್",acess matrix
ಪ್ರವೇಶ ಮೋಡ್,acess mode
ಪ್ರವೇಶ ಸವಲತ್ತುಗಳು,acess privilege
ಪ್ರವೇಶ ಭದ್ರತೆ,acess security
"1. ಪ್ರವೇಶ ಸರ್ವರ್, 2. ಪ್ರವೇಶ ಸರ್ವರ್",acess server
ಪ್ರವೇಶ ಸಮಯ,acess time
ಸ್ವೀಕೃತಿ,acknowledgement
ಅಕೌಸ್ಟಿಕ್ಸ್,acoustics
"1. ಸಂಕ್ಷಿಪ್ತ ರೂಪ, 2. ಸಂಕ್ಷೇಪಣ, 3. ನಿಂದ ಚಿಕ್ಕದಾಗಿದೆ",acronym
ಕ್ರಿಯೆಯ ಸಂದೇಶ,action message
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,activation
ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ,active server page (ASP)
ಸಕ್ರಿಯ ಆವೃತ್ತಿ,active version
ಅಸೈಕ್ಲಿಕ್,acyclic
"1. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್, 2. ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್",acyclic graph
ಅದಾ ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ,Ada language
"1. ಆಪ್ಟಿಮೈಜರ್, 2. ಆಪ್ಟಿಮೈಜರ್",adapter
ಒಟ್ಟು),add
ಮೊತ್ತದ ಕಡತ,add file
"1. ಸೇರ್ಪಡೆ ಕಾರ್ಯಾಚರಣೆ, 2. ಮೊತ್ತದ ಕಾರ್ಯಾಚರಣೆ",add operation
ಸೇರಿಸುವವನು,adder
ಗೊತ್ತು,address
ವಿಳಾಸ ಬಸ್,address bus
ವಿಳಾಸ ಫೈಲ್,address file
ವಿಳಾಸ ಸ್ವರೂಪ,address format
ವಿಳಾಸ ಜನರೇಟರ್,address generator
ವಿಳಾಸ ಸಾಲು,address line
ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್,address mapping
ವಿಳಾಸ ಸೂಚಕ,address pointer
ವಿಳಾಸ ರಿಜಿಸ್ಟರ್,address register
ವಿಳಾಸ ಸ್ಥಗಿತ,address resolution
ವಿಳಾಸ ಅನುವಾದ,address translation
"1. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ, 2. ವಿಳಾಸ ಮಾಡಬಹುದಾದ ಸ್ಮರಣೆ",addressed memory
ಉದ್ದೇಶಿಸಿ,addressing
"1. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ, 2. ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡ",adequacy criteria
ಬಾಂಧವ್ಯ,adjoint
"1. ನಿರ್ವಹಣೆ, 2. ನಿಯಂತ್ರಣ",administration
"1. ಮ್ಯಾನೇಜರ್, 2. ನಿಯಂತ್ರಕ",administrator
ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್,adobe acrobat
ಅಡೋಬ್ ಫೋಟೋಶಾಪ್,adobe photoshop
ABAP (ಸುಧಾರಿತ ವ್ಯಾಪಾರ ಪ್ರೋಗ್ರಾಮಿಂಗ್),Advance Business Application Programming (ABAP)
"1. ಸುಧಾರಿತ ಡೇಟಾ, 2. ಸುಧಾರಿತ ಡೇಟಾ",advanced data
ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ,advanced information system
ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT),advanced technology (AT)
ಕ್ರಮ,agent
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,aggregation
ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ,airborne computer system
ಅಲ್ಡಸ್ ಪೇಜ್-ಮೇಕ್,aldus page maker
ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ,alert box
ಅಲ್ಗೋಲ್ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),algol
"1. ಅಲ್ಗಾರಿದಮ್, 2. ಅಲ್ಗಾರಿದಮ್",algorithm
"1. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ, 2. ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ",algorithm analysis
ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ,algorithm efficiency
"1. ಎಲಿಯಾಸ್, 2. ಅಡ್ಡಹೆಸರು, 3. ಅಕಾ",alias
ಜೋಡಣೆ,alignment
"1. ಹಂಚಿಕೆ, 2. ಹಂಚಿಕೆ",allocation
"1. ವರ್ಣಮಾಲೆಯ, 2. ವರ್ಣಮಾಲೆಯ ಪ್ರಕಾರ",alphabetic
ಆಲ್ಫಾನ್ಯೂಮರಿಕ್,alphanumeric
"1. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್ ,2. ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀಬೋರ್ಡ್",alphanumeric key board
ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ (1 ನೇ ಹಂತದ ಪರೀಕ್ಷೆ),alpha-test
"1. ಆಲ್ಫಾ ಆವೃತ್ತಿ, 2. ಆಲ್ಫಾ ರೂಪ",alpha-version
ಆಲ್ಟ್ ಕೀ,alt key
ಅಲ್ಟಾವಿಸ್ತಾ,altavista
ಬಹುತ್ವ,ambiguity
ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ,ambiguous grammar
ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟಾಂಡೀಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI),American National Standards Institute (ANSI)
ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕಟ್ (ascii),American Standard Code For Information Interchange (ASCII)
"1. ಸಾದೃಶ್ಯ, 2. ಅನಲಾಗ್",analog
"1. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್, 2. ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್",analog computer
"1. ಅನಲಾಗ್ ಸಾಧನ, 2. ಅನಲಾಗ್ ಸಾಧನ",analog device
"1. ಅನಲಾಗ್ ಮೋಡೆಮ್, 2. ಅನಲಾಗ್ ಮೋಡೆಮ್",analog modem
ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,Analog To Digital Converter (ADC)
ಅಂತ್ಯ (ಡಿಜಿಟಲ್/ಪ್ಲೇನ್ ಲಾಜಿಕ್ &#39;ಮತ್ತು&#39; ಬಳಸಲಾಗಿದೆ),AND
ಅಂತಿಮ ಸರ್ಕ್ಯೂಟ್,AND circuit
ಕೊನೆಯ ಗೇಟ್ ಮತ್ತು ಗೇಟ್,AND gate
ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ),AND not operation (Exclusion)
"1. ಅನಿಮೇಷನ್, 2. ಕಂಪನ",animation
ಸೂಚನೆ,annotation
ಅಸಂಗತತೆ,anomaly
ಹಿಂದಿನ,antecedent
ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್,anticipatory paging
ಪ್ರತಿ-ಸಮ್ಮಿತೀಯ,anti-symmetric
ಆಂಟಿವೈರಲ್ ಪ್ರೋಗ್ರಾಂ,antivirus program
"1. ಆಪ್ಲೆಟ್, 2. ಅಪ್ಲಿಕೇಶನ್",applet
ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್,application developer
