English,Odiya
Abaxial surface,ଅବକାଶର ପୃଷ୍ଠ |
Abdomen,ପେଟ
Abdominal aorta,ପେଟର ଆର୍ଟା |
Abdominal ganglia,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
Abelmoschus esculentus,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
Aberration,ଆବର୍ଗନ
Abies,ଆବିସ୍
Abingdon tortoise,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
Abiogenesis,Abognescesis
Abiotic,ଅବିଟ
Abiotic factor,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
Abnormal urine,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
ABO blood group,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
Abscisic acid,ଅବସିସିକ୍ ଏସିଡ୍ |
Abscission,ଅବସିସନ
Absorb,ଶୋଷଣ
Absorption peak,ଅବଶୋଷଣ ଶିଖର |
Absorption,ଶୋଷଣ
Acacia catechu,ଆକାସିଆ କ୍ୟାଚଚୁ |
Acaria arabica,ଆକାରିଆ ଆରବୀ |
Acaprin,ଆକ୍ରିନ
Acceptable sexual behaviour,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
Accessory gland,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
Accessory gland,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
Accessory organ,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
Acclimatization,ସୁକମ୍ଲାଇଜେସନ୍
Acclimatize,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
Accommodation (focusing),ଆବାସ (ଧ୍ୟାନ)
Accommodation of eye,ଆଖିରେ ରହିବା
Accretionary growth,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
Accumulation,ଜମା
Accumulation of organic matter,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
Accumulation of soil,ମାଟିର ଜମା |
Acellular,Acellululula |
Acellular organism,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
Acetabulum,ଏସିଟାବୁଲମ୍
Acetaldehyde,ACTalDeyDee
Acetyl coenzyme,ACETIL କୋଏନୋଜିମ୍ |
Achatina,ଆଖିନିନା |
Achene type,ଅହିଯାଉଥିବା ପ୍ରକାର |
Achene,ଅହିଯେ
Achlamydosporeae,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
Acid rain,ଅମ୍ଳ ବର୍ଷା
Acidic,ଅମ୍ଳୀୟ
Acidic gas,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
Acidity,ଅମ୍ଳତା
Acinar cell,ଆଖର ସେଲ୍ |
Acoelomate,ଆକ୍ୱେମିଲେଟ୍ |
Aconitum,ଆକୋନିଟମ୍
Acorn worm,ଆକ୍ୟୁନ୍ ପୋକ |
Acoustic zoning,ଆକାଶବାଣୀ ଜୋନିଂ |
Acquired character,ଅର୍ଜନ ବର୍ଣ୍ଣ
Acquired immunity,ଅଜାଣତର କାରଣ
Acquired immuno deficiency syndrome (AIDS),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
Acrania,ଅକାନିଆ
Acridine dye,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
Acrocentric,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
Acromion,ଆକ୍ରୋମିଅନ୍ |
Acropetal sequence,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
Acropetal order,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
Acrosin,ଆକ୍ରୋସିନ୍ |
Actin,ଆକ୍ଟିନ୍ |
Actin-like protein,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
Actinomorphic,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
Actinomycetes,ଆକ୍ଟିନୋମିସେସିସ୍ |
