Kannada,Odiya
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,ପରିତ୍ୟାଗ ଅଙ୍ଗ |
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,ପରିତ୍ୟାଗ
ಗರ್ಭಪಾತ,ଗର୍ଭପାତ
ಸಂಪೂರ್ಣ ಕಳೆ,ସଂପୂର୍ଣ୍ଣ ତୃଣ
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,ଅବଶୋଷିତ କେସନ
ಹೀರುವಿಕೆ,ଶୋଷଣ
ಪ್ರಪಾತದ ಸಾಸಿವೆ,Abayssinian mystard |
ಉಜ್ಜೆ,ଅରିକାଇଡ୍ |
ಉಪನಾಮದ,ଉଚ୍ଚାରଣ
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),ଉଚ୍ଚାରଣ (ସେଲ୍)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |
ಪರಿಕರ,ଆନୁଷଙ୍ଗିକ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ସୁକମ୍ଲାଇଜେସନ୍
ಸಂಗ್ರಹಣೆ,ଜମା
ನಿಖರತೆ,ସଠିକତା
ಕಸಚೂಕು,Acervulus
ಸಮಗ್ರೀಕರಣ,ଯୁକ୍ତିଯୁକ୍ତିକ
ಆಮ್ಲೀಕರಣ,ଅମ୍ଳଗତ
ಆಚಿಮೀಟರ್ ಚೀಟಿ,ଏସିଡିମିଟର
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ଅମ୍ଳତା
ಸಿಹಿನೀರಿನ,ଏସିଡୋଫିଲିକ୍ |
ಆಮ್ಲೀಯ,ACIDUCED ROX FHSHATE |
ಸಂಚೇಮದ,ଅସିଡିଆରି |
ಜಲಚರಗಳು,ଜଳଜଳ |
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,ଅଧିଗ୍ରହଣ
ಎಕರೆ,ଏକର
ಎಕರೆ,ଏକରାଗେଜ୍
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |
ಖುಷಿಯ,ଆଖୋପ୍ଟାଲ୍ |
ಸುಣ್ಣ,ଆନୋକୋମ୍
ಅಂಧ,ଆକ୍ଟିନୋମିସେସିସ୍ |
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର
ತೀವ್ರ,ତୀବ୍ର
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,ଅନୁକେତ
ರೂಪಾಂತರ,ଆଡାପ୍ଟେସନ୍
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,ଆଡେସନ୍
ಅಡಿ,ଆଦିବ
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |
ಮಣ್ಣು,ଆଡୋବ ମାଟି |
ವ್ಯಭಿಚಾರಮಾಡುವ,ବ୍ୟଭିଚାର
ಸಾಹಸದ,ବିଶ୍ୱସ୍ତତା
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,Aechidispor
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |
ಅಯೋಲಿಯನ್,ଆଦାମୀ
ಗಾಳಿಗೊಡ್ಡು,ଆରେଟ୍
ವೈಮಾನಿಕ,ବାୟୁ
ವಾಯುಮಾಪಕ,ଏରୋମିଟର |
ವಾಯುಪಾವತಿ,ଏରୋସୋଲ୍ |
ಅಸ್ವಸ್ಥತೆ,ବାୟେ
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),ଆୟନୋଜି (ଇଟିଓଲୋଜି)
ಸಂಯಮ,ଆଗ ଶତ୍ରୁମାନଙ୍କର
ಆಂದೋಲನ,ଆଗ୍ରିଲେସନ୍
ಅಣಕೇಡು,Awarmark
ಕೃಷಿ,କୃଷି
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,କୃଷି କ୍ଲିନିକ୍ |
ಕೃಷಿ ದುಡಿಮೆ,କୃଷି ଶ୍ରମ
ಕೃಷಿ ಮಾರಾಟ,କୃଷି ମାର୍କେଟିଂ |
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
ಕೃಷಿ,କୃଷି
ಕೃಪಣಸಾಮರಿ,ଯୁକ୍ତିଯୁକ୍ତ
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,Agrobizioditicity |
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು,Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,Agrobiogioly |
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,ଭୟଙ୍କର ବିବିଧତା |
ಕೃಷಿ ವಲಯ,ଭୟଙ୍କର ଜୋନିଂ |
ಕೃಚಾರಕ,Agroftry
ಕೃಷಿ ಶಾಸ್ತ್ರ,ସହଯୋଗୀ
ಕೃಷಿ ವಿಜ್ಞಾನ,କିରେନୋନୋମ୍ବନ
ಅಬ್ವಿಶರ,Agronastoal
ಕೃಷಿಪ್ರೊಸೆಸಿಂಗ್,ସହପ୍ରଗୋକ୍ତ
Agrostology,ଦୁର୍ଗସ୍
ಕೃಪೆ,Agrotype
ಗಾಳಿ ಸಸ್ಯ,ବାୟୁ ପ୍ଲାଣ୍ଟ |
ಅಕೋಚಿ ಮಣ್ಣು,ଆକିଓଚି ମାଟି |
ಆಲ್ಬೋ,ଆଲବିନିମ୍
ಆಲ್ಫಿಸೋಲ್ಸ್,Altfisolles
ಪಾಚಿ,ଆଲିଜି |
ಪಾಚಿಯ ಕಾಯಿಲೆ,Alegal ରୋଗ
ಕ್ಷಾರ ನೀರು,ଆଲକାଲି ପାଣି |
ಕ್ಷಾರೀಯ,କ୍ଷାରିକ |
ಇಳಿಜಾರು,ଆହେଲେ |
ಆಲಿನೋಕೆಮಿಕಲ್ಸ್,ଆଲଲେଇଚିକ୍
ಅನನುಕಣ,ଆଲୋଲେମୋର୍ଫେଫେଫେଫ |
ಅಲಲೋಪತಿ,ଆଲୋଲୋପାଥି |
ಅಲ್ಲೆ ಕ್ರಾಪಿಂಗ್,ଆଲି କ୍ରପ୍ କରିବା |
ನಿಯೋಜಕ,Alloarcy
ಅಲೋಗಮಿ,ଆଲଗଲାମି |
ಮಾಪಕ,Allomitry
ಸೂತ್ರ,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
ಅಲೋಸೈನಾಪ್ಸಿಸ್ (ಅಲೋಸಿಂಡೆಸಿಸ್),Allosynapp ଗୁଡିକ (ଆଲିଷ୍ଟିଣ୍ଡେସ୍)
ಪರ್ಯಾಯ ಬೇರಿಂಗ್,ବିକଳ୍ପ ନୋଟିଂ |
ಪರ್ಯಾಯ ಭೂ ಬಳಕೆ,ବିକଳ୍ପ ଭୂମି ବ୍ୟବହାର |
ಸುತ್ತುವರಿಯುವ,ପରିବେଶ
ಅಚಲ,ଅମୃତାରା
ಅಮೀಟಾಸಿ,ଅମିତୋସାଇସ୍ |
ಕಸಚುಗಾರ,ଅମୃତନ
ಅಮೋನೀಕರಣ,ଆମୋନିଫିକେଟ୍
ಅಮೋನಿಗೆ ಮಾಡುವವ,ଆମୋନିଫାୟର୍
ಅಬ್ಬರಿಸು,ଅମୋରଫ
ಉಭಯಮತ್ರ,ଆମ୍ଫିମିକ୍ସିସ୍ |
ಉದ್ದವಾದ,ଆମ୍ଫୋଷ୍ଟିକ୍ |
ಅನಾಬಾಲಿಸಂ,ଆନାବୋଲିଜିମ୍ |
ಬಯೆರೋಲೆ,ଆନାରୋବେ |
ಅನೆಲಾಯ್ಡ್,ଆନୁପ୍ଲଏଡ୍ |
ಕೋನ ನೆಡುವುದು,କୋଣ ବୃକ୍ଷ
ಪಶುಸಂಗೋಪನೆ,ପଶୁ କୁମ୍ଭାରୀ
ಪ್ರಾಣಿಗಳ ನಿರಾಕರಣೆ,ପଶୁ ମନା କରେ |
ಅನಿಮೇಟ್ ಎನರ್ಜಿ,ଆନିମେଟ୍ ଶକ୍ତିମାନ |
ಹದಮೆರಗಿ,Aningoploid
ವಾರ್ಷಿಕ ಸಸ್ಯ,ବାର୍ଷିକ ଉଦ୍ଭିଦ |
ವಾರ್ಷಿಕ,ବାର୍ଷିକ
ಸ ೦ ಗೀತ,ଆନେସିଟି
ಆಂಥ್ರಾಕ್ಸ್,ଆନ୍ଥ୍ରାକ୍ସ |
ಮಾನವಜನ್ಯದ ಅಂಶ,ଆନ୍ଥ୍ରୋପେନିକ୍ କାରକ |
ಪ್ರತಿಜೀವಕ,ଆଣ୍ଟିବାସିସ୍
ಪ್ರತಿಜೀವಕ,ଆଣ୍ଟିବାୟୋଟିକ୍ |
ಪ್ರತಿವಿಷ,ପ୍ରତିକାର
ಆವರಣಕಾರಕ,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
ಪ್ರತಿಚರಣ,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
ಉಚ್ಚಾರಣಾ,ବ୍ରହ୍ମାଣ୍ଡ
ಮುನಸು,ଆପିଡ୍ |
ಸುಲಿಯ ಮೊಗ್ಗು,ଆପିକାଲ୍ ଗୁଣ୍ଡ |
ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ,ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |
ಅಪಿಕಲ್ಚರ್ (ಬೀ ಕೀಪಿಂಗ್),ଆପିକାଲ୍ଟର୍ (ମହୁମାଛି ରଖିବା)
ತಿಕ್ಕಲು,ଆପୋମିକ୍ସସ୍ |
ಅಪಶೂನ್ಯತೆ,ଆପୋଟୋଏସ୍
ಅನುಬಂಧ,ଅନୁକ୍ରମଣିକା
ಜೀರ್ಣಕಾರಕವಾಗಿ,ଭୋକକାରୀ
ಅನ್ವಯಿಕ,ପ୍ରୟୋଗ କରାଯାଏ |
ಜಲಚರಗಳು,ଜଳୀୟ ତୃଣ
ಆಕ್ಷರ,ଅର୍ବ୍ରାଲ୍ |
ಗುಂಡಿನ ಕವಚ,ସ୍ଥାପନ |
ಪುರಾತತ್ವ-ಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,ପ୍ରତ୍ନତାତ୍ତ-ବଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
ಪ್ರದೇಶದ ಅಂಕಿಅಂಶಗಳು,କ୍ଷେତ୍ର ପରିସଂଖ୍ୟାନ
ಪ್ರದೇಶ,କ୍ଷେତ୍ର
ಶುಷ್ಕ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,ARID ECOSYSem |
ಹದಮೆರಗಿ,ଅରିଲ୍
ಸುವಾಸನೆ,ସୁଗନ୍ଧ
ಆರ್ಯ ಸಸ್ಯ,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
ಆರೊಮ್ಯಾಟಿಕ್ ಅಕ್ಕಿ,ସୁଗନ୍ଧିତ ଚାଉଳ |
ಬಾಣ,ତୀର
ಕಸ ರೋಗಿಗಳು,ଆସେସିସ୍
ಅಸೆಪ್ಟ್,ଅଭିଯୁକ୍ତ
ಅಲೈಂಗಿಕ ಪ್ರಸಾರ,ଶ୍ୱେକାର ପ୍ରଚାର
ಪರಾಕ್ರಮ,ଆମ୍ପେ
ಸ್ವಸಮಾನಗಳು,ସମ୍ପତ୍ତି
ಏಕೀಕರಣ,ଆସିମେଇର |
ಸಂಘ,ସଙ୍ଗଠନ
ತಗ್ಗು,Astringent
ಕಸ ರೋಗ,ଆସନାପାସୀ |
ಅಟಾವ್ ವಾದ,ସଂଲଗ୍ନବାଦ
ವ್ಯಭಿಚಾರಿ,ପରମାଣିଜର
ಕ್ಷೀಣತೆ,ଆଟ୍ରୋଫି |
ಸ್ವಯಂಚಾಲಿತ,ଅଟୋଗାମି |
ಆಟೊಲಿಸಿಸ್,ଅଟଲିସିସ୍ |
ದಾಟುವಿಕೆ,AroutDation
ಸ್ವಯಂಚಾಲನ ಫಲಕ,ଅଟୋପୋଲାପ୍ଲୋଡ୍ |
ಸಮಶೀತ,Auxins
