Gujarati,Odiya
વેસ્ટમિન્સ્ટરના એબી,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
ત્યાગી,ଅବକ୍ଷୟ
ગુલામી નાબૂદી,ଦାସତ୍ୱ ରଦ୍ଦ
એબોરિજિનલ,ଆଦିବାସୀ
અબ્રાહમ યુગ,ଅବ୍ରହାମ ଏରା
ગેરહાજર મકાનમાલિકો,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
એકેડમી,ଏକାଡେମୀ |
અકરા કોન્ફરન્સ,ଆକ୍ରା ସମ୍ମିଳନୀ |
સંસાધનો,ଆକ୍ରୁଏଲ୍ |
સંવર્ધન,ଆକଲଚ୍ୟୁଚର୍
એસેલડામા,ଆକେଲଡାମା |
અચેઅન (=અચિયન),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
આચિયન લીગ (=એચિયન લીગ),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
એક્રોપોલિસ,ଆକ୍ରୋପଲିସ୍ |
એક્ટા દીર્ના,ଆକ୍ଟା ଡିଆର୍ନା |
એક્ટા સેનાટસ,ଆକ୍ଟା ସେନାଟସ୍ |
એક્ટ એડિશનલ,ଆକ୍ଟ ଆଡେଲ୍ |
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
પ્રાપ્ત કરનારનું કાર્ય,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
સમાધાનનો અધિનિયમ,ସମାଧାନ ନିୟମ
જાહેરાત કરાર સીલ,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
અદુલ્લામાઈટસ,ଆଡୁଲାମାଇଟ୍ସ |
વિરોધી,ଶତ୍ରୁ
વિરોધી,ଶତ୍ରୁ
એઓન,ଆଓନ୍
એરેરિયમ,ଏରାରିୟମ୍ |
હવાઈ યુદ્ધ,ବାୟୁ ଯୁଦ୍ଧ |
એટોલિયન લીગ,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
ઉંમર,ବୟସ
વૃદ્ધત્વ (=વૃદ્ધત્વ),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
વૃદ્ધત્વ પ્રક્રિયા,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
અગેલાઈ,ଆଗେଲାଇ |
શૌર્યની ઉંમર,Ival ିଭାଲିର ବୟସ |
જ્ઞાનની ઉંમર,ଜ୍ଞାନର ବୟସ |
પેરિકલ્સની ઉંમર,ପେରିକଲ୍ସର ବୟସ |
કારણની ઉંમર,କାରଣର ବୟସ |
કૃષિવાદ,କୃଷିବାଦ
કૃષિ આંદોલન,କୃଷି ଆନ୍ଦୋଳନ |
એલ્બિયન,ଆଲବିଅନ୍ |
આલ્બમ,ଆଲବମ୍
એલ્ડરમેન,ଆଲଡରମ୍ୟାନ୍ |
મોહક શસ્ત્રો,ଭ୍ରାନ୍ତ ବାହୁ |
સૌમ્યતા,ବନ୍ଧୁତା
એમ્ફિક્ટિઓનિક કાઉન્સિલ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
એમ્ફિક્ટિઓનિક લીગ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
એમ્ફીથિયેટર,ଆମ୍ଫିଥେଟର
