Hindi,Kannada
"1.एबेकस ,2. गिनतारा","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
असामान्य समापन,ಅಸಹಜ ಅಂತ್ಯ
अवरोधन,ತಡೆಹಿಡಿಯಿರಿ
"1. निरपेक्ष ,2. परम","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
निरपेक्ष पता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
निरपेक्ष पताभिगमन,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
निरपेक्ष कोडांतरक,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
निरपेक्ष समादेश,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
निरपेक्ष अनुदेश,ಸಂಪೂರ್ಣ ಸೂಚನೆ
निरपेक्ष विधा,ಸಂಪೂರ್ಣ ಮೋಡ್
निरपेक्ष पथ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
अमूर्त वर्ग,ಅಮೂರ್ತ ವರ್ಗ
अमूर्त आंकड़ा प्रकार,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
अमूर्त मशीन,ಅಮೂರ್ತ ಯಂತ್ರ
अमूर्त प्रतीक,ಅಮೂರ್ತ ಚಿಹ್ನೆ
अमूर्त वाक्य विन्यास,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
स्वीकृति परीक्षण,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
अभिगम प्रमाणन,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. अभिगम कूट ,2. अभिगम कोड","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
अभिगम नियंत्रण,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
अभिगम क्रमवीक्षण,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
सहयंत्र,ಬಿಡಿಭಾಗಗಳು
लेखा,ಲೆಕ್ಕಪತ್ರ
"1. एकाउंट आई डी ,2. लेखा पहचान","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
संचायक,ಸಂಚಯಕ
"1. विशुद्धता ,2. यर्थाथता","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
अभिगम,ಪ್ರವೇಶ
अभिगम नियंत्रण बाइट,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
अभिगम सूचक,ಪ್ರವೇಶ ಸೂಚಕ
अभिगम कुंजी,ಪ್ರವೇಶ ಕೀ
